source_row,pressure_gpa,temperature_k,density_g_cm3,density_sigma_g_cm3,vp_km_s,vp_sigma_km_s,vs_km_s,vs_sigma_km_s,reference_density_anchor,acoustic_velocity_fit_included,thermoelastic_validation_only
1,0.0,300,4.110,0.004,,,,,1,0,0
2,1.3,300,4.130,0.004,10.91,0.06,6.57,0.04,0,1,0
3,12.7,300,4.304,0.004,11.44,0.06,6.78,0.04,0,1,0
4,14.3,300,4.330,0.004,11.49,0.06,6.80,0.04,0,1,0
5,15.8,300,4.353,0.004,11.61,0.06,6.81,0.04,0,1,0
6,17.2,300,4.374,0.004,11.67,0.06,6.82,0.04,0,1,0
7,19.3,300,4.405,0.004,11.75,0.06,6.84,0.04,0,1,0
8,20.8,300,4.428,0.004,11.86,0.06,6.86,0.04,0,1,0
9,21.8,300,4.443,0.004,11.86,0.06,6.89,0.04,0,1,0
10,21.9,700,4.409,0.004,11.67,0.08,6.78,0.05,0,0,1
11,21.2,1200,4.368,0.004,11.39,0.10,6.61,0.07,0,0,1
