pressure_gpa,speziale_fig6_curve_volume_ratio,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty,fit1_volume_ratio,fit2_volume_ratio,fit1_residual,fit2_residual
151.2857,0.694072,0.3,0.0005,0.6790003597,0.6905824949,-0.0150716403,-0.0034895051
154.4286,0.690669,0.3,0.0005,0.6755151175,0.6870496869,-0.0151538825,-0.0036193131
157.8571,0.686815,0.3,0.0005,0.6717976809,0.6832783917,-0.0150173191,-0.0035366083
161.2857,0.683193,0.3,0.0005,0.6681647213,0.6795897701,-0.0150282787,-0.0036032299
164.7143,0.679442,0.3,0.0005,0.6646128606,0.6759806808,-0.0148291394,-0.0034613192
168.1429,0.676152,0.3,0.0005,0.6611388188,0.6724480557,-0.0150131812,-0.0037039443
171.0000,0.673123,0.3,0.0005,0.6583010617,0.6695605836,-0.0148219383,-0.0035624164
174.5714,0.669957,0.3,0.0005,0.6548242431,0.6660206365,-0.0151327569,-0.0039363635
178.1429,0.666482,0.3,0.0005,0.6514226433,0.6625549772,-0.0150593567,-0.0039270228
181.7143,0.662756,0.3,0.0005,0.6480935032,0.6591610099,-0.0146624968,-0.0035949901
185.4286,0.659247,0.3,0.0005,0.6447049318,0.6557043546,-0.0145420682,-0.0035426454
