pressure_gpa,pressure_uncertainty_gpa,density_g_cm3
0.0,0.0,8.938
23.6,0.4,10.101
47.1,0.8,10.932
70.7,1.2,11.606
94.2,1.7,12.195
117.8,2.3,12.712
141.3,3.0,13.172
164.9,3.6,13.589
188.4,4.2,13.975
212.0,4.8,14.336
235.5,5.5,14.675
259.1,6.1,14.993
282.6,6.8,15.295
306.2,7.5,15.583
329.7,8.2,15.858
353.3,9.0,16.122
376.9,9.8,16.375
400.4,10.6,16.619
424.0,11.4,16.854
447.5,12.3,17.082
471.1,13.2,17.303
494.6,14.1,17.518
518.2,14.9,17.727
541.7,15.9,17.93
565.3,16.8,18.128
588.8,17.9,18.322
612.4,18.9,18.509
635.9,19.8,18.693
659.5,20.8,18.873
683.1,21.9,19.049
706.6,22.9,19.22
730.2,23.9,19.388
753.7,24.8,19.554
777.3,25.9,19.717
800.8,27.1,19.877
824.4,28.4,20.035
847.9,29.8,20.189
871.5,30.9,20.341
895.0,32.5,20.492
918.6,33.7,20.639
942.1,35.0,20.786
965.7,36.3,20.93
989.2,38.4,21.072
1012.8,39.4,21.211
1036.4,40.3,21.349
1059.9,41.1,21.486
1083.5,43.0,21.622
1107.0,44.4,21.755
1130.6,45.9,21.886
1154.1,47.2,22.016
1177.7,48.7,22.145
1201.2,50.2,22.271
1224.8,51.7,22.397
1248.3,53.0,22.521
1271.9,54.2,22.644
1295.4,55.5,22.767
1319.0,56.6,22.889
1342.6,57.9,23.011
1366.1,59.2,23.133
1389.7,62.2,23.251
1413.2,63.8,23.368
1436.8,65.5,23.483
1460.3,68.2,23.597
1483.9,70.5,23.708
1507.4,72.4,23.819
1531.0,74.3,23.928
1554.5,76.5,24.037
1578.1,78.4,24.145
1601.6,79.9,24.252
1625.2,81.6,24.36
1648.7,84.8,24.466
1672.3,87.4,24.57
1695.9,89.6,24.674
1719.4,91.8,24.777
1743.0,93.9,24.88
1766.5,96.1,24.982
1790.1,98.6,25.084
1813.6,105.7,25.183
1837.2,112.7,25.276
1860.7,115.7,25.368
1884.3,119.2,25.46
1907.8,122.3,25.552
1931.4,126.7,25.643
1954.9,130.4,25.734
1978.5,137.0,25.823
2002.1,141.7,25.91
2025.6,145.8,25.997
2049.2,149.2,26.084
2072.7,150.9,26.171
2096.3,154.9,26.259
2119.8,158.4,26.347
2143.4,162.5,26.434
2166.9,170.6,26.52
2190.5,178.0,26.604
2214.0,179.1,26.686
2237.6,180.5,26.771
2261.1,183.8,26.857
2284.7,184.3,26.943
2308.2,178.3,27.033
2331.8,173.8,27.13
