fcc_row,load_ton,temperature_k,pressure_gpa,cell_volume_a3,cell_volume_uncertainty_a3
1,300,1250.0,24.68,42.22,0.01
2,300,1300.0,24.57,42.37,0.02
3,300,1350.0,24.52,42.59,0.01
4,300,1450.0,23.96,42.89,0.02
5,300,1400.0,23.99,42.87,0.02
6,300,1300.0,24.22,42.67,0.03
7,300,1200.0,24.26,42.52,0.02
8,300,1150.0,23.97,42.4,0.02
9,300,1130.0,24.02,42.36,0.02
10,300,1100.0,23.65,42.32,0.02
11,300,1100.0,23.95,42.32,0.03
12,350,1250.0,26.36,42.15,0.02
13,350,1450.0,26.43,42.49,0.01
14,350,1500.0,26.87,42.6,0.01
15,400,1325.0,31.26,41.11,0.06
16,400,1400.0,32.29,41.3,0.02
17,400,1500.0,31.34,41.52,0.03
18,400,1320.0,31.48,41.24,0.02
