run,temperature_k,pressure_gpa,pressure_uncertainty_gpa,normalized_volume,normalized_volume_uncertainty
M038,1500,21.84,0.09,0.9300,0.0003
M038,1550,21.82,0.08,0.9311,0.0003
M038,1600,21.85,0.07,0.9316,0.0003
M038,1650,21.83,0.05,0.9321,0.0002
M038,1700,21.90,0.07,0.9328,0.0003
M038,1600,21.60,0.07,0.9318,0.0002
M038,1500,21.34,0.07,0.9306,0.0002
M038,1400,21.09,0.06,0.9296,0.0002
M038,1300,20.83,0.06,0.9282,0.0003
M038,1200,20.62,0.05,0.9271,0.0002
M038,1100,20.35,0.05,0.9256,0.0003
M038,1000,20.18,0.06,0.9243,0.0003
M038,900,20.00,0.04,0.9236,0.0002
M038,800,19.78,0.06,0.9223,0.0002
M038,700,19.62,0.06,0.9212,0.0001
M038,600,19.46,0.06,0.9202,0.0002
M038,500,19.37,0.07,0.9190,0.0001
M038,400,19.21,0.08,0.9181,0.0002
M038,300,18.91,0.08,0.9180,0.0002
M038,1700,21.78,0.08,0.9331,0.0002
M038,1750,22.05,0.06,0.9337,0.0002
M038,1800,21.84,0.08,0.9348,0.0002
M038,1850,21.92,0.05,0.9359,0.0002
M038,1900,21.85,0.05,0.9369,0.0002
M038,1800,21.70,0.07,0.9365,0.0003
M038,1700,21.42,0.06,0.9344,0.0002
M038,1600,21.19,0.05,0.9332,0.0003
M038,1500,20.92,0.04,0.9321,0.0003
M038,1900,21.78,0.07,0.9374,0.0002
M038,1950,21.69,0.04,0.9387,0.0002
M038,2000,21.67,0.03,0.9398,0.0002
M038,1900,20.51,0.04,0.9421,0.0003
M038,1800,20.41,0.07,0.9410,0.0003
M086,300,-0.01,0.03,1.0001,0.0002
M086,300,3.89,0.15,0.9827,0.0004
M086,300,4.57,0.10,0.9752,0.0004
M086,300,9.34,0.23,0.9506,0.0005
M087,1600,21.77,0.04,0.9326,0.0002
M087,300,21.47,0.05,0.9177,0.0001
M087,1100,20.49,0.03,0.9250,0.0001
M087,1300,21.02,0.02,0.9270,0.0002
M087,1500,21.42,0.02,0.9295,0.0001
M087,1599,21.56,0.06,0.9311,0.0002
M087,1700,21.50,0.04,0.9330,0.0001
M087,1800,21.28,0.05,0.9362,0.0002
M087,1900,21.08,0.06,0.9393,0.0002
M087,1800,20.76,0.03,0.9377,0.0002
M087,1700,20.53,0.04,0.9367,0.0002
M087,1600,20.35,0.03,0.9355,0.0001
M087,1500,20.17,0.03,0.9342,0.0002
M087,1400,19.95,0.02,0.9329,0.0001
M087,1300,19.72,0.02,0.9317,0.0002
M087,1200,19.53,0.02,0.9306,0.0001
M087,1100,19.35,0.05,0.9290,0.0005
M087,1000,19.12,0.02,0.9282,0.0001
M087,900,18.91,0.04,0.9271,0.0001
M087,800,18.76,0.02,0.9262,0.0001
M087,700,18.58,0.05,0.9250,0.0001
M087,600,18.37,0.03,0.9240,0.0002
M087,500,18.22,0.03,0.9231,0.0001
M087,400,18.05,0.04,0.9223,0.0002
M087,300,17.83,0.01,0.9219,0.0002
M087,300,18.19,0.04,0.9212,0.0002
M087,300,18.41,0.01,0.9201,0.0002
M087,500,18.70,0.03,0.9211,0.0002
M087,700,19.17,0.03,0.9227,0.0001
M087,900,19.58,0.02,0.9246,0.0002
M087,304,18.50,0.03,0.9194,0.0002
M087,300,19.83,0.05,0.9148,0.0002
M087,300,20.48,0.03,0.9127,0.0002
M087,300,21.05,0.03,0.9108,0.0002
M087,700,21.74,0.03,0.9136,0.0002
M087,1100,22.41,0.02,0.9173,0.0002
M087,1300,22.78,0.05,0.9198,0.0001
M087,1400,22.99,0.10,0.9209,0.0002
M087,1500,23.18,0.04,0.9221,0.0001
M087,1300,22.93,0.00,0.9196,0.0002
M087,1100,22.50,0.03,0.9177,0.0001
M087,900,22.16,0.04,0.9154,0.0002
M087,700,21.80,0.02,0.9135,0.0002
M087,500,21.46,0.02,0.9116,0.0002
M087,300,21.13,0.07,0.9106,0.0002
M087,1500,23.18,0.05,0.9223,0.0001
M087,1500,22.60,0.07,0.9253,0.0001
M087,1700,22.91,0.03,0.9278,0.0002
M087,1700,22.63,0.02,0.9290,0.0001
M087,1700,22.37,0.02,0.9299,0.0001
M087,1800,22.47,0.04,0.9314,0.0001
M087,1900,22.48,0.03,0.9342,0.0001
M087,1700,21.92,0.03,0.9317,0.0001
M087,1500,21.55,0.03,0.9295,0.0002
M087,1300,21.16,0.03,0.9271,0.0001
M087,1100,20.68,0.02,0.9248,0.0001
M087,900,20.28,0.02,0.9228,0.0001
M087,700,19.93,0.02,0.9210,0.0001
M087,500,19.53,0.04,0.9195,0.0001
M087,300,19.14,0.02,0.9182,0.0001
M087,1700,21.39,0.02,0.9338,0.0002
M087,1700,20.69,0.03,0.9369,0.0002
M087,1700,19.94,0.03,0.9392,0.0002
M087,1500,19.54,0.02,0.9365,0.0001
M087,1800,21.54,0.07,0.9348,0.0003
M087,1900,21.71,0.04,0.9365,0.0002
M087,1500,20.17,0.03,0.9344,0.0002
M087,1500,19.29,0.06,0.9383,0.0001
M087,1500,18.62,0.02,0.9409,0.0001
M087,1300,18.11,0.03,0.9380,0.0002
M087,1100,17.65,0.02,0.9361,0.0002
M087,900,17.31,0.03,0.9339,0.0002
M087,700,16.78,0.02,0.9320,0.0002
M087,500,16.40,0.02,0.9301,0.0001
M087,300,16.01,0.01,0.9287,0.0001
M087,1100,16.01,0.04,0.9434,0.0002
M087,900,15.55,0.05,0.9414,0.0002
M087,700,15.01,0.02,0.9392,0.0002
M087,500,14.75,0.04,0.9377,0.0001
M087,300,14.58,0.07,0.9360,0.0002
M092,1700,21.44,0.03,0.9328,0.0004
M092,1800,21.31,0.05,0.9367,0.0003
M092,1900,21.12,0.03,0.9397,0.0003
M092,2000,21.11,0.06,0.9424,0.0003
M092,1900,20.80,0.05,0.9409,0.0004
M092,1900,20.65,0.05,0.9402,0.0004
M092,1900,20.48,0.05,0.9412,0.0006
M092,1900,20.20,0.04,0.9420,0.0005
M092,1900,19.97,0.05,0.9429,0.0005
M092,1900,19.74,0.02,0.9443,0.0004
