source_row,iron_phase,temperature_k,reconstructed_pressure_gpa,measurement_only_pressure_error_gpa,fcc_delta_6_pressure_gpa,fcc_delta_7_pressure_gpa,status
1,fcc,1640.0,19.501110220622646,1.2683047632876383,19.566984155917364,19.439246318208053,conditional_fcc_funamori_boehler_basinski
2,fcc,1820.0,21.763704040080526,1.790036297581686,21.886678121315768,21.648698419672975,conditional_fcc_funamori_boehler_basinski
3,fcc,1840.0,20.328162313738584,1.2487473144466306,20.448506728131367,20.21557054992725,conditional_fcc_funamori_boehler_basinski
4,fcc,2010.0,21.90846895335586,1.1633414061773228,22.08151060417741,21.747117579576177,conditional_fcc_funamori_boehler_basinski
5,fcc,1910.0,21.156943479439313,1.2180240097254587,21.299736846847082,21.023549264684977,conditional_fcc_funamori_boehler_basinski
6,fcc,1990.0,17.646165999656727,,17.78273922692077,17.51855256329418,conditional_fcc_funamori_boehler_basinski
7,fcc,1720.0,19.816789222077404,1.2845962492179177,19.904423126969135,19.734617172359,conditional_fcc_funamori_boehler_basinski
8,fcc,2000.0,20.99363053309928,1.1592689851680247,21.157421911815145,20.84081872140116,conditional_fcc_funamori_boehler_basinski
9,fcc,1910.0,20.851583601809775,1.2266906958232462,20.99243097096213,20.719988271182654,conditional_fcc_funamori_boehler_basinski
10,fcc,2160.0,22.434902266393753,1.6540923284921887,22.6491444337298,22.235608309507036,conditional_fcc_funamori_boehler_basinski
11,fcc,1650.0,30.230137273661043,1.2666970480579962,30.331667862650725,30.135451583653733,conditional_fcc_funamori_boehler_basinski
12,fcc,1880.0,28.392861061385936,1.2391154687432426,28.56981675630374,28.228133237550583,conditional_fcc_funamori_boehler_basinski
13,fcc,1970.0,29.030473323386044,1.2192620140851218,29.241339390894705,28.834479678905584,conditional_fcc_funamori_boehler_basinski
14,fcc,2050.0,28.032110284345404,1.2492264681995837,28.261881162384444,27.818640437722628,conditional_fcc_funamori_boehler_basinski
15,hcp,2230.0,56.74093657760418,1.8173563077854955,,,hcp_seagle_2006_density_text
16,hcp,2120.0,55.74682019905816,1.7625673546969056,,,hcp_seagle_2006_density_text
17,hcp,2030.0,56.12487154596692,1.7450269010550414,,,hcp_seagle_2006_density_text
18,hcp,2130.0,56.444295736986206,2.5379012680556614,,,hcp_seagle_2006_density_text
19,hcp,2160.0,52.91413173461177,1.9942421776560872,,,hcp_seagle_2006_density_text
20,hcp,2090.0,55.25784935051947,1.7522037294861506,,,hcp_seagle_2006_density_text
21,hcp,2000.0,53.38392411039294,1.920643179460985,,,hcp_seagle_2006_density_text
22,hcp,2050.0,53.89151526330077,1.7384876082597478,,,hcp_seagle_2006_density_text
23,hcp,1660.0,53.04877445679393,1.6426618372104365,,,hcp_seagle_2006_density_text
24,hcp,1770.0,53.76632932384573,1.66714917536794,,,hcp_seagle_2006_density_text
25,hcp,1890.0,54.963984090388905,1.6970451902879715,,,hcp_seagle_2006_density_text
26,hcp,2030.0,55.003170845051,1.7423444293694355,,,hcp_seagle_2006_density_text
27,hcp,2150.0,54.61034924876152,4.208118913969316,,,hcp_seagle_2006_density_text
28,hcp,2160.0,55.6565392992081,1.7595760718325268,,,hcp_seagle_2006_density_text
29,hcp,1720.0,71.7756892957995,1.6708339076486218,,,hcp_seagle_2006_density_text
30,hcp,1790.0,71.68207893563799,1.6688355555034156,,,hcp_seagle_2006_density_text
