source_row,iron_phase,temperature_k,nominal_series_pressure_gpa,reconstructed_pressure_gpa,table_2_reference_pressure_gpa,propagated_measurement_uncertainty_gpa,status
1,fcc,1640.0,20.0,,,,fcc_calibration_incomplete
2,fcc,1820.0,20.0,,,,fcc_calibration_incomplete
3,fcc,1840.0,20.0,,,,fcc_calibration_incomplete
4,fcc,2010.0,20.0,,,,fcc_calibration_incomplete
5,fcc,1910.0,20.0,,,,fcc_calibration_incomplete
6,fcc,1990.0,20.0,,,,fcc_calibration_incomplete
7,fcc,1720.0,20.0,,,,fcc_calibration_incomplete
8,fcc,2000.0,20.0,,,,fcc_calibration_incomplete
9,fcc,1910.0,20.0,,,,fcc_calibration_incomplete
10,fcc,2160.0,20.0,,,,fcc_calibration_incomplete
11,fcc,1650.0,27.0,,,,fcc_calibration_incomplete
12,fcc,1880.0,27.0,,,,fcc_calibration_incomplete
13,fcc,1970.0,27.0,,,,fcc_calibration_incomplete
14,fcc,2050.0,27.0,,,,fcc_calibration_incomplete
15,hcp,2230.0,55.0,56.74093657760418,54.83346878293575,1.8173563077854955,hcp_seagle_2006_density_text
16,hcp,2120.0,55.0,55.74682019905816,53.818240507476254,1.7625673546969056,hcp_seagle_2006_density_text
17,hcp,2030.0,55.0,56.12487154596692,54.145369292939534,1.7450269010550414,hcp_seagle_2006_density_text
18,hcp,2130.0,55.0,56.444295736986206,54.500061311193186,2.5379012680556614,hcp_seagle_2006_density_text
19,hcp,2160.0,55.0,52.91413173461177,51.086029258907125,1.9942421776560872,hcp_seagle_2006_density_text
20,hcp,2090.0,55.0,55.25784935051947,53.329949902821724,1.7522037294861506,hcp_seagle_2006_density_text
21,hcp,2000.0,55.0,53.38392411039294,51.470134094505525,1.920643179460985,hcp_seagle_2006_density_text
22,hcp,2050.0,55.0,53.89151526330077,51.985253767824375,1.7384876082597478,hcp_seagle_2006_density_text
23,hcp,1660.0,55.0,53.04877445679393,50.99940994562633,1.6426618372104365,hcp_seagle_2006_density_text
24,hcp,1770.0,55.0,53.76632932384573,51.74237051674657,1.66714917536794,hcp_seagle_2006_density_text
25,hcp,1890.0,55.0,54.963984090388905,52.95686002916264,1.6970451902879715,hcp_seagle_2006_density_text
26,hcp,2030.0,55.0,55.003170845051,53.0559332994718,1.7423444293694355,hcp_seagle_2006_density_text
27,hcp,2150.0,55.0,54.61034924876152,52.72825697969197,4.208118913969316,hcp_seagle_2006_density_text
28,hcp,2160.0,55.0,55.6565392992081,53.74862496080394,1.7595760718325268,hcp_seagle_2006_density_text
29,hcp,1720.0,72.0,71.7756892957995,69.22909531405318,1.6708339076486218,hcp_seagle_2006_density_text
30,hcp,1790.0,72.0,71.68207893563799,69.16586613780152,1.6688355555034156,hcp_seagle_2006_density_text
31,hcp,1890.0,72.0,71.40380475777768,68.9356411175168,1.6603284769034896,hcp_seagle_2006_density_text
32,hcp,2060.0,72.0,72.42965499308208,70.00349862834331,1.7994119814515626,hcp_seagle_2006_density_text
33,hcp,2030.0,72.0,71.72884324198887,69.30953303955548,,hcp_seagle_2006_density_text
34,hcp,1990.0,72.0,69.53381351427555,67.15868670262938,,hcp_seagle_2006_density_text
35,hcp,2150.0,72.0,72.30063458230893,69.91618184077377,,hcp_seagle_2006_density_text
36,hcp,2280.0,72.0,69.97069662794563,67.70787085860813,,hcp_seagle_2006_density_text
37,hcp,2040.0,93.0,92.13365542235118,89.16270493425979,1.6692581824308155,hcp_seagle_2006_density_text
38,hcp,2180.0,93.0,92.28673800713588,89.36812933654254,1.6807019490390027,hcp_seagle_2006_density_text
39,hcp,2210.0,93.0,92.45327179814569,89.54244644571816,1.737197718676878,hcp_seagle_2006_density_text
40,hcp,2310.0,93.0,92.79571697126833,89.91698110841992,1.7239546919852733,hcp_seagle_2006_density_text
41,hcp,1560.0,89.0,85.2572182970629,82.28527498212405,1.5613556375729303,hcp_seagle_2006_density_text
42,hcp,1670.0,89.0,85.19461727243446,82.26565305113242,1.5821288733851833,hcp_seagle_2006_density_text
43,hcp,1850.0,89.0,85.42348651304702,82.55772032378256,1.6384131133965945,hcp_seagle_2006_density_text
44,hcp,2010.0,89.0,86.676205942709,83.84008186532103,1.6841579182342592,hcp_seagle_2006_density_text
