source,source_row,temperature_k,iron_cell_volume_a3,iron_cell_volume_uncertainty_a3,published_pressure_gpa,published_pressure_uncertainty_gpa
seagle_2006_table_3,Aug04_028,300.0,20.12,0.03,22.9,1.7000000000000002
seagle_2006_table_3,Nov04_181,300.0,20.25,0.12,21.0,5
seagle_2006_table_3,Aug04_123,300.0,19.82,0.02,27.3,1.4000000000000001
seagle_2006_table_3,Nov04_203,300.0,19.75,0.01,28.4,1.4000000000000001
seagle_2006_table_3,Nov04_206,300.0,19.72,0.03,28.9,1.8
seagle_2006_table_3,Nov04_332,300.0,18.94,0.02,42.5,1.8
seagle_2006_table_3,Nov04_336,300.0,18.96,0.11,42.0,5
seagle_2006_table_3,Nov04_226,300.0,18.87,0.14,44.0,6
seagle_2006_table_3,Nov04_218,300.0,18.886,0.004,43.5,1.6
seagle_2006_table_3,Nov04_228,300.0,19.02,0.14,41.0,6
seagle_2006_table_3,Nov04_222,300.0,19.13,0.01,38.9,1.5
seagle_2006_table_3,Nov04_224,300.0,18.79,0.004,45.4,1.6
seagle_2006_table_3,Nov04_220,300.0,18.812,0.003,45.0,1.6
seagle_2006_table_3,Aug04_165,300.0,18.41,0.01,53.7,1.8
seagle_2006_table_3,Nov04_410,300.0,17.88,0.1,67.0,5
seagle_2006_table_3,Nov04_390,300.0,17.88,0.05,67.0,3
seagle_2006_table_3,Nov04_402,300.0,17.9,0.04,66.0,3
seagle_2006_table_3,Nov04_408,300.0,17.86,0.08,67.0,4
seagle_2006_table_3,Nov03_03_037,300.0,17.67,0.03,73.0,3
seagle_2006_table_3,Nov04_180,1584.0,20.46,0.09,31.0,4
seagle_2006_table_3,Nov04_325,1763.0,19.06,0.01,54.6,1.6
seagle_2006_table_3,Nov04_329,1906.0,19.07,0.03,56.0,2
seagle_2006_table_3,Nov04_327,1821.5,18.98,0.04,57.0,2
seagle_2006_table_3,Nov04_321,1679.0,19.09,0.05,53.0,3
seagle_2006_table_3,Nov04_323,1710.0,19.08,0.02,53.6,1.6
seagle_2006_table_3,Nov04_335,2079.5,18.96,0.05,60.0,3
seagle_2006_table_3,Nov04_217,1645.0,19.08,0.05,53.0,3
seagle_2006_table_3,Nov04_221,1813.0,19.0481,0.0004,55.3,1.5
seagle_2006_table_3,Nov04_223,1878.5,19.2,0.03,53.4,1.8
seagle_2006_table_3,Nov04_227,1916.0,19.16,0.06,54.0,3
seagle_2006_table_3,Nov04_219,1764.5,19.12,0.08,54.0,4
seagle_2006_table_3,Nov04_225,1823.0,19.14,0.05,54.0,3
seagle_2006_table_3,Nov04_215,1518.0,19.05,0.08,52.0,4
seagle_2006_table_3,Nov04_393,1792.0,18.13,0.02,75.0,2
seagle_2006_table_3,Nov04_395,1950.0,18.176,0.008,75.3,1.9000000000000001
seagle_2006_table_3,Nov04_391,1712.5,18.01,0.06,77.0,3
seagle_2006_table_3,Nov04_401,2501.5,18.15,0.03,82.0,2
seagle_2006_table_3,Nov04_397,2049.0,18.12,0.01,78.0,2
seagle_2006_table_3,Nov04_387,1484.5,18.03,0.03,74.0,2
seagle_2006_table_3,Nov04_389,1654.0,18.0,0.02,76.0,2
seagle_2006_table_3,Nov04_399,2159.5,18.102,0.002,79.4,1.9000000000000001
seagle_2008_table_2_lower_eutectic,1,2060,22.423,,19,3
seagle_2008_table_2_lower_eutectic,3,2340,19.375,0.005,56,4
seagle_2008_table_2_lower_eutectic,9,2990,18.809,,74,5
seagle_2008_table_2_lower_eutectic,10,3020,17.961,0.035,93,5
seagle_2008_table_2_lower_eutectic,12,2500,18.442,,76,4
