run_direction,ruby_pressure_gpa,ruby_linewidth_uncertainty_gpa,ice_vii_pressure_gpa,ice_vii_max_gradient_gpa,lattice_a_angstrom,lattice_a_sd_angstrom,lattice_c_angstrom,lattice_c_sd_angstrom,unit_cell_volume_a3,unit_cell_volume_sd_a3,reflections_used,ice_vii_volume_a3,ice_vii_volume_uncertainty_a3
compression,0.00,,,,4.7273,0.0023,13.546,0.012,262.17,0.49,6,,
compression,0.95,0.05,,,4.7240,0.0040,13.491,0.023,260.49,0.89,7,,
compression,2.40,0.05,2.35,0.03,4.7115,0.0011,13.489,0.007,259.32,0.26,7,11.32,0.14
compression,4.25,0.10,,,4.7035,0.0017,13.449,0.012,257.67,0.42,8,,
compression,6.1,0.1,5.8,0.1,4.6951,0.0016,13.401,0.011,255.83,0.38,8,10.37,0.14
compression,9.1,0.1,8.6,0.2,4.6826,0.0020,13.324,0.013,253.01,0.46,8,9.81,0.13
compression,10.9,0.1,10.3,0.2,4.6746,0.0033,13.274,0.021,251.20,0.75,8,9.52,0.13
compression,13.0,0.2,12.4,0.4,4.6643,0.0052,13.227,0.031,249.21,1.14,8,9.22,0.13
compression,15.5,0.2,15.0,0.6,4.6533,0.0042,13.215,0.028,247.81,0.97,8,8.91,0.12
compression,17.8,0.2,16.3,0.5,4.6508,0.0021,13.139,0.014,246.12,0.48,8,8.77,0.12
compression,20.7,0.4,19.0,0.7,4.6358,0.0032,13.083,0.021,243.49,0.73,8,8.50,0.12
compression,24.5,0.5,22.2,1.1,4.6256,0.0024,12.988,0.014,240.66,0.51,8,8.22,0.12
compression,27.8,0.5,25.2,1.4,4.6190,0.0029,12.942,0.020,239.13,0.67,7,8.00,0.11
decompression,20.4,0.5,21.4,1.3,4.6354,0.0024,13.021,0.015,242.30,0.53,7,8.26,0.12
decompression,10.1,0.3,12.1,0.8,4.6830,0.0051,13.256,0.028,251.76,1.08,7,9.23,0.13
decompression,0.00,,,,4.7308,0.0014,13.541,0.009,262.45,0.33,8,,
