experiment,crystal,pressure_gpa,pressure_sd_gpa,lattice_a_angstrom,lattice_a_sd_angstrom,lattice_c_angstrom,lattice_c_sd_angstrom,unit_cell_volume_a3,unit_cell_volume_sd_a3
DAC1,X1,0.0001,0.0001,4.7275,0.0005,13.5578,0.0012,262.41,0.06
DAC1,X2,0.0001,0.0001,4.7274,0.0003,13.5577,0.0002,262.40,0.03
DAC1,X1,0.60,0.05,4.7238,0.0003,13.5391,0.0008,261.64,0.04
DAC1,X2,0.60,0.05,4.7236,0.0003,13.5414,0.0002,261.66,0.03
DAC1,X1,1.10,0.01,4.7210,0.0004,13.5257,0.0010,261.07,0.04
DAC1,X2,1.10,0.01,4.7206,0.0003,13.5274,0.0002,261.06,0.03
DAC1,X1,2.07,0.11,4.7142,0.0002,13.4981,0.0005,259.79,0.02
DAC1,X2,2.07,0.11,4.7142,0.0003,13.4998,0.0003,259.82,0.03
DAC1,X1,3.93,0.01,4.7031,0.0002,13.4488,0.0004,257.62,0.02
DAC1,X2,3.93,0.01,4.7032,0.0003,13.4507,0.0002,257.67,0.03
DAC1,X1,4.07,0.01,4.7030,0.0003,13.4476,0.0006,257.59,0.03
DAC1,X2,4.07,0.01,4.7030,0.0003,13.4489,0.0002,257.61,0.03
DAC1,X1,6.20,0.06,4.6899,0.0003,13.3900,0.0007,255.06,0.03
DAC1,X2,6.20,0.06,4.6897,0.0006,13.3928,0.0006,255.09,0.06
DAC1,X1,6.48,0.06,4.6880,0.0003,13.3835,0.0006,254.73,0.03
DAC1,X2,6.48,0.06,4.6878,0.0002,13.3850,0.0003,254.74,0.03
DAC1,X1,7.88,0.03,4.6805,0.0002,13.3509,0.0004,253.30,0.02
DAC1,X2,7.88,0.03,4.6800,0.0003,13.3528,0.0003,253.27,0.03
DAC1,X1,8.00,0.20,4.6803,0.0002,13.3498,0.0005,253.25,0.02
DAC1,X2,8.00,0.20,4.6798,0.0003,13.3513,0.0004,253.23,0.03
DAC1,X1,9.45,0.14,4.6726,0.0003,13.3141,0.0008,251.75,0.03
DAC1,X2,9.45,0.14,4.6722,0.0003,13.3169,0.0004,251.75,0.03
DAC1,X1,10.68,0.03,4.6657,0.0004,13.2826,0.0011,250.40,0.05
DAC1,X2,10.68,0.03,4.6649,0.0003,13.2890,0.0004,250.44,0.03
DAC1,X1,12.14,0.06,4.6582,0.0005,13.2500,0.0011,248.99,0.05
DAC1,X2,12.14,0.06,4.6579,0.0006,13.2518,0.0008,248.99,0.06
DAC2,X1,0.0001,0.0001,4.7279,0.0005,13.5534,0.0014,262.37,0.05
DAC2,X2,0.0001,0.0001,4.7275,0.0004,13.5582,0.0004,262.42,0.05
DAC2,X1,0.23,0.03,4.7266,0.0004,13.5470,0.0012,262.10,0.05
DAC2,X2,0.23,0.03,4.7263,0.0002,13.5513,0.0002,262.15,0.02
DAC2,X1,7.37,0.03,4.6849,0.0007,13.3674,0.0020,254.09,0.07
DAC2,X2,7.37,0.03,4.6849,0.0009,13.3702,0.0010,254.14,0.10
DAC2,X1,13.88,0.05,4.6520,0.0011,13.2090,0.0031,247.56,0.11
DAC2,X2,13.88,0.05,4.6487,0.0014,13.2234,0.0012,247.48,0.15
DAC2,X1,14.07,0.38,4.6507,0.0014,13.2007,0.0040,247.27,0.14
DAC2,X2,14.07,0.38,4.6466,0.0010,13.2157,0.0009,247.11,0.11
DAC2,X1,16.37,0.01,4.6379,0.0011,13.1610,0.0032,245.17,0.11
DAC2,X2,16.37,0.01,4.6361,0.0011,13.1714,0.0009,245.17,0.11
DAC2,X1,16.37,0.01,4.6394,0.0012,13.1696,0.0038,245.48,0.11
DAC2,X2,16.37,0.01,4.6387,0.0008,13.1657,0.0010,245.34,0.08
DAC2,X1,17.40,0.02,4.6358,0.0015,13.1495,0.0043,244.73,0.15
DAC2,X2,17.40,0.02,4.6351,0.0010,13.1516,0.0014,244.69,0.10
DAC2,X1,17.72,0.10,4.6340,0.0010,13.1486,0.0010,244.53,0.11
DAC2,X2,17.72,0.10,4.6340,0.0010,13.1486,0.0010,244.53,0.11
DAC2,X1,17.44,0.09,4.6327,0.0006,13.1481,0.0016,244.37,0.05
DAC2,X2,17.44,0.09,4.6328,0.0007,13.1508,0.0009,244.44,0.08
DAC2,X1,19.91,0.21,4.6205,0.0005,13.0986,0.0013,242.18,0.05
DAC2,X2,19.91,0.21,4.6213,0.0008,13.1035,0.0009,242.36,0.09
DAC2,X1,22.05,0.12,4.6115,0.0005,13.0617,0.0014,240.55,0.05
DAC2,X2,22.05,0.12,4.6111,0.0004,13.0658,0.0005,240.59,0.04
DAC2,X1,24.86,0.03,4.5996,0.0007,13.0143,0.0019,238.44,0.07
DAC2,X2,24.86,0.03,4.5986,0.0006,13.0162,0.0007,238.38,0.07
DAC2,X1,7.79,0.28,4.6796,0.0004,13.3505,0.0013,253.19,0.04
DAC2,X2,7.79,0.28,4.6788,0.0009,13.3523,0.0010,253.13,0.09
