source_order,run,table,temperature_k,pressure_original_gpa,a_angstrom,a_uncertainty_angstrom,c_angstrom,c_uncertainty_angstrom,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,c_over_a,c_over_a_uncertainty,pressure_standard,pressure_calibration
1,T0133,1,298,0.00,4.746,0.005,13.511,0.021,263.59,0.45,2.8468,0.0044,Au,Anderson et al. (1989)
2,T0133,1,573,17.85,4.651,0.002,13.148,0.012,246.29,0.17,2.8270,0.0026,Au,Anderson et al. (1989)
3,T0133,1,773,17.48,4.669,0.009,13.136,0.033,248.02,0.57,2.8132,0.0070,Au,Anderson et al. (1989)
4,T0133,1,673,17.06,4.663,0.012,13.154,0.041,247.67,0.79,2.8211,0.0088,Au,Anderson et al. (1989)
5,T0133,1,573,16.77,4.663,0.010,13.142,0.034,247.51,0.65,2.8180,0.0072,Au,Anderson et al. (1989)
6,T0133,1,473,16.54,4.665,0.014,13.120,0.047,247.24,0.92,2.8124,0.0102,Au,Anderson et al. (1989)
7,T0133,1,373,16.18,4.665,0.018,13.115,0.058,247.18,1.13,2.8112,0.0125,Au,Anderson et al. (1989)
8,T0133,1,298,16.20,4.665,0.016,13.119,0.054,247.21,1.05,2.8125,0.0117,Au,Anderson et al. (1989)
9,T0133,1,573,16.55,4.669,0.006,13.135,0.018,247.97,0.36,2.8133,0.0040,Au,Anderson et al. (1989)
10,T0133,1,773,17.05,4.669,0.011,13.128,0.036,247.88,0.70,2.8114,0.0078,Au,Anderson et al. (1989)
11,T0133,1,673,16.73,4.668,0.015,13.128,0.049,247.74,0.95,2.8125,0.0105,Au,Anderson et al. (1989)
12,T0133,1,573,16.53,4.668,0.014,13.131,0.047,247.74,0.91,2.8132,0.0101,Au,Anderson et al. (1989)
13,T0133,1,473,16.26,4.667,0.013,13.122,0.043,247.51,0.84,2.8119,0.0093,Au,Anderson et al. (1989)
14,T0133,1,373,16.05,4.669,0.009,13.10,0.29,247.50,0.57,2.8077,0.0062,Au,Anderson et al. (1989)
15,T0133,1,298,15.92,4.669,0.009,13.107,0.029,247.41,0.57,2.8074,0.0062,Au,Anderson et al. (1989)
16,T0133,1,573,16.08,4.700,0.011,13.142,0.036,248.17,0.69,2.8143,0.0076,Au,Anderson et al. (1989)
17,T0133,1,773,16.57,4.671,0.008,13.159,0.026,248.62,0.50,2.8174,0.0056,Au,Anderson et al. (1989)
18,T0133,1,673,16.31,4.671,0.009,13.158,0.029,248.67,0.56,2.8166,0.0062,Au,Anderson et al. (1989)
19,T0133,1,573,16.06,4.671,0.010,13.151,0.033,248.484,0.063,2.8156,0.0070,Au,Anderson et al. (1989)
20,T0133,1,473,15.87,4.670,0.010,13.149,0.034,248.35,0.66,2.8157,0.0073,Au,Anderson et al. (1989)
21,T0133,1,373,15.51,4.671,0.008,13.140,0.026,248.27,0.50,2.8131,0.0055,Au,Anderson et al. (1989)
22,T0133,1,298,15.37,4.668,0.010,13.149,0.034,248.13,0.66,2.8169,0.0073,Au,Anderson et al. (1989)
23,T0133,1,573,15.47,4.679,0.003,13.142,0.011,249.18,0.17,2.8087,0.0024,Au,Anderson et al. (1989)
24,T0133,1,773,15.94,4.678,0.001,13.161,0.004,249.39,0.06,2.8135,0.0008,Au,Anderson et al. (1989)
25,T0133,1,673,15.66,4.675,0.004,13.165,0.016,249.18,0.24,2.8161,0.0034,Au,Anderson et al. (1989)
26,T0133,1,573,15.40,4.6738,0.0004,13.160,0.015,248.96,0.23,2.8157,0.0033,Au,Anderson et al. (1989)
27,T0133,1,473,15.14,4.674,0.004,13.149,0.014,248.82,0.22,2.8130,0.0031,Au,Anderson et al. (1989)
28,T0133,1,373,14.9,4.676,0.002,13.143,0.007,248.85,0.10,2.8107,0.0015,Au,Anderson et al. (1989)
29,T0133,1,298,14.85,4.678,0.001,13.140,0.003,248.89,0.05,2.8091,0.0007,Au,Anderson et al. (1989)
30,T0133,1,573,14.22,4.678,0.003,13.201,0.011,250.21,0.21,2.8219,0.0024,Au,Anderson et al. (1989)
31,T0133,1,773,14.62,4.683,0.003,13.195,0.011,250.60,0.22,2.8175,0.0024,Au,Anderson et al. (1989)
32,T0133,1,673,14.40,4.677,0.006,13.199,0.027,250.06,0.51,2.8219,0.0057,Au,Anderson et al. (1989)
33,T0133,1,573,14.09,4.676,0.006,13.190,0.028,249.76,0.53,2.8208,0.0059,Au,Anderson et al. (1989)
34,T0133,1,473,13.84,4.677,0.006,13.182,0.025,249.71,0.49,2.8186,0.0054,Au,Anderson et al. (1989)
35,T0133,1,373,13.64,4.678,0.005,13.179,0.021,249.75,0.41,2.8173,0.0046,Au,Anderson et al. (1989)
36,T0133,1,298,13.54,4.676,0.005,13.184,0.023,249.64,0.44,2.8196,0.0049,Au,Anderson et al. (1989)
