source_order,run,run_order,pressure_gpa,pressure_uncertainty_gpa,temperature_k,two_way_p_time_10_minus_7_s,two_way_s_time_10_minus_7_s,length_mm,density_g_cm3,density_uncertainty_g_cm3,vp_km_s,vp_uncertainty_km_s,vs_km_s,vs_uncertainty_km_s,ks_gpa,ks_uncertainty_gpa,g_gpa,g_uncertainty_gpa
1,S2674,1,00.00,0.04,300,,,0.918,3.8099,0.0002,,,,,,,,
2,S2674,2,15.50,0.04,700,1.751,3.146,0.956,4.0293,0.0005,10.92,0.03,6.08,0.01,281.9,2.9,148.9,0.5
3,S2674,3,14.98,0.05,500,1.738,3.110,0.954,4.0397,0.0005,10.98,0.03,6.14,0.01,283.9,2.9,152.0,0.5
4,S2674,4,14.52,0.04,300,1.730,3.082,0.954,4.0468,0.0004,11.03,0.03,6.19,0.01,285.6,2.9,155.0,0.5
5,S2674,5,18.52,0.05,700,1.718,3.103,0.953,4.0723,0.0005,11.09,0.03,6.14,0.01,296.2,3.0,153.6,0.5
6,S2674,6,17.88,0.07,500,1.709,3.072,0.952,4.0808,0.0005,11.14,0.03,6.20,0.01,297.5,3.0,156.8,0.5
7,S2674,7,17.45,0.05,300,1.701,3.044,0.952,4.0889,0.0005,11.20,0.03,6.25,0.01,299.2,3.0,159.9,0.5
8,S2674,8,20.48,0.05,700,1.702,3.080,0.953,4.1011,0.0005,11.20,0.03,6.19,0.01,304.8,3.0,157.0,0.5
9,S2674,9,19.73,0.07,500,1.692,3.047,0.952,4.1104,0.0004,11.25,0.03,6.25,0.01,306.3,3.0,160.4,0.5
10,S2674,10,19.48,0.03,300,1.681,3.020,0.951,4.1173,0.0004,11.31,0.03,6.30,0.01,309.0,3.1,163.3,0.5
11,S2674,11,22.12,0.10,700,1.687,3.058,0.951,4.1319,0.0004,11.27,0.03,6.22,0.01,312.1,3.0,159.8,0.5
12,S2674,12,21.49,0.06,500,1.676,3.025,0.950,4.1394,0.0003,11.33,0.03,6.28,0.01,313.9,3.1,163.2,0.5
13,S2674,13,21.13,0.09,300,1.667,3.001,0.950,4.1476,0.0004,11.39,0.03,6.33,0.01,316.9,3.1,166.2,0.5
14,S2674,14,23.39,0.11,700,1.673,3.034,0.950,4.1468,0.0004,11.35,0.03,6.26,0.01,317.6,3.1,162.6,0.5
15,S2674,15,22.88,0.08,500,1.664,3.009,0.950,4.1554,0.0004,11.42,0.03,6.31,0.01,321.0,3.1,165.6,0.5
16,S2674,16,22.35,0.05,300,1.656,2.988,0.949,4.1579,0.0003,11.46,0.03,6.35,0.01,322.7,3.1,167.6,0.5
17,S2674,17,24.65,0.11,700,1.664,3.023,0.951,4.1592,0.0005,11.43,0.03,6.29,0.01,323.7,3.1,164.5,0.5
18,S2674,18,24.08,0.07,500,1.656,3.001,0.950,4.1671,0.0005,11.47,0.03,6.33,0.01,325.9,3.1,167.0,0.5
19,S2674,19,23.70,0.09,300,1.648,2.981,0.950,4.1751,0.0005,11.53,0.03,6.37,0.01,328.9,3.2,169.6,0.6
20,S2674,20,25.72,0.13,700,1.654,3.011,0.950,4.1744,0.0005,11.49,0.03,6.31,0.01,329.4,3.1,166.2,0.5
21,S2674,21,25.45,0.12,500,1.644,2.985,0.950,4.1815,0.0005,11.55,0.03,6.36,0.01,332.4,3.2,169.4,0.6
22,S2674,22,25.02,0.11,300,1.640,2.970,0.951,4.1893,0.0005,11.55,0.03,6.40,0.01,334.4,3.2,171.7,0.6
23,S2725,1,00.00,0.05,300,,,1.159,3.8091,0.0002,,,,,,,,
