source_order,used_in_room_temperature_fit,pressure_gpa,pressure_uncertainty_gpa,temperature_k,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,volume_a3,volume_uncertainty_a3
1,1,0.00,,300,4.8078,0.0006,4.3316,0.0002,86.71,0.02
2,1,17.96,0.06,300,4.6935,0.0001,4.1357,0.0011,78.90,0.02
3,0,16.10,0.07,900,4.7088,0.0001,4.2097,0.0011,80.83,0.02
4,0,15.36,0.02,700,4.7069,0.0001,4.2028,0.0012,80.64,0.02
5,0,14.87,0.06,500,4.7063,0.0002,4.1867,0.0013,80.31,0.02
6,1,14.18,0.04,300,4.7077,0.0001,4.1720,0.0010,80.07,0.02
7,0,17.56,0.04,900,4.7121,0.0001,4.1723,0.0012,80.23,0.02
8,0,16.61,0.03,700,4.7102,0.0001,4.1705,0.0011,80.13,0.02
9,0,16.79,0.03,500,4.6997,0.0002,4.1647,0.0013,79.66,0.02
10,1,15.36,0.02,300,4.7028,0.0002,4.1642,0.0012,79.77,0.02
11,0,18.80,0.05,900,4.6963,0.0001,4.1818,0.0012,79.87,0.02
12,0,17.83,0.05,700,4.6935,0.0001,4.1771,0.0012,79.69,0.02
13,0,17.96,0.06,500,4.6847,0.0002,4.1695,0.0013,79.25,0.02
14,1,16.87,0.09,300,4.6960,0.0001,4.1479,0.0011,79.22,0.02
15,0,20.01,0.06,900,4.6912,0.0001,4.1689,0.0012,79.45,0.02
16,0,19.19,0.07,700,4.6909,0.0001,4.1624,0.0012,79.32,0.02
17,0,18.53,0.07,500,4.6857,0.0002,4.1588,0.0012,79.08,0.02
18,1,17.98,0.06,300,4.6919,0.0001,4.1349,0.0011,78.83,0.02
19,0,20.99,0.08,900,4.6840,0.0001,4.1634,0.0012,79.11,0.02
20,0,20.36,0.04,700,4.6817,0.0001,4.1548,0.0011,78.86,0.02
21,0,19.74,0.05,500,4.6827,0.0002,4.1427,0.0013,78.67,0.02
22,1,19.13,0.11,300,4.6843,0.0001,4.1285,0.0011,78.45,0.02
23,0,22.24,0.02,900,4.6818,0.0001,4.1459,0.0011,78.70,0.02
24,0,21.25,0.08,700,4.6788,0.0001,4.1436,0.0011,78.56,0.02
25,0,20.75,0.06,500,4.6790,0.0002,4.1344,0.0011,78.39,0.02
26,1,20.53,0.04,300,4.6752,0.0001,4.1212,0.0011,78.01,0.02
27,0,22.69,0.10,1100,4.6959,0.0001,4.1379,0.0010,79.02,0.02
28,0,21.88,0.12,1300,4.7046,0.0001,4.1544,0.0010,79.63,0.02
