pressure_gpa,pressure_sd_gpa,lattice_a_angstrom,lattice_a_sd_angstrom,unit_cell_volume_a3,unit_cell_volume_sd_a3,compression_path
0.0001,0.0001,11.5317,0.0003,1533.493,0.126,compression
0.588,0.006,11.5184,0.0003,1528.170,0.117,compression
1.413,0.007,11.5012,0.0003,1521.345,0.118,compression
2.438,0.007,11.4794,0.0003,1512.711,0.115,compression
3.619,0.009,11.4558,0.0003,1503.388,0.122,compression
4.713,0.009,11.4345,0.0003,1495.035,0.135,compression
7.129,0.010,11.4013,0.0003,1477.828,0.170,compression
6.503,0.009,11.4013,0.0003,1482.065,0.133,decompression
5.973,0.009,11.4109,0.0003,1485.791,0.110,decompression
5.497,0.010,11.4198,0.0003,1489.274,0.123,decompression
4.067,0.007,11.4469,0.0003,1499.912,0.121,decompression
2.738,0.008,11.4739,0.0003,1510.533,0.119,decompression
1.961,0.008,11.4898,0.0003,1516.840,0.107,decompression
1.342,0.007,11.5031,0.0003,1522.113,0.117,decompression
