run,pressure_gpa,a_a,c_a
1,22.7,4.645,12.627
1,28.8,4.62,12.563
1,49.1,4.54,12.326
1,54.9,4.523,12.268
1,63.2,4.499,12.192
1,69.2,4.482,12.138
1,74.6,4.471,12.088
1,79.3,4.451,12.054
1,91.4,4.424,11.972
1,97.5,4.411,11.926
1,103.8,4.4,11.886
1,109.4,4.388,11.845
1,115.6,4.37,11.802
1,122.2,4.352,11.77
1,129.5,4.343,11.702
1,136.3,4.329,11.651
1,144,4.314,11.619
1,148,4.306,11.586
1,153,4.293,11.577
1,159,4.283,11.538
1,165,4.275,11.501
2,22.2,4.6508,12.668
2,29.3,4.6195,12.581
2,32.0,4.6072,12.551
2,36.7,4.5894,12.498
2,42.0,4.5687,12.477
2,50.6,4.5399,12.379
2,55.3,4.5267,12.298
2,59.8,4.5122,12.262
2,66.3,4.4926,12.192
2,72.4,4.476,12.068
2,77.3,4.4637,12.079
2,82.3,4.4513,12.0
3,1.32,4.7524,12.991
3,1.9,4.7509,12.964
3,2.4,4.7481,12.964
3,3.45,4.7436,12.946
3,3.85,4.7412,12.942
3,5.9,4.7301,12.899
3,7.25,4.7222,12.875
3,8.9,4.7088,12.854
3,11.0,4.7003,12.824
3,12.55,4.6897,12.824
3,15.65,4.675,12.764
3,17.7,4.6656,12.729
3,20.2,4.6546,12.698
3,22.8,4.6433,12.648
3,25.1,4.6338,12.627
3,27.6,4.6222,12.584
3,30.2,4.6133,12.565
3,32.5,4.604,12.53
3,36.0,4.5896,12.482
3,0.56,4.7565,12.998
