source_order,pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,volume_a3,volume_uncertainty_a3,phase_context
1,100.0,1.0,300,,129.8,0.2,rh2o3_ii
2,107.8,1.2,300,,128.2,0.3,rh2o3_ii
3,115.3,1.4,300,,126.8,0.3,rh2o3_ii
4,118.5,1.6,300,,126.3,0.2,rh2o3_ii
5,110.2,1.6,790,80,128.3,0.3,rh2o3_ii
6,103.1,2.0,850,90,130.2,0.2,rh2o3_ii
7,122.4,2.1,1040,100,126.5,0.3,rh2o3_ii
8,104.8,2.5,1080,110,130.2,0.3,rh2o3_ii
9,111.8,2.8,1250,130,128.4,0.3,rh2o3_ii
10,124.1,2.5,1290,130,126.5,0.1,rh2o3_ii
11,105.6,2.4,1290,130,130.1,0.3,rh2o3_ii
12,119.1,2.2,1340,130,127.6,0.2,rh2o3_ii
13,123.7,2.2,1350,140,126.8,0.1,rh2o3_ii
14,119.7,2.2,1370,140,127.5,0.2,rh2o3_ii
15,114.2,2.3,1500,150,128.3,0.2,rh2o3_ii
16,108.3,2.5,1530,150,130.1,0.3,rh2o3_ii
17,115.8,2.8,1550,160,128.2,0.2,rh2o3_ii
18,121.5,2.5,1580,160,127.3,0.2,rh2o3_ii
19,109.0,2.5,1720,170,130.2,0.3,rh2o3_ii
20,122.6,2.7,1860,190,127.4,0.2,rh2o3_ii
21,125.6,2.6,1860,190,126.9,0.3,rh2o3_ii
22,117.8,2.6,1890,190,128.3,0.3,rh2o3_ii
23,119.6,2.7,2010,200,128.2,0.2,rh2o3_ii
24,110.2,2.9,2050,210,130.4,0.2,rh2o3_ii
25,123.8,3.0,2060,210,127.5,0.1,rh2o3_ii
26,126.7,3.0,2090,210,126.8,0.3,rh2o3_ii
27,120.7,3.2,2210,220,128.3,0.3,rh2o3_ii
28,125.1,3.1,2240,220,127.5,0.2,rh2o3_ii
29,128.0,3.1,2260,230,127.1,0.2,rh2o3_ii
30,111.8,3.0,2290,230,130.3,0.3,rh2o3_ii
31,127.0,4.0,2310,230,127.3,0.2,rh2o3_ii
32,112.8,3.2,2480,250,130.4,0.2,rh2o3_ii
33,121.9,3.2,2480,250,128.3,0.3,rh2o3_ii
34,121.9,3.4,2510,250,128.5,0.3,rh2o3_ii
35,126.6,3.9,2530,250,127.9,0.2,rh2o3_ii
36,128.6,3.8,2580,260,127.4,0.2,rh2o3_ii
37,113.6,3.3,2610,260,130.5,0.2,rh2o3_ii
38,128.2,4.3,2780,280,127.9,0.2,rh2o3_ii
39,115.7,3.6,2820,280,130.4,0.3,rh2o3_ii
40,125.8,3.7,3050,310,128.4,0.3,rh2o3_ii
41,96.5,1.6,300,,130.6,0.3,rh2o3_ii
42,109.1,1.8,300,,127.6,0.3,rh2o3_ii
43,113.8,1.9,300,,127.2,0.3,rh2o3_ii
44,122.2,2.0,300,,125.6,0.4,rh2o3_ii
45,122.9,2.1,300,,125.7,0.4,rh2o3_ii
46,135.0,2.3,300,,123.4,0.3,rh2o3_ii
47,135.1,2.4,300,,123.4,0.4,rh2o3_ii
48,98.3,1.9,710,,131.0,0.2,rh2o3_ii
49,98.8,2.2,850,90,131.1,0.2,rh2o3_ii
50,99.9,1.9,1050,110,131.2,0.2,rh2o3_ii
51,127.1,2.2,1120,110,125.5,0.2,rh2o3_ii
52,100.7,2.0,1200,120,131.0,0.2,rh2o3_ii
53,142.9,3.8,1260,130,123.3,0.3,rh2o3_ii
54,127.7,1.9,1300,130,125.4,0.2,rh2o3_ii
55,143.9,3.7,1410,140,123.3,0.3,rh2o3_ii
56,102.4,1.9,1470,150,131.4,0.2,rh2o3_ii
57,129.6,2.0,1560,160,125.5,0.2,rh2o3_ii
58,144.7,3.8,1620,160,123.4,0.2,rh2o3_ii
59,130.1,3.0,1680,170,125.5,0.2,rh2o3_ii
60,130.3,3.0,1680,170,125.5,0.2,rh2o3_ii
61,130.0,2.7,1700,170,125.6,0.3,rh2o3_ii
62,103.3,2.0,1750,180,131.5,0.2,rh2o3_ii
63,131.2,2.2,1810,180,125.5,0.2,rh2o3_ii
64,130.8,2.6,1850,190,125.7,0.3,rh2o3_ii
65,104.6,2.0,1930,190,131.8,0.2,rh2o3_ii
66,131.8,2.6,2010,200,125.7,0.3,rh2o3_ii
67,105.0,1.8,2100,210,131.8,0.2,rh2o3_ii
68,148.2,4.0,2130,210,123.4,0.3,rh2o3_ii
69,105.6,2.0,2260,230,132.4,0.2,rh2o3_ii
70,150.3,4.0,2570,260,123.4,0.3,rh2o3_ii
71,105.2,1.8,2600,260,132.4,0.2,rh2o3_ii
72,105.9,2.0,2630,260,132.4,0.6,rh2o3_ii
73,152.6,4.1,3080,310,123.8,0.4,rh2o3_ii
74,156.7,4.0,3670,370,124.0,0.3,rh2o3_ii_at_cairo3_onset
75,156.7,4.0,3670,370,124.0,0.3,rh2o3_ii_at_cairo3_onset
