source_order,pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,volume_a3,volume_uncertainty_a3,pressure_calibrant
1,0,,300,,255.1,,pt
2,14.5,0.2,300,,241.4,0.5,pt
3,23.7,0.3,300,,234.7,0.4,pt
4,34.8,0.3,300,,227.1,0.3,pt
5,45.7,0.5,300,,221.1,0.3,pt
6,55.8,0.6,300,,216.3,0.2,pt
7,16.9,0.3,1170,117,243.6,0.3,pt
8,48.6,0.7,1220,120,222.0,0.4,pt
9,62.2,1.0,1230,120,215.4,0.2,pt
10,17.6,0.2,1260,130,243.2,0.4,pt
11,48.5,0.9,1280,130,222.1,0.3,pt
12,39.5,0.9,1300,130,228.6,0.2,pt
13,60.5,0.5,1320,130,217.5,0.1,pt
14,28.2,0.4,1350,140,236.8,0.9,pt
15,63.4,0.7,1380,140,215.6,0.3,pt
16,49.5,0.6,1400,140,222.4,0.5,pt
17,39.8,1.0,1420,140,229.0,0.2,pt
18,49.7,0.5,1440,140,222.4,0.4,pt
19,16.9,0.2,1560,160,245.9,0.3,pt
20,50.7,0.7,1560,160,222.5,0.4,pt
21,17.2,0.2,1600,160,245.7,0.1,pt
22,40.6,1.0,1620,160,228.9,0.4,pt
23,26.7,0.3,1630,160,238.0,0.6,pt
24,64.2,0.9,1630,160,215.9,0.2,pt
25,61.9,1.0,1680,170,217.6,0.2,pt
26,53.7,0.7,1710,170,222.8,0.4,pt
27,27.7,0.3,1720,170,238.0,0.6,pt
28,62.1,1.1,1760,180,217.7,0.2,pt
29,41.5,0.6,1790,180,229.4,0.3,pt
30,50.8,0.8,1800,180,223.5,0.6,pt
31,65.5,1.0,1850,190,216.0,0.3,pt
32,19.1,0.3,1860,190,245.5,0.2,pt
33,42.7,0.8,1930,190,229.8,0.4,pt
34,28.1,0.6,2080,210,239.2,0.4,pt
35,28.9,0.5,2160,220,239.2,0.2,pt
36,52.5,1.1,2210,220,223.8,0.4,pt
37,62.5,1.1,2220,220,218.7,0.7,pt
38,65.9,1.2,2270,230,219.0,0.1,pt
39,67.0,1.1,2350,240,216.6,0.1,pt
40,44.7,0.8,2600,260,230.5,0.3,pt
41,64.4,1.1,2650,270,218.8,0.2,pt
42,57.2,1.4,2830,280,224.1,0.4,pt
43,47.7,0.8,2940,290,230.3,0.2,pt
44,59.6,1.1,2980,300,223.8,0.3,pt
45,41.3,0.8,300,,224.4,0.4,pt
46,67.5,1.2,300,,212.0,0.5,pt
47,88.3,1.5,300,,203.2,0.2,pt
48,89.2,1.4,1250,130,205.6,0.6,pt
49,90.5,1.8,1370,140,205.9,0.5,pt
50,45.4,0.8,1430,140,227.3,0.6,pt
51,46.9,0.9,1970,200,227.6,0.5,pt
52,54.7,0.9,2000,200,223.4,0.2,pt
53,55.4,1.0,2070,210,223.4,0.2,pt
54,94.6,1.8,2180,220,205.9,0.5,pt
55,94.7,1.9,2270,230,205.7,0.5,pt
56,95.5,1.9,2400,240,205.5,0.5,pt
57,95.5,1.8,2470,250,205.5,0.5,pt
58,97.2,2.0,2850,190,205.0,0.6,pt
59,97.7,2.0,2900,290,205.2,0.5,pt
60,69.6,1.1,300,,210.1,0.6,nacl
61,77.6,1.2,300,,207.1,0.6,nacl
62,71.3,1.2,1360,140,211.7,0.6,nacl
63,80.1,1.4,1530,150,209.2,0.2,nacl
64,72.1,1.2,1540,150,212.2,0.8,nacl
65,80.9,1.6,1690,170,209.1,0.2,nacl
66,72.8,1.3,1770,180,212.7,0.7,nacl
67,82.0,1.5,1870,190,209.2,0.2,nacl
68,73.8,1.4,1970,200,213.4,0.9,nacl
69,74.1,1.4,2070,210,213.5,0.6,nacl
70,82.7,1.6,2090,210,209.3,0.2,nacl
71,83.2,1.6,2200,220,209.4,0.2,nacl
72,75.1,1.5,2220,220,213.7,0.5,nacl
73,76.2,1.2,2360,240,213.7,0.2,nacl
74,85.2,1.6,2500,250,209.3,0.3,nacl
75,86.8,1.6,2730,270,209.3,0.2,nacl
