ruby_pressure_classical_gpa,ruby_pressure_revised_gpa,atomic_volume_a3,atomic_volume_uncertainty_a3
1.53,1.53,16.257,0.01
3.0,3.01,15.952,0.01
4.25,4.26,15.743,0.01
6.0,6.02,15.443,0.01
8.05,8.08,15.136,0.01
10.2,10.3,14.855,0.01
12.5,12.6,14.575,0.01
14.4,14.5,14.358,0.01
17.3,17.4,14.076,0.01
19.7,19.9,13.855,0.01
22.0,22.2,13.636,0.01
24.6,24.9,13.436,0.01
26.9,27.2,13.255,0.01
29.9,30.3,13.056,0.01
31.7,32.2,12.971,0.01
34.7,35.3,12.748,0.01
0.0,0.0,16.561,0.01
30.7,31.1,12.989,0.01
37.0,37.1,12.58,0.01
42.0,42.8,12.253,0.01
47.1,48.1,11.99,0.01
51.8,53.0,11.763,0.01
57.5,59.0,11.531,0.01
61.8,63.5,11.344,0.01
66.2,68.2,11.148,0.01
69.6,71.8,11.014,0.01
73.6,76.0,10.874,0.01
78.5,81.3,10.702,0.01
84.4,87.6,10.509,0.01
90.0,93.6,10.342,0.01
93.6,97.5,10.261,0.01
105.9,111.0,9.942,0.01
110.4,116.0,9.814,0.01
115.9,122.0,9.702,0.01
122.0,128.0,9.574,0.01
126.4,133.0,9.461,0.01
132.4,140.0,9.366,0.01
136.7,145.0,9.264,0.01
140.8,149.0,9.201,0.01
144.3,153.0,9.136,0.01
