temperature_k,pressure_gpa,volume_a3,volume_sigma_a3
298,0.00,227.14,0.18
298,5.10,213.08,0.11
298,5.10,212.97,0.15
298,3.18,218.52,0.20
298,3.18,217.05,0.12
298,4.24,214.43,0.06
298,4.24,213.93,0.06
298,6.22,210.03,0.01
298,6.22,210.23,0.19
298,7.14,206.81,0.15
298,7.14,207.41,0.14
373,4.33,214.69,0.09
373,4.33,214.33,0.05
373,7.36,207.65,0.12
373,6.32,210.45,0.19
373,3.30,217.82,0.02
473,4.53,214.97,0.03
473,7.54,207.63,0.13
473,7.54,208.10,0.06
473,6.46,210.90,0.11
473,3.49,218.37,0.09
573,5.78,213.64,0.13
573,5.78,214.27,0.19
573,4.70,215.85,0.10
573,4.70,215.63,0.04
573,7.67,208.40,0.08
573,6.60,211.11,0.14
573,6.60,211.22,0.10
573,3.52,219.28,0.10
673,5.60,214.67,0.10
673,5.60,214.21,0.05
673,4.84,216.17,0.15
673,7.83,208.50,0.12
673,7.83,209.07,0.08
673,6.80,211.71,0.09
673,3.59,220.97,0.17
773,5.75,215.27,0.10
773,5.75,215.65,0.09
773,4.87,216.98,0.16
773,4.87,216.77,0.18
773,8.07,209.45,0.07
773,6.86,212.34,0.09
773,3.27,222.32,0.13
873,5.49,216.88,0.10
873,5.49,216.73,0.11
873,5.16,217.51,0.16
873,8.06,210.28,0.10
873,8.06,210.14,0.05
873,7.15,212.74,0.09
873,3.63,222.85,0.12
973,5.36,218.05,0.26
973,5.36,217.91,0.17
973,8.18,211.31,0.09
973,7.33,213.39,0.17
973,7.33,213.25,0.09
973,3.50,224.71,0.14
973,3.50,224.51,0.14
1073,8.12,212.55,0.13
1073,8.12,212.33,0.04
1073,7.46,213.89,0.09
1173,8.10,213.56,0.19
1173,7.66,214.38,0.11
1173,7.66,213.93,0.09
1273,7.86,214.59,0.12
