run,row_in_run,pressure_dorogokupets_gpa,version_of_record_lattice_a_angstrom,lattice_c_angstrom,accepted_manuscript_lattice_a_angstrom,version_comparison
Be+He_1,1,0.65,2.284,3.580,2.284,same
Be+He_1,2,1.36,2.279,3.575,2.279,same
Be+He_1,3,2.13,2.273,3.570,2.273,same
Be+He_1,4,3.28,2.266,3.556,2.266,same
Be+He_1,5,4.18,2.260,3.548,2.260,same
Be+He_1,6,5.53,2.252,3.535,2.252,same
Be+He_1,7,6.83,2.244,3.528,2.244,same
Be+He_1,8,8.29,2.236,3.515,2.236,same
Be+He_1,9,9.60,2.229,3.508,2.229,same
Be+He_1,10,10.7,2.223,3.503,2.223,same
Be+He_1,11,12.3,2.215,3.490,2.215,same
Be+He_1,12,15.7,2.198,3.467,2.198,same
Be+He_1,13,17.8,2.189,3.451,2.189,same
Be+He_1,14,21.2,2.174,3.435,2.174,same
Be+He_2,1,0.54,2.284,3.585,2.284,same
Be+He_2,2,1.19,2.279,3.580,2.279,same
Be+He_2,3,2.38,2.272,3.564,2.272,same
Be+He_2,4,2.98,2.269,3.556,2.269,same
Be+He_2,5,3.51,2.265,3.553,2.265,same
Be+He_2,6,4.02,2.262,3.550,2.262,same
Be+He_2,7,4.65,2.258,3.544,2.258,same
Be+He_2,8,5.48,2.253,3.539,2.253,same
Be+He_2,9,6.25,2.248,3.535,2.248,same
Be+He_2,10,7.17,2.243,3.527,2.243,same
Be+He_2,11,7.80,2.240,3.521,2.240,same
Be+He_2,12,8.55,2.236,3.513,2.236,same
Be+He_2,13,9.19,2.232,3.512,2.232,same
Be+He_2,14,9.96,2.228,3.503,2.228,same
Be+He_2,15,10.7,2.225,3.496,2.225,same
Be+He_2,16,1.49,2.277,3.577,2.277,same
Be+He_2,17,0.79,2.282,3.581,2.282,same
Be+He_2,18,0.0,2.286,3.589,2.286,same
Be+He_3,1,8.59,2.236,3.509,2.236,same
Be+He_3,2,17.3,2.193,3.451,2.193,same
Be+He_3,3,24.6,2.162,3.405,2.262,version_of_record_corrects_accepted_manuscript
Be+He_3,4,38.1,2.113,3.338,2.113,same
Be+He_3,5,47.9,2.083,3.290,2.083,same
Be+He_3,6,58.4,2.054,3.252,2.054,same
Be+He_3,7,71.4,2.025,3.202,2.025,same
Be+He_3,8,83.7,2.000,3.160,2.000,same
Be+He_3,9,94.7,1.980,3.128,1.980,same
