pressure_gpa,volume_ratio,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty
0.315,0.99868,0.85,0.0035
0.315,0.99968,0.85,0.0035
2.828,0.98550,0.85,0.0035
4.527,0.97556,0.85,0.0035
7.854,0.95938,0.85,0.0035
12.350,0.93865,0.85,0.0035
16.653,0.92088,0.85,0.0035
21.801,0.90198,0.85,0.0035
26.094,0.88728,0.85,0.0035
30.498,0.87227,0.85,0.0035
34.842,0.85873,0.85,0.0035
39.949,0.84303,0.85,0.0035
41.984,0.83688,0.85,0.0035
45.381,0.82969,0.85,0.0035
48.271,0.82074,0.85,0.0035
51.485,0.81291,0.85,0.0035
55.178,0.80353,0.85,0.0035
