source_order,pressure_gpa,pressure_sd_gpa,density_g_cm3,density_sd_g_cm3,volume_a3_conventional_cell,volume_sd_a3,fit_included
1,0.00010,0.00001,4.1045,0.0010,162.453274,0.039579,1
2,4.99000,0.01000,4.1830,0.0040,159.404605,0.152431,1
3,15.40000,0.03000,4.3350,0.0040,153.815332,0.141929,1
4,21.63000,0.04000,4.4200,0.0050,150.857344,0.170653,1
5,26.77000,0.05000,4.4870,0.0050,148.604739,0.165595,1
6,31.20000,0.06000,4.5430,0.0060,146.772939,0.193845,1
7,35.61000,0.07000,4.5970,0.0060,145.048828,0.189318,1
8,9.32000,0.02000,4.2480,0.0040,156.965504,0.147802,1
9,19.40000,0.03000,4.3900,0.0060,151.888260,0.207592,1
10,29.37000,0.05000,4.5200,0.0060,147.519793,0.195823,1
11,55.59000,0.13000,4.8250,0.0060,138.194707,0.171848,1
12,61.70000,0.20000,4.8900,0.0100,136.357763,0.278850,1
13,71.50000,0.20000,4.9900,0.0100,133.625143,0.267786,1
14,78.80000,0.50000,5.0600,0.0100,131.776574,0.260428,1
