source_row,table_block,pressure_gpa,pressure_sigma_gpa,cell_volume_a3,cell_volume_sigma_a3,temperature_k,fit_included
1,left,46.88,0.30,140.827,0.054,298,1
2,left,50.94,0.30,139.810,0.028,298,1
3,left,53.63,0.30,139.269,0.024,298,1
4,left,53.46,0.30,139.307,0.043,298,1
5,left,85.70,0.30,130.097,0.022,298,1
6,left,90.17,0.30,129.303,0.024,298,1
7,left,90.57,0.30,129.292,0.017,298,1
8,left,38.63,0.30,143.777,0.019,298,1
9,left,45.38,0.30,141.332,0.027,298,1
10,left,46.44,0.30,141.200,0.025,298,1
11,left,80.57,0.30,131.651,0.023,298,1
12,left,29.50,0.30,147.178,0.015,298,1
13,left,31.57,0.30,146.567,0.018,298,1
14,left,31.47,0.30,146.537,0.012,298,1
15,left,85.32,0.30,130.266,0.012,298,1
16,left,70.12,0.30,133.641,0.008,298,1
17,left,71.50,0.30,133.598,0.014,298,1
18,left,65.88,0.30,135.058,0.019,298,1
19,left,67.94,0.30,134.801,0.027,298,1
20,right,75.06,0.30,132.728,0.017,298,1
21,right,75.62,0.30,132.788,0.017,298,1
22,right,40.03,0.30,143.442,0.020,298,1
23,right,42.17,0.30,142.588,0.015,298,1
24,right,39.44,0.30,143.328,0.020,298,1
25,right,40.66,0.30,143.255,0.023,298,1
