table,source_row,run,pressure_sequence,temperature_k,unit_cell_volume_a3,unit_cell_volume_printed_uncertainty_a3,nacl_lattice_a_angstrom,au_lattice_a_angstrom,mgo_lattice_a_angstrom,pressure_nd1_gpa,pressure_nb1_gpa,pressure_aj1_gpa,pressure_ah1_gpa,pressure_aa1_gpa,pressure_mj2_gpa,pressure_ms2_gpa,normalization_volume_a3,fit_included,exclusion_reason
4a,1,1,preliminary,1230,152.99,0.15,,3.9654,,,,25.16,23.99,23.45,,,162.32,0,no_nd1_pressure
4a,2,1,preliminary,800,151.46,0.15,4.9637,3.9509,,24.59,24.28,24.83,23.96,23.64,,,162.32,0,source_flagged_pressure
4a,3,1,preliminary,800,151.46,0.15,4.9682,3.9500,,24.27,23.99,25.01,24.14,23.82,,,162.32,0,source_flagged_pressure
4a,4,1,preliminary,900,151.79,0.19,4.9644,3.9533,,24.84,24.52,25.08,24.13,23.75,,,162.32,0,source_flagged_pressure
4a,5,1,preliminary,1000,152.18,0.15,4.9748,3.9550,,24.42,24.13,25.52,24.48,24.04,,,162.32,0,source_flagged_pressure
4a,6,1,preliminary,1100,152.20,0.16,,3.9583,,,,25.60,24.49,24.00,,,162.32,0,no_nd1_pressure
4a,7,1,preliminary,1200,152.45,0.18,,3.9658,,,,24.84,23.70,23.19,,,162.32,0,no_nd1_pressure
4a,8,1,preliminary,1300,153.22,0.17,,3.9652,,,,25.76,24.52,23.94,,,162.32,0,no_nd1_pressure
4a,9,1,preliminary,1400,152.57,0.16,,3.9689,,,,25.76,24.46,23.84,,,162.32,0,source_flagged_pressure_and_no_nd1_pressure
4a,10,1,preliminary,1500,152.97,0.09,,3.9690,,,,26.50,25.11,24.43,,,162.32,0,no_nd1_pressure
4a,11,1,preliminary,1600,153.51,0.17,,3.9731,,,,26.49,25.05,24.33,,,162.32,0,no_nd1_pressure
4a,12,1,preliminary,1700,153.39,0.12,,3.9710,,,,27.66,26.10,25.31,,,162.32,0,no_nd1_pressure
4a,13,1,preliminary,1800,154.01,0.15,,3.9728,,,,28.12,26.49,25.65,,,162.32,0,no_nd1_pressure
4a,14,1,preliminary,1900,154.06,0.16,,3.9746,,,,28.51,26.80,25.93,,,162.32,0,no_nd1_pressure
4a,15,1,preliminary,2000,154.20,0.12,,3.9772,,,,28.81,27.04,26.13,,,162.32,0,no_nd1_pressure
4a,16,1,preliminary,2000,154.20,0.12,,3.9781,,,,28.65,26.89,25.98,,,162.32,0,no_nd1_pressure
4a,17,1,selected_nd1,293,150.51,0.16,4.9642,3.9420,,23.10,22.80,22.86,22.44,22.45,,,162.32,1,
4a,18,1,selected_nd1,400,150.34,0.14,4.9667,3.9420,,23.22,22.94,23.67,23.15,23.09,,,162.32,1,
4a,19,1,selected_nd1,500,150.46,0.16,4.9655,3.9435,,23.59,23.31,24.11,23.50,23.37,,,162.32,1,
4a,20,1,selected_nd1,600,150.80,0.21,4.9641,3.9469,,23.97,23.68,24.12,23.43,23.24,,,162.32,1,
