temperature_k,volume_ratio,volume_ratio_cumulative_error,pressure_scale_error_x1e4,statistical_2sigma_mean_error_x1e4,temperature_absolute_10pct_error_x1e4,temperature_gradient_5pct_error_x1e4,sample_v0_0p1pct_error_x1e4,marker_v0_0p1pct_error_x1e4,k0_10gpa_error_x1e4,alpha0_0p2e5_error_x1e4
300,0.9218,0.0026,0,2,0,0,0,0,26,0
400,0.9225,0.0021,6,2,1,0,3,2,19,1
500,0.9236,0.0017,8,2,1,1,5,4,13,1
600,0.9250,0.0015,8,2,1,2,7,5,8,1
700,0.9266,0.0015,7,2,0,3,8,7,4,0
800,0.9283,0.0016,9,2,0,5,9,8,1,0
900,0.9302,0.0019,11,2,1,6,10,8,2,0
1000,0.9321,0.0021,13,2,1,8,11,9,3,0
1100,0.9341,0.0023,15,2,2,9,11,9,3,0
1200,0.9361,0.0025,17,2,2,10,11,9,3,0
1300,0.9382,0.0027,19,2,2,12,11,9,3,0
1400,0.9404,0.0028,20,3,2,13,10,9,2,0
1500,0.9425,0.0030,31,3,2,14,10,8,1,0
1600,0.9447,0.0031,24,3,2,15,9,8,2,0
1700,0.9469,0.0033,26,3,2,16,9,7,3,0
1800,0.9492,0.0035,28,3,2,17,8,7,4,0
1900,0.9514,0.0039,33,3,2,18,8,7,5,1
2000,0.9535,0.0046,40,3,4,19,8,7,6,1
