pressure_gpa,temperature_k,molar_volume_cm3_mol,molar_volume_uncertainty_cm3_mol
36.2,300,21.874,0.011
53.8,300,20.995,0.012
60.1,300,20.717,0.009
65.5,300,20.491,0.011
67.5,300,20.410,0.010
73.3,747,20.257,0.008
74.3,685,20.203,0.013
75.8,1138,20.262,0.009
77.6,300,20.022,0.008
78.0,805,20.090,0.012
78.4,1087,20.148,0.013
78.6,300,19.986,0.011
78.7,1022,20.120,0.012
79.5,915,20.063,0.011
79.7,947,20.063,0.014
79.9,747,20.000,0.010
80.1,300,19.93,0.09
81.1,1180,20.069,0.009
81.3,585,19.920,0.011
81.5,1280,20.082,0.010
81.8,1140,20.034,0.012
82.2,300,19.857,0.011
82.5,300,19.846,0.014
82.8,1485,20.09,0.10
84.1,655,19.834,0.011
84.9,917,19.865,0.012
87.4,1170,19.839,0.012
91.9,1245,19.700,0.010
92.5,1087,19.562,0.011
94.3,1357,19.646,0.012
94.4,1357,19.643,0.010
97.7,1255,19.506,0.013
101.4,1170,19.368,0.014
104.2,1170,19.279,0.012
107.3,1357,19.226,0.014
108.9,747,19.047,0.013
109.1,1357,19.172,0.015
