source_row,run,cycle,pressure_gpa,pressure_printed_uncertainty_gpa,temperature_c,temperature_k,temperature_printed_uncertainty_k,unit_cell_volume_a3,unit_cell_volume_printed_uncertainty_a3,normalization_volume_a3,fit_included,exclusion_reason
1,a,ambient,0.00,0.1,25,298.15,2,162.23,0.15,162.23,1,
2,a,first_10gpa,10.80,0.1,25,298.15,2,155.79,0.28,162.23,0,first_heating_below_650_k_after_ram_load_change
3,a,first_10gpa,10.80,0.1,100,373.15,2,155.86,0.16,162.23,0,first_heating_below_650_k_after_ram_load_change
4,a,first_10gpa,10.70,0.1,150,423.15,2,156.01,0.23,162.23,0,first_heating_below_650_k_after_ram_load_change
5,a,first_10gpa,10.70,0.1,200,473.15,2,156.42,0.16,162.23,0,first_heating_below_650_k_after_ram_load_change
6,a,first_10gpa,10.40,0.1,250,523.15,2,156.45,0.16,162.23,0,first_heating_below_650_k_after_ram_load_change
7,a,first_10gpa,10.35,0.1,300,573.15,2,156.79,0.20,162.23,0,first_heating_below_650_k_after_ram_load_change
8,a,first_10gpa,10.20,0.1,350,623.15,2,157.04,0.25,162.23,0,first_heating_below_650_k_after_ram_load_change
9,a,first_10gpa,10.20,0.1,400,673.15,2,157.24,0.25,162.23,1,
10,a,first_10gpa,10.20,0.1,450,723.15,2,157.43,0.24,162.23,1,
11,a,first_10gpa,10.10,0.1,500,773.15,2,157.60,0.18,162.23,1,
12,a,first_14gpa,13.80,0.1,25,298.15,2,154.02,0.28,162.23,0,first_heating_below_650_k_after_ram_load_change
13,a,first_14gpa,13.80,0.1,100,373.15,2,154.24,0.22,162.23,0,first_heating_below_650_k_after_ram_load_change
14,a,first_14gpa,13.90,0.1,150,423.15,2,154.27,0.22,162.23,0,first_heating_below_650_k_after_ram_load_change
15,a,first_14gpa,14.00,0.1,200,473.15,2,154.43,0.24,162.23,0,first_heating_below_650_k_after_ram_load_change
16,a,first_14gpa,14.10,0.1,250,523.15,2,154.57,0.26,162.23,0,first_heating_below_650_k_after_ram_load_change
17,a,first_14gpa,14.20,0.1,300,573.15,2,154.76,0.32,162.23,0,first_heating_below_650_k_after_ram_load_change
18,a,first_14gpa,14.20,0.1,350,623.15,2,154.95,0.22,162.23,0,first_heating_below_650_k_after_ram_load_change
19,a,first_14gpa,14.30,0.1,400,673.15,2,155.23,0.29,162.23,1,
20,a,first_14gpa,14.40,0.1,450,723.15,2,155.18,0.21,162.23,1,
21,a,first_14gpa,14.50,0.1,500,773.15,2,155.42,0.18,162.23,1,
22,a,first_17gpa,16.20,0.1,25,298.15,2,152.94,0.22,162.23,0,first_heating_below_650_k_after_ram_load_change
23,a,first_17gpa,16.50,0.1,100,373.15,2,153.02,0.22,162.23,0,first_heating_below_650_k_after_ram_load_change
24,a,first_17gpa,16.50,0.1,150,423.15,2,153.11,0.16,162.23,0,first_heating_below_650_k_after_ram_load_change
25,a,first_17gpa,16.70,0.1,200,473.15,2,153.35,0.26,162.23,0,first_heating_below_650_k_after_ram_load_change
26,a,first_17gpa,16.70,0.1,250,523.15,2,153.41,0.22,162.23,0,first_heating_below_650_k_after_ram_load_change
27,a,first_17gpa,16.80,0.1,300,573.15,2,153.53,0.17,162.23,0,first_heating_below_650_k_after_ram_load_change
28,a,first_17gpa,16.80,0.1,350,623.15,2,153.84,0.23,162.23,0,first_heating_below_650_k_after_ram_load_change
29,a,first_17gpa,16.90,0.1,400,673.15,2,153.83,0.19,162.23,1,
30,a,first_17gpa,17.00,0.1,450,723.15,2,154.06,0.15,162.23,1,
31,a,first_17gpa,17.10,0.1,500,773.15,2,154.20,0.20,162.23,1,
32,a,first_5gpa,4.60,0.1,25,298.15,2,159.67,0.23,162.23,0,first_heating_below_650_k_after_ram_load_change
33,a,first_5gpa,4.60,0.1,100,373.15,2,159.84,0.09,162.23,0,first_heating_below_650_k_after_ram_load_change
34,a,first_5gpa,4.80,0.1,150,423.15,2,160.03,0.21,162.23,0,first_heating_below_650_k_after_ram_load_change
35,a,first_5gpa,4.85,0.1,200,473.15,2,160.17,0.18,162.23,0,first_heating_below_650_k_after_ram_load_change
36,a,first_5gpa,4.95,0.1,250,523.15,2,160.26,0.14,162.23,0,first_heating_below_650_k_after_ram_load_change
37,a,first_5gpa,5.05,0.1,300,573.15,2,160.39,0.15,162.23,0,first_heating_below_650_k_after_ram_load_change
38,a,first_5gpa,5.05,0.1,350,623.15,2,160.64,0.17,162.23,0,first_heating_below_650_k_after_ram_load_change
39,a,first_5gpa,5.05,0.1,400,673.15,2,160.73,0.19,162.23,1,
40,a,first_5gpa,4.95,0.1,450,723.15,2,161.02,0.18,162.23,1,
41,a,first_5gpa,4.90,0.1,500,773.15,2,161.32,0.20,162.23,1,
