source_row,run,pressure_gpa,pressure_printed_uncertainty_gpa,temperature_k,unit_cell_volume_a3,unit_cell_volume_printed_uncertainty_a3,normalization_volume_a3,fit_included,exclusion_reason
1,angle,0.0001,,295,162.280,0.004,162.280,1,
2,angle,0.0001,,337,162.411,0.004,162.280,1,
3,angle,0.0001,,356,162.476,0.005,162.280,1,
4,angle,0.0001,,379,162.531,0.004,162.280,1,
5,angle,0.0001,,397,162.585,0.010,162.280,1,
6,angle,0.0001,,404,162.610,0.009,162.280,1,
7,3A,0.0001,,295,162.22,0.13,162.22,1,
8,3A,7.06,0.02,623,158.86,0.15,162.22,1,
9,3A,7.07,0.03,647,158.96,0.14,162.22,1,
10,3A,7.08,0.03,674,159.02,0.15,162.22,1,
11,3A,7.17,0.03,729,159.26,0.15,162.22,1,
12,3A,7.25,0.03,778,159.48,0.15,162.22,1,
13,3A,7.36,0.03,829,159.54,0.15,162.22,1,
14,3A,7.44,0.05,880,159.61,0.15,162.22,1,
15,3A,7.24,0.03,751,159.26,0.14,162.22,1,
16,3A,7.06,0.03,635,159.02,0.14,162.22,1,
17,3A,6.98,0.03,580,158.91,0.14,162.22,1,
18,3A,6.87,0.03,497,158.74,0.14,162.22,1,
19,3A,6.69,0.03,396,158.59,0.14,162.22,1,
20,3A,6.53,0.03,306,158.40,0.14,162.22,1,
21,3B,3.95,0.03,300,159.78,0.12,162.22,1,
22,3B,4.02,0.04,323,159.82,0.14,162.22,1,
23,3B,4.05,0.04,374,159.89,0.14,162.22,1,
24,3B,4.11,0.03,428,159.95,0.12,162.22,1,
25,3B,4.18,0.03,483,160.09,0.11,162.22,1,
26,3B,4.25,0.02,537,160.24,0.12,162.22,1,
27,3B,4.33,0.02,594,160.40,0.12,162.22,1,
28,3B,4.39,0.02,648,160.57,0.13,162.22,1,
29,3B,4.53,0.02,774,160.84,0.14,162.22,1,
30,3B,4.68,0.02,898,161.17,0.14,162.22,1,
31,3B,4.74,0.02,1076,161.63,0.16,162.22,1,
32,5A,0.0001,,301,162.42,0.05,162.42,1,
33,5A,9.43,0.03,625,157.99,0.08,162.42,1,
34,5A,9.37,0.03,649,158.10,0.08,162.42,1,
35,5A,9.31,0.03,673,158.21,0.09,162.42,1,
36,5A,9.29,0.03,699,158.30,0.09,162.42,1,
37,5A,9.28,0.03,723,158.49,0.08,162.42,1,
38,5A,9.26,0.04,749,158.64,0.08,162.42,1,
39,5A,9.24,0.06,774,158.73,0.08,162.42,1,
40,5A,9.14,0.07,799,158.83,0.09,162.42,1,
41,5A,8.85,0.08,872,159.15,0.09,162.42,1,
42,5A,8.77,0.07,973,159.70,0.08,162.42,1,
43,5A,8.60,0.10,1074,160.13,0.09,162.42,1,
44,5B,8.51,0.07,823,159.39,0.07,162.42,1,
45,5B,8.20,0.11,723,159.08,0.07,162.42,1,
46,5B,8.20,0.11,723,159.13,0.07,162.42,1,
47,5B,8.10,0.11,673,159.01,0.07,162.42,1,
48,5B,8.09,0.11,647,158.89,0.07,162.42,1,
49,5B,8.07,0.11,623,158.86,0.08,162.42,1,
50,5B,8.03,0.11,597,158.78,0.07,162.42,1,
51,5B,7.98,0.10,573,158.69,0.07,162.42,1,
52,5B,7.95,0.10,548,158.60,0.07,162.42,1,
53,5B,7.91,0.10,523,158.54,0.07,162.42,1,
54,5B,7.87,0.10,497,158.48,0.07,162.42,1,
55,5B,7.83,0.10,473,158.44,0.07,162.42,1,
56,5B,7.76,0.10,422,158.28,0.08,162.42,1,
57,5B,7.71,0.10,373,158.12,0.06,162.42,1,
58,5B,7.64,0.10,307,157.92,0.06,162.42,1,
59,5B,7.79,0.10,373,158.06,0.06,162.42,1,
60,5B,7.97,0.10,474,158.34,0.06,162.42,1,
61,5B,8.07,0.10,523,158.51,0.06,162.42,1,
62,5B,8.17,0.10,573,158.63,0.05,162.42,1,
63,5B,8.24,0.08,625,158.79,0.06,162.42,1,
64,5B,8.31,0.08,675,158.97,0.06,162.42,1,
65,5B,8.42,0.08,723,159.07,0.05,162.42,1,
66,5B,8.53,0.08,825,159.43,0.06,162.42,1,
67,5B,8.60,0.10,923,159.70,0.06,162.42,1,
68,5B,8.60,0.10,1073,160.31,0.06,162.42,1,
69,5B,7.60,0.20,1276,161.50,0.13,162.42,1,
70,8,0.0001,,298,162.31,0.16,162.31,1,
71,8,10.61,0.09,677,157.13,0.10,162.31,1,
72,8,10.59,0.08,727,157.28,0.09,162.31,1,
73,8,10.58,0.09,778,157.41,0.06,162.31,1,
74,8,10.58,0.08,829,157.51,0.08,162.31,1,
75,8,10.84,0.08,876,157.66,0.06,162.31,1,
76,8,10.84,0.08,879,157.76,0.07,162.31,1,
77,8,10.84,0.05,929,157.86,0.09,162.31,1,
78,8,10.88,0.06,983,157.77,0.10,162.31,1,
79,8,10.68,0.10,1024,158.18,0.07,162.31,1,
