source_id,source_order,pressure_gpa,pressure_standard_deviation_gpa,temperature_k,volume_a3,volume_standard_deviation_a3,bulk_modulus_gpa,bulk_modulus_standard_deviation_gpa,shear_modulus_gpa,shear_modulus_standard_deviation_gpa
sun_2016_table1,1,21.8,0.3,1200.0,43.07,0.07,,,,
sun_2016_table1,2,32.0,0.4,1200.0,41.73,0.02,,,,
sun_2016_table1,3,40.0,0.5,1200.0,40.83,0.04,,,,
sun_2016_table1,4,42.6,0.5,1200.0,40.54,0.02,,,,
sun_2016_table1,5,45.5,0.6,1200.0,40.23,0.02,,,,
sun_2016_table1,6,46.6,0.6,1200.0,40.1,0.4,,,,
sun_2016_table1,7,51.0,0.7,1200.0,39.66,0.04,,,,
sun_2016_table1,8,58.6,0.8,1200.0,39.05,0.04,,,,
sun_2016_table1,9,65.5,0.9,1200.0,38.29,0.01,,,,
sun_2016_table1,10,75.7,1.0,1200.0,37.46,0.03,,,,
sun_2016_table1,11,88.4,1.2,1200.0,36.73,0.04,,,,
sun_2016_table1,12,91.3,1.3,1200.0,36.47,0.03,,,,
sun_2016_table1,13,102.7,1.5,1200.0,35.82,0.05,,,,
sun_2016_table1,14,107.9,1.6,1200.0,35.5,0.4,,,,
sun_2016_table1,15,113.8,1.7,1200.0,35.17,0.03,,,,
sun_2016_table1,16,118.0,1.8,1200.0,34.95,0.03,,,,
sun_2016_table1,17,132.5,2.0,1200.0,34.05,0.04,,,,
sun_2016_table1,18,140.7,2.2,1200.0,33.75,0.07,,,,
sun_2016_table1,19,21.2,0.2,1400.0,43.2,0.2,,,,
sun_2016_table1,20,23.8,0.3,1400.0,43.05,0.07,,,,
sun_2016_table1,21,26.9,0.3,1400.0,42.62,0.02,,,,
sun_2016_table1,22,32.4,0.4,1400.0,41.94,0.06,,,,
sun_2016_table1,23,33.4,0.4,1400.0,41.75,0.05,,,,
sun_2016_table1,24,38.7,0.4,1400.0,41.11,0.05,,,,
sun_2016_table1,25,42.7,0.5,1400.0,40.61,0.03,,,,
sun_2016_table1,26,45.2,0.5,1400.0,40.34,0.04,,,,
sun_2016_table1,27,52.0,0.6,1400.0,39.62,0.04,,,,
sun_2016_table1,28,60.0,0.7,1400.0,39.01,0.03,,,,
sun_2016_table1,29,66.8,0.8,1400.0,38.47,0.05,,,,
sun_2016_table1,30,76.8,1.0,1400.0,37.57,0.02,,,,
sun_2016_table1,31,88.9,1.2,1400.0,36.82,0.06,,,,
sun_2016_table1,32,92.2,1.2,1400.0,36.57,0.05,,,,
sun_2016_table1,33,92.2,1.2,1400.0,36.57,0.02,,,,
sun_2016_table1,34,104.1,1.4,1400.0,35.89,0.14,,,,
sun_2016_table1,35,109.1,1.5,1400.0,35.55,0.1,,,,
sun_2016_table1,36,115.0,1.6,1400.0,35.25,0.1,,,,
sun_2016_table1,37,119.0,1.7,1400.0,34.96,0.05,,,,
sun_2016_table1,38,134.1,2.0,1400.0,34.09,0.08,,,,
