source_order,pressure_nacl_gpa,pressure_nacl_sigma_gpa,pressure_finite_strain_gpa,pressure_finite_strain_sigma_gpa,temperature_k,vp_km_s,vp_sigma_km_s,vs_km_s,vs_sigma_km_s,density_g_cm3,density_sigma_g_cm3
1,14.48,0.09,14.96,0.03,700.0,10.44,0.04485643017882168,5.65,0.020920680776166378,4.4396,0.0004
2,16.68,0.12,17.22,0.02,700.0,10.53,0.045373835516846484,5.73,0.021258023984927377,4.4748,0.0003
3,18.59,0.14,19.07,0.02,700.0,10.61,0.04587988568547452,5.76,0.021434458741459217,4.5031,0.0003
4,20.25,0.16,20.62,0.03,700.0,10.66,0.04623044096554807,5.76,0.021449709427922237,4.5265,0.0004
5,22.49,0.19,23.15,0.03,700.0,10.78,0.05190051689195663,5.82,0.023165556263828435,4.5637,0.0004
6,12.05,0.07,12.01,0.03,700.0,10.28,0.04290921528395586,5.61,0.02044114162267796,4.3925,0.0004
7,15.39,0.03,15.61,0.04,900.0,10.37,0.04268133585495271,5.63,0.020318376868728727,4.4317,0.0006
8,16.92,0.04,17.22,0.03,900.0,10.47,0.04321885118127433,5.69,0.020544771344151336,4.4578,0.0005
9,15.22,0.09,15.22,0.03,900.0,10.39,0.04451953344462467,5.62,0.02076278558989042,4.4254,0.0004
10,17.5,0.11,17.22,0.02,900.0,10.47,0.045057656210113706,5.68,0.02106013811041496,4.4577,0.0003
11,19.55,0.14,19.64,0.02,900.0,10.55,0.045560415370550444,5.72,0.021248207142663844,4.4961,0.0003
12,20.75,0.16,20.63,0.03,900.0,10.6,0.04585249669507263,5.73,0.02130106462536485,4.5115,0.0004
13,22.33,0.19,22.23,0.02,900.0,10.68,0.051219415018003644,5.77,0.02290986434453668,4.5362,0.0003
14,12.32,0.07,12.17,0.03,900.0,10.2,0.042433995419662196,5.58,0.020269979409256678,4.3747,0.0004
15,15.72,0.09,15.36,0.03,1100.0,10.3,0.04399119049645073,5.58,0.020606260953325517,4.408,0.0004
16,17.47,0.11,17.47,0.02,1100.0,10.37,0.044528282378349715,5.63,0.020828079204180838,4.4436,0.0003
17,19.91,0.14,19.85,0.02,1100.0,10.46,0.045000457791754656,5.66,0.02095187970520307,4.4827,0.0003
18,20.59,0.16,20.55,0.03,1100.0,10.53,0.04543362610378132,5.68,0.021046533653455768,4.4941,0.0004
19,22.71,0.19,22.1,0.03,1100.0,10.59,0.05057662959989706,5.73,0.022677370204609915,4.5191,0.0004
20,18.49,0.09,17.92,0.04,1300.0,10.28,0.042111635384161517,5.58,0.020074513737297295,4.4323,0.0006
21,16.11,0.09,15.68,0.02,1300.0,10.19,0.04327100699868147,5.55,0.020418659369270564,4.3929,0.0003
22,18.38,0.11,17.75,0.02,1300.0,10.32,0.044143150325426816,5.59,0.020651192225143333,4.4293,0.0003
23,20.4,0.14,19.89,0.03,1300.0,10.34,0.04432552278559143,5.64,0.0208751265570708,4.4662,0.0004
24,21.38,0.16,20.63,0.03,1300.0,10.44,0.044902248903667896,5.64,0.020865962832078644,4.4789,0.0004
25,22.81,0.18,21.88,0.03,1300.0,10.49,0.04994055978134604,5.68,0.022465590375727373,4.5,0.0004
26,19.75,0.04,18.85,0.04,1500.0,10.26,0.04206895199768823,5.56,0.020002521608482482,4.4304,0.0006
27,19.02,0.11,17.94,0.03,1500.0,10.22,0.04349794052979483,5.52,0.020310547167637694,4.4137,0.0005
28,20.74,0.05,19.94,0.02,1500.0,10.28,0.043991407352102385,5.57,0.02057196487320123,4.4501,0.0003
29,20.9,0.14,20.01,0.02,1500.0,10.29,0.044093429446519394,5.59,0.02066504741615649,4.4513,0.0003
30,21.71,0.16,20.54,0.03,1500.0,10.32,0.04424161716330133,5.6,0.02071920726782217,4.4608,0.0005
31,22.35,0.18,21.02,0.03,1500.0,10.35,0.0490123507409681,5.63,0.022214350411981165,4.4693,0.0004
32,16.7,0.11,15.84,0.02,1500.0,10.1,0.04192065049592486,5.51,0.01997406207127561,4.3749,0.0004
33,22.3,0.17,20.58,0.03,1700.0,10.21,0.04358497431750408,5.54,0.0204074211385068,4.4456,0.0005
34,21.84,0.16,20.17,0.03,1700.0,10.21,0.04358433871765577,5.55,0.020474619405841388,4.4378,0.0005
