compression_1_minus_v_over_v0,volume_ratio,volume_a3_per_formula_unit,temperature_k,pressure_gpa
0.00,1.00,46.1700,1000,0.0
0.00,1.00,46.1700,2000,6.9
0.00,1.00,46.1700,3000,13.9
0.00,1.00,46.1700,4000,20.9
0.02,0.98,45.2466,1000,4.3
0.02,0.98,45.2466,2000,11.2
0.02,0.98,45.2466,3000,18.2
0.02,0.98,45.2466,4000,25.2
0.04,0.96,44.3232,1000,9.2
0.04,0.96,44.3232,2000,16.0
0.04,0.96,44.3232,3000,23.0
0.04,0.96,44.3232,4000,30.1
0.06,0.94,43.3998,1000,14.6
0.06,0.94,43.3998,2000,21.4
0.06,0.94,43.3998,3000,28.4
0.06,0.94,43.3998,4000,35.5
0.08,0.92,42.4764,1000,20.7
0.08,0.92,42.4764,2000,27.5
0.08,0.92,42.4764,3000,34.5
0.08,0.92,42.4764,4000,41.6
0.10,0.90,41.5530,1000,27.5
0.10,0.90,41.5530,2000,34.3
0.10,0.90,41.5530,3000,41.3
0.10,0.90,41.5530,4000,48.4
0.12,0.88,40.6296,1000,35.2
0.12,0.88,40.6296,2000,42.0
0.12,0.88,40.6296,3000,49.0
0.12,0.88,40.6296,4000,56.0
0.14,0.86,39.7062,1000,43.7
0.14,0.86,39.7062,2000,50.5
0.14,0.86,39.7062,3000,57.5
0.14,0.86,39.7062,4000,64.6
0.16,0.84,38.7828,1000,53.4
0.16,0.84,38.7828,2000,60.1
0.16,0.84,38.7828,3000,67.1
0.16,0.84,38.7828,4000,74.2
0.20,0.80,36.9360,1000,76.3
0.20,0.80,36.9360,2000,83.0
0.20,0.80,36.9360,3000,90.0
0.20,0.80,36.9360,4000,97.1
0.22,0.78,36.0126,1000,89.8
0.22,0.78,36.0126,2000,96.6
0.22,0.78,36.0126,3000,103.6
0.22,0.78,36.0126,4000,110.7
0.24,0.76,35.0892,1000,105.2
0.24,0.76,35.0892,2000,111.9
0.24,0.76,35.0892,3000,118.9
0.24,0.76,35.0892,4000,126.0
0.26,0.74,34.1658,1000,122.4
0.26,0.74,34.1658,2000,129.1
0.26,0.74,34.1658,3000,136.1
0.26,0.74,34.1658,4000,143.2
0.28,0.72,33.2424,1000,141.8
0.28,0.72,33.2424,2000,148.5
0.28,0.72,33.2424,3000,155.5
0.28,0.72,33.2424,4000,162.6
0.30,0.70,32.3190,1000,163.8
0.30,0.70,32.3190,2000,170.4
0.30,0.70,32.3190,3000,177.4
0.30,0.70,32.3190,4000,184.5
