series,pressure_gpa,pressure_standard_deviation_gpa,lattice_a_angstrom,lattice_a_standard_deviation_angstrom,unit_cell_volume_a3,unit_cell_volume_standard_deviation_a3,density_mg_m3,density_standard_deviation_mg_m3
synchrotron,18.8,0.8,3.503,0.009,42.98,0.33,4.487,0.035
synchrotron,19.4,0.8,3.502,0.010,42.94,0.12,4.493,0.013
synchrotron,23.7,0.9,3.489,0.008,42.47,0.10,4.542,0.011
synchrotron,28.4,1.1,3.467,0.013,41.68,0.16,4.628,0.018
synchrotron,32.1,1.3,3.457,0.015,41.31,0.18,4.670,0.020
synchrotron,36.7,1.5,3.442,0.014,40.79,0.17,4.729,0.020
synchrotron,40.2,1.6,3.431,0.011,40.40,0.13,4.775,0.015
synchrotron,41.0,1.6,3.434,0.001,40.48,0.01,4.765,0.001
synchrotron,0.0,,3.561,0.015,45.15,0.20,4.272,0.018
moderate_low_pressure,21.5,0.6,3.490,0.002,42.51,0.07,4.538,0.007
moderate_low_pressure,26.0,0.3,3.475,0.002,41.96,0.07,4.597,0.007
moderate_low_pressure,30.7,0.4,3.460,0.003,41.42,0.11,4.657,0.012
moderate_low_pressure,36.7,1.2,3.440,0.004,40.71,0.14,4.739,0.016
moderate_low_pressure,39.6,0.5,3.428,0.005,40.28,0.18,4.789,0.021
moderate_low_pressure,17.4,1.7,3.504,0.004,43.02,0.15,4.484,0.016
moderate_low_pressure,16.0,1.1,3.506,0.004,43.10,0.15,4.476,0.015
moderate_low_pressure,12.6,0.7,3.514,0.003,43.39,0.11,4.446,0.008
moderate_low_pressure,7.6,0.8,3.533,0.002,44.10,0.08,4.374,0.008
moderate_low_pressure,4.3,0.8,3.549,0.002,44.70,0.08,4.316,0.008
moderate_low_pressure,2.3,0.3,3.557,0.004,45.00,0.15,4.286,0.014
moderate_low_pressure,3.1,0.1,3.551,0.002,44.78,0.03,4.308,0.003
moderate_low_pressure,1.8,0.2,3.562,0.002,45.19,0.04,4.268,0.004
moderate_low_pressure,1.2,0.3,3.564,0.002,45.27,0.03,4.261,0.003
moderate_low_pressure,0.8,0.1,3.559,0.005,45.08,0.06,4.279,0.006
high_pressure,15.5,0.8,3.516,0.008,43.47,0.30,4.438,0.031
high_pressure,27.3,1.0,3.472,0.007,41.85,0.25,4.609,0.028
high_pressure,39.0,1.2,3.437,0.005,40.60,0.18,4.751,0.021
high_pressure,52.0,2.3,3.400,0.007,39.39,0.24,4.908,0.030
high_pressure,59.0,3.4,3.383,0.003,38.72,0.10,4.983,0.013
high_pressure,68.6,1.6,3.358,0.004,37.87,0.14,5.095,0.019
high_pressure,83.2,4.2,3.336,0.006,37.13,0.20,5.196,0.028
high_pressure,95.2,2.0,3.316,0.006,36.46,0.20,5.291,0.029
high_pressure,107.4,1.5,3.299,0.007,35.90,0.23,5.373,0.034
high_pressure,130.6,2.6,3.267,0.004,34.87,0.13,5.532,0.021
high_pressure,134.0,5.2,3.260,0.005,34.65,0.16,5.568,0.026
high_pressure,129.4,3.5,3.259,0.004,34.61,0.13,5.573,0.021
high_pressure,131.7,6.0,3.261,0.002,34.68,0.06,5.563,0.010
high_pressure,117.5,5.6,3.277,0.004,35.19,0.13,5.482,0.020
high_pressure,106.4,5.1,3.294,0.003,35.73,0.10,5.399,0.015
high_pressure,101.6,3.5,3.303,0.005,36.04,0.16,5.353,0.024
high_pressure,85.7,3.2,3.326,0.004,36.78,0.13,5.245,0.019
high_pressure,51.4,1.4,3.407,0.005,39.55,0.17,4.878,0.021
high_pressure,52.0,0.9,3.404,0.007,39.44,0.24,4.891,0.030
high_pressure,15.5,1.9,3.516,0.008,43.47,0.30,4.438,0.031
high_pressure,8.5,1.5,3.543,0.003,44.49,0.11,4.336,0.011
high_pressure,6.9,0.5,3.548,0.008,44.66,0.30,4.319,0.029
