source_order,run,heating,pressure_fei_gpa,pressure_fei_gpa_uncertainty,pressure_holmes_gpa,pressure_holmes_gpa_uncertainty,temperature_k,temperature_k_uncertainty,volume_a3,volume_a3_uncertainty,nacl_volume_a3,nacl_volume_a3_uncertainty,pt_lattice_a,pt_lattice_a_uncertainty,fit_included,fit_stage
1,1,laser,78.4,2.7,80.1,2.6,1618,161.8,37.546,0.029,,,3.712,0.003,1,thermal
2,1,laser,80.6,2.5,82.5,2.4,1620,162.0,37.391,0.030,,,3.707,0.003,1,thermal
3,1,laser,82.7,2.3,84.9,2.2,1563,156.3,37.192,0.044,,,3.701,0.002,1,thermal
4,1,laser,86.8,2.5,89.2,2.4,1670,167.0,36.869,0.028,,,3.675,0.002,1,thermal
5,1,laser,88.9,2.6,91.5,2.5,1659,165.9,36.692,0.041,,,3.690,0.002,1,thermal
6,1,laser,93.3,2.8,96.4,2.8,1597,159.7,36.256,0.010,,,3.681,0.003,1,thermal
7,1,laser,93.5,2.8,96.7,2.7,1564,156.4,36.253,0.034,,,3.680,0.003,1,thermal
8,1,laser,97.4,3.3,101.0,3.3,1555,155.5,35.965,0.004,,,3.672,0.004,1,thermal
9,2,external,51.3,0.6,52.6,0.7,700,15,39.087,0.010,24.220,0.002,3.758,0.002,1,reference_700K
10,2,external,51.6,0.7,52.9,0.7,697,15,39.003,0.015,24.090,0.049,3.757,0.002,1,reference_700K
11,2,external,53.3,1.1,54.6,1.1,698,15,38.796,0.015,23.739,0.044,3.753,0.003,1,reference_700K
12,2,external,68.0,1.6,70.6,1.8,699,15,37.419,0.027,22.113,0.010,3.718,0.004,0,excluded
13,2,external,76.4,1.7,79.7,1.8,703,15,36.956,0.048,21.625,0.094,3.700,0.003,1,reference_700K
14,2,external,82.7,2.1,86.5,2.3,704,15,36.294,0.080,21.141,0.052,3.687,0.004,0,excluded
15,2,external,91.9,0.9,96.7,1.0,704,15,35.792,0.011,20.764,0.024,3.670,0.002,1,reference_700K
16,2,external,97.4,1.2,102.8,1.4,703,15,35.421,0.005,20.433,0.048,3.660,0.002,1,reference_700K
17,2,external,102.0,1.9,107.8,2.1,701,15,35.118,0.003,20.121,0.059,3.652,0.003,1,reference_700K
18,2,external,108.4,1.7,114.9,1.9,703,15,34.768,0.002,19.818,0.044,3.641,0.003,1,reference_700K
19,2,external,113.2,2.3,120.3,2.5,702,15,34.435,0.004,19.492,0.031,3.633,0.004,1,reference_700K
20,2,external,119.1,2.1,126.9,2.4,704,15,33.982,0.042,19.245,0.075,3.623,0.003,0,excluded
21,2,external_and_laser,57.3,1.5,57.7,1.4,1524,152.4,39.202,0.011,,,3.759,0.001,1,thermal
22,2,external_and_laser,60.6,1.5,61.1,1.3,1551,155.1,38.887,0.027,,,3.751,0.001,1,thermal
23,2,external_and_laser,64.5,2.3,65.3,2.2,1549,154.9,38.421,0.028,,,3.742,0.002,1,thermal
24,2,external_and_laser,69.4,2.6,70.7,2.5,1523,152.3,37.994,0.021,,,3.730,0.003,1,thermal
25,2,external_and_laser,83.3,3.1,85.3,3.1,1688,168.8,36.854,0.004,,,3.702,0.004,1,thermal
26,2,external_and_laser,104.9,2.4,109.0,2.3,1676,167.6,35.446,0.026,,,3.661,0.002,1,thermal
27,2,external_and_laser,109.2,3.0,113.8,3.0,1610,161.0,35.166,0.005,,,3.652,0.003,1,thermal
28,2,external_and_laser,115.3,2.9,120.6,2.8,1628,162.8,34.838,0.003,,,3.642,0.003,1,thermal
29,2,external_and_laser,120.1,4.0,125.7,4.0,1691,169.1,34.387,0.044,,,3.635,0.004,1,thermal
30,2,external_and_laser,124.9,3.2,131.4,3.2,1567,156.7,34.060,0.019,,,3.625,0.003,1,thermal
31,3,laser,69.5,1.9,69.5,1.6,2278,227.8,38.689,0.009,,,3.744,0.000,1,thermal
32,3,laser,69.2,1.8,69.4,1.5,2194,219.4,38.585,0.016,,,3.743,0.000,1,thermal
33,3,laser,72.8,1.7,73.6,1.5,1917,191.7,38.091,0.017,,,3.729,0.000,1,thermal
34,3,laser,74.6,1.8,75.6,1.6,1890,189.0,38.075,0.011,,,3.725,0.001,1,thermal
35,3,laser,74.7,1.8,75.6,1.6,1951,195.1,38.119,0.009,,,3.726,0.001,1,thermal
36,3,laser,76.5,1.9,77.2,1.6,2159,215.9,38.126,0.009,,,3.725,0.000,1,thermal
37,3,laser,75.2,1.9,76.2,1.7,1947,194.7,38.068,0.006,,,3.724,0.001,1,thermal
38,3,laser,76.1,1.7,77.0,1.5,2004,200.4,37.986,0.019,,,3.723,0.000,1,thermal
39,3,laser,80.9,2.1,81.8,1.9,2204,220.4,37.720,0.008,,,3.716,0.001,1,thermal
40,3,laser,80.0,1.8,81.3,1.6,1932,193.2,37.637,0.001,,,3.714,0.000,1,thermal
41,3,laser,85.5,1.6,87.3,1.4,1900,190.0,37.131,0.008,,,3.701,0.000,1,thermal
42,3,laser,92.0,1.8,94.0,1.6,2082,208.2,36.719,0.002,,,3.691,0.000,1,thermal
43,3,laser,92.6,2.0,94.6,1.7,2153,215.3,36.718,0.003,,,3.691,0.000,1,thermal
44,3,laser,97.1,2.3,99.7,2.2,2033,203.3,36.308,0.006,,,3.680,0.001,1,thermal
45,3,laser,102.5,2.1,105.4,1.9,2146,214.6,35.965,0.001,,,3.672,0.001,1,thermal
46,3,laser,101.8,2.1,104.8,1.9,2035,203.5,35.944,0.015,,,3.672,0.001,1,thermal
47,3,laser,104.6,2.4,107.7,2.2,2105,210.5,35.749,0.002,,,3.668,0.001,1,thermal
48,3,laser,109.1,2.7,107.2,2.1,2028,202.8,35.431,0.017,,,3.658,0.002,1,thermal
49,3,laser,112.3,2.8,116.3,2.6,2045,204.5,35.228,0.001,,,3.653,0.002,1,thermal
50,3,laser,113.0,2.6,117.2,2.5,1966,196.6,35.187,0.003,,,3.651,0.002,1,thermal
51,3,laser,116.6,2.5,121.2,2.3,1980,198.0,34.967,0.012,,,3.645,0.001,1,thermal
52,3,laser,119.1,2.6,124.1,2.5,1932,193.2,34.797,0.000,,,3.640,0.002,1,thermal
53,3,laser,124.1,2.6,129.3,2.4,2074,207.4,34.598,0.001,,,3.634,0.001,1,thermal
54,3,laser,127.2,2.5,132.7,2.3,2060,206.0,34.426,0.004,,,3.623,0.001,1,thermal
