source_order,experiment_group,pressure_medium,pressure_gpa,pressure_standard_deviation_gpa,volume_a3,volume_standard_deviation_a3,temperature_k,temperature_standard_deviation_k
1,experiment_1,nacl,35.5,0.7,41.599,0.062,1416,54
2,experiment_1,nacl,35.2,0.7,41.648,0.029,1410,54
3,experiment_1,nacl,35.5,0.8,41.658,0.036,1450,60
4,experiment_1,nacl,35.9,0.7,41.785,0.017,1592,44
5,experiment_1,nacl,34.8,0.7,41.855,0.022,1733,49
6,experiment_1,nacl,34.8,0.7,41.919,0.021,1687,51
7,experiment_1,nacl,36.1,0.8,41.813,0.040,1648,41
8,experiment_1,nacl,35.4,0.9,41.789,0.043,1640,41
9,experiment_1,nacl,35.8,0.7,41.843,0.008,1625,55
10,experiment_1,nacl,42.8,1.0,40.965,0.043,1669,31
11,experiment_1,nacl,43.4,0.9,41.010,0.034,1785,66
12,experiment_1,nacl,42.3,1.0,41.096,0.097,1993,73
13,experiment_1,nacl,46.6,1.1,40.438,0.039,1485,46
14,experiment_1,nacl,46.3,2.1,40.338,0.060,1589,35
15,experiment_1,nacl,47.2,1.1,40.309,0.071,1493,51
16,experiment_1,nacl,47.4,1.1,40.396,0.094,1520,45
17,experiment_1,nacl,47.2,1.2,40.431,0.058,1585,50
18,experiments_2_4,argon,24.3,1.2,43.311,0.013,1808,141
19,experiments_2_4,argon,25.0,1.0,43.287,0.029,1756,144
20,experiments_2_4,argon,24.6,0.9,43.447,0.030,1788,89
21,experiments_2_4,argon,23.6,0.6,43.408,0.025,1686,59
22,experiments_2_4,argon,21.9,1.6,43.418,0.074,1555,117
23,experiments_2_4,argon,22.4,0.7,43.434,0.048,1633,78
24,experiments_2_4,argon,21.6,0.8,43.467,0.037,1539,80
25,experiments_2_4,argon,67.4,2.4,38.261,0.057,1652,24
26,experiments_2_4,argon,68.4,2.3,38.203,0.025,1533,40
27,experiments_2_4,argon,68.5,2.4,38.168,0.025,1410,17
28,experiments_2_4,argon,67.2,2.3,38.058,0.060,1272,28
29,experiments_2_4,argon,22.0,0.4,43.658,0.064,1488,45
30,experiments_2_4,argon,21.7,0.7,43.662,0.014,1668,62
31,experiments_2_4,argon,20.6,0.5,43.543,0.009,1511,62
32,experiments_2_4,argon,21.0,0.7,43.569,0.033,1365,54
33,experiments_2_4,argon,56.2,1.6,39.992,0.067,2380,67
34,experiments_2_4,argon,64.3,2.0,38.515,0.083,1752,116
