source_order,source_block,pressure_gpa,pressure_uncertainty_gpa,temperature_k,volume_a3_per_formula_unit,volume_uncertainty_a3
1,1,21.8,0.3,1200,43.07,0.07
2,1,32,0.4,1200,41.73,0.02
3,1,40,0.5,1200,40.83,0.04
4,1,42.6,0.5,1200,40.54,0.02
5,1,45.5,0.6,1200,40.23,0.02
6,1,46.6,0.6,1200,40.1,0.4
7,1,51,0.7,1200,39.66,0.04
8,1,58.6,0.8,1200,39.05,0.04
9,1,65.5,0.9,1200,38.29,0.01
10,1,75.7,1,1200,37.46,0.03
11,1,88.4,1.2,1200,36.73,0.04
12,1,91.3,1.3,1200,36.47,0.03
13,1,102.7,1.5,1200,35.82,0.05
14,1,107.9,1.6,1200,35.5,0.4
15,1,113.8,1.7,1200,35.17,0.03
16,1,118,1.8,1200,34.95,0.03
17,1,132.5,2,1200,34.05,0.04
18,1,140.7,2.2,1200,33.75,0.07
19,1,21.2,0.2,1400,43.2,0.2
20,1,23.8,0.3,1400,43.05,0.07
21,1,26.9,0.3,1400,42.62,0.02
22,1,32.4,0.4,1400,41.94,0.06
23,1,33.4,0.4,1400,41.75,0.05
24,1,38.7,0.4,1400,41.11,0.05
25,1,42.7,0.5,1400,40.61,0.03
26,1,45.2,0.5,1400,40.34,0.04
27,1,52,0.6,1400,39.62,0.04
28,1,60,0.7,1400,39.01,0.03
29,1,66.8,0.8,1400,38.47,0.05
30,1,76.8,1,1400,37.57,0.02
31,1,88.9,1.2,1400,36.82,0.06
32,1,92.2,1.2,1400,36.57,0.05
33,1,92.2,1.2,1400,36.57,0.02
34,1,104.1,1.4,1400,35.89,0.14
35,1,109.1,1.5,1400,35.55,0.1
36,1,115,1.6,1400,35.25,0.1
37,1,119,1.7,1400,34.96,0.05
38,1,134.1,2,1400,34.09,0.08
39,1,141.8,2.1,1400,33.79,0.06
40,1,25.7,0.3,1600,43.07,0.02
41,1,29.5,0.3,1600,42.45,0.04
42,1,35.3,0.4,1600,41.74,0.04
43,1,35.3,0.4,1600,41.72,0.09
44,1,39.1,0.4,1600,41.24,0.03
45,1,39.4,0.4,1600,41.19,0.03
46,1,40.6,0.4,1600,41.09,0.01
47,1,40.6,0.4,1600,41.06,0.05
48,1,42,0.5,1600,40.96,0.02
49,2,43.3,0.5,1600,40.69,0.06
50,2,44.2,0.5,1600,40.61,0.03
51,2,51,0.6,1600,39.87,0.05
52,2,60.4,0.7,1600,39.06,0.02
53,2,67.9,0.8,1600,38.48,0.02
54,2,74.5,0.9,1600,38.01,0.07
55,2,77.8,0.9,1600,37.65,0.02
56,2,80.5,1,1600,37.44,0.04
57,2,83.8,1,1600,37.19,0.04
58,2,85.8,1,1600,37.08,0.03
59,2,92.2,1.1,1600,36.6,0.3
60,2,93.1,1.2,1600,36.6,0.7
61,2,105,1.3,1600,35.94,0.02
62,2,111.1,1.5,1600,35.58,0.06
63,2,116.6,1.5,1600,35.24,0.01
64,2,120,1.6,1600,34.98,0.1
65,2,135.3,1.9,1600,34.12,0.11
66,2,143.2,2,1600,33.82,0.05
67,2,146.9,2.1,1600,33.6,0.3
68,2,32.4,0.4,1800,42.36,0.03
69,2,32.9,0.4,1800,42.17,0.06
70,2,33,0.4,1800,42.24,0.05
71,2,37.3,0.4,1800,41.65,0.08
72,2,40.6,0.4,1800,41.27,0.02
73,2,44.4,0.5,1800,40.77,0.07
74,2,47.8,0.5,1800,40.42,0.07
75,2,49.2,0.5,1800,40.21,0.03
76,2,53.5,0.6,1800,39.85,0.09
77,2,56.5,0.6,1800,39.64,0.03
78,2,60.6,0.6,1800,39.3,0.3
79,2,64.4,0.7,1800,38.83,0.02
80,2,70.8,0.8,1800,38.45,0.03
81,2,70.9,0.8,1800,38.45,0.05
82,2,75.4,0.8,1800,38.03,0.1
83,2,76.8,0.9,1800,37.92,0.05
84,2,78.4,0.9,1800,37.66,0.04
85,2,80.5,0.9,1800,37.59,0.02
86,2,89.2,1,1800,37.02,0.06
87,2,94,1.1,1800,36.6,1
88,2,106,1.3,1800,36,4
89,2,112.1,1.4,1800,35.62,0.12
90,2,116.7,1.5,1800,35.33,0.07
91,2,121.7,1.5,1800,35.01,0.02
92,2,135.9,1.8,1800,34.15,0.04
93,2,144.1,1.9,1800,33.86,0.06
94,2,149.5,2,1800,33.6,0.7
95,2,35.5,0.4,2000,42.27,0.07
96,2,36.3,0.4,2000,42.13,0.04
97,3,43.1,0.5,2000,41.05,0.04
98,3,44.5,0.5,2000,40.91,0.04
99,3,45.5,0.5,2000,40.87,0.06
100,3,47.4,0.5,2000,40.57,0.03
101,3,51.7,0.5,2000,40.37,0.03
102,3,52.7,0.5,2000,40.35,0.05
103,3,55.2,0.6,2000,39.89,0.03
104,3,59,0.6,2000,39.66,0.02
105,3,70.9,0.7,2000,38.45,0.07
106,3,71.6,0.7,2000,38.42,0.02
107,3,76,0.8,2000,38.11,0.04
108,3,77.5,0.8,2000,37.95,0.06
109,3,82.5,0.9,2000,37.5,0.4
110,3,86.2,0.9,2000,37.18,0.07
111,3,90.4,1,2000,37.01,0.06
112,3,95.1,1,2000,36.61,0.05
113,3,106,1.2,2000,36.09,0.05
114,3,113.2,1.3,2000,35.63,0.03
115,3,118.2,1.4,2000,35.34,0.04
116,3,122.2,1.5,2000,35.05,0.04
117,3,136.7,1.7,2000,34.17,0.03
118,3,143.9,1.8,2000,33.9,0.5
119,3,151.2,2,2000,33.62,0.02
120,3,118.2,1.4,2000,35.34,0.06
121,3,122.2,1.5,2000,35.05,0.05
122,3,136.7,1.7,2000,34.17,0.02
123,3,143.9,1.8,2000,33.9,1.4
124,3,151.2,2,2000,33.62,0.1
125,3,72.8,0.7,2200,38.5,1
126,3,77.4,0.8,2200,38.13,0.05
127,3,143.9,1.8,2000,33.9,1.4
128,3,151.2,2,2000,33.62,0.1
129,3,72.8,0.7,2200,38.5,1
130,3,77.4,0.8,2200,38.13,0.05
131,3,79.4,0.8,2200,37.99,0.06
132,3,92.8,1,2200,36.91,0.08
133,3,95.3,1,2200,36.68,0.01
134,3,106.5,1.1,2200,36.07,0.11
135,3,113.5,1.3,2200,35.71,0.05
136,3,118.5,1.3,2200,35.37,0.04
137,3,135.2,1.6,2200,34.34,0.03
138,3,137.2,1.6,2200,34.24,0.03
139,3,145.3,1.8,2200,33.87,0.07
140,3,151.8,1.9,2200,33.62,0.07
141,3,139.5,1.6,2400,34.25,0.06
142,3,146.2,1.7,2400,33.95,0.05
143,3,150.4,1.8,2400,33.75,0.05
144,3,151.6,1.7,2600,33.83,0.08
