source_order,source_subset,pressure_gpa,pressure_uncertainty_gpa,a_angstrom,a_uncertainty_angstrom,c_angstrom,c_uncertainty_angstrom,volume_a3_conventional_cell,volume_uncertainty_a3
1,sun_2016_reanalyzed,21.5,0.4,4.904,0.002,6.947,0.003,167.0,0.2
2,sun_2016_reanalyzed,24.9,0.6,4.882,0.003,6.926,0.004,165.1,0.3
3,sun_2016_reanalyzed,30.2,0.5,4.875,0.002,6.920,0.003,164.4,0.2
4,sun_2016_reanalyzed,38.4,0.7,4.837,0.001,6.868,0.003,160.7,0.1
5,sun_2016_reanalyzed,43.6,1.1,4.822,0.003,6.823,0.005,158.7,0.3
6,sun_2016_reanalyzed,52.0,1.3,4.776,0.002,6.796,0.003,155.0,0.2
7,sun_2016_reanalyzed,57.0,1.5,4.753,0.004,6.747,0.005,152.4,0.4
8,sun_2016_reanalyzed,59.9,1.5,4.743,0.002,6.741,0.003,151.7,0.2
9,sun_2016_reanalyzed,63.4,1.6,4.741,0.002,6.731,0.003,151.3,0.2
10,sun_2016_reanalyzed,69.9,1.7,4.717,0.003,6.701,0.004,149.1,0.3
11,sun_2016_reanalyzed,84.4,2.1,4.673,0.001,6.651,0.002,145.2,0.1
12,sun_2016_reanalyzed,93.4,2.4,4.643,0.002,6.621,0.003,142.7,0.2
13,sun_2016_reanalyzed,98.1,2.6,4.621,0.004,6.585,0.005,140.6,0.4
14,sun_2016_reanalyzed,124.0,3.0,4.565,0.003,6.503,0.005,135.5,0.3
15,sun_2022_new,148.3,3.6,4.502,0.003,6.433,0.005,130.4,0.3
16,sun_2022_new,148.4,3.6,4.500,0.003,6.430,0.005,130.2,0.3
17,sun_2022_new,159.2,3.8,4.481,0.002,6.400,0.004,128.5,0.2
18,sun_2022_new,163.3,4.0,4.471,0.002,6.384,0.003,127.6,0.2
19,sun_2022_new,171.4,4.1,4.460,0.002,6.374,0.003,126.8,0.2
20,sun_2022_new,172.6,4.1,4.461,0.001,6.378,0.002,126.9,0.1
21,sun_2022_new,179.2,4.3,4.449,0.003,6.356,0.002,125.8,0.2
22,sun_2022_new,193.1,4.8,4.428,0.003,6.333,0.005,124.2,0.3
23,sun_2022_new,199.2,4.7,4.415,0.002,6.315,0.004,123.1,0.2
