source_order,run,pressure_gpa,temperature_k,volume_a3,volume_standard_deviation_a3,differential_stress_gpa,include_in_eos_fit,exclusion_reason,source_lineage
1,13,12.04,1368,44.76,0.01,0.001,true,,Wang_et_al_1996
2,13,11.69,1172,44.54,0.02,0.006,true,,Wang_et_al_1996
3,13,11.35,970,44.41,0.03,0.007,true,,Wang_et_al_1996
4,13,11.06,977,44.45,0.02,-0.018,true,,Wang_et_al_1996
5,13,10.49,980,44.53,0.03,0.008,true,,Wang_et_al_1996
6,13,9.37,976,44.71,0.03,-0.021,true,,Wang_et_al_1996
7,13,7.95,974,44.92,0.02,-0.021,true,,Wang_et_al_1996
8,13,5.51,980,45.44,0.02,0.019,true,,Wang_et_al_1996
9,13,10.92,769,44.23,0.03,0.018,true,,Wang_et_al_1996
10,13,10.58,769,44.28,0.02,0.008,true,,Wang_et_al_1996
11,13,9.98,770,44.38,0.03,0.038,true,,Wang_et_al_1996
12,13,8.97,774,44.51,0.02,-0.035,true,,Wang_et_al_1996
13,13,7.52,772,44.78,0.02,-0.015,true,,Wang_et_al_1996
14,13,5.04,771,45.25,0.01,-0.030,true,,Wang_et_al_1996
15,13,10.58,572,44.07,0.02,-0.013,true,,Wang_et_al_1996
16,13,10.15,572,44.12,0.01,0.023,true,,Wang_et_al_1996
17,13,9.50,575,44.22,0.02,0.038,true,,Wang_et_al_1996
18,13,8.48,570,44.37,0.04,0.002,true,,Wang_et_al_1996
19,13,7.09,572,44.63,0.01,-0.007,true,,Wang_et_al_1996
20,13,4.68,570,45.12,0.01,0.011,true,,Wang_et_al_1996
21,13,10.07,306,43.83,0.02,-0.017,true,,Wang_et_al_1996
22,13,9.54,303,43.87,0.03,-0.004,true,,Wang_et_al_1996
23,13,9.63,304,43.93,0.03,-0.004,true,,Wang_et_al_1996
24,13,8.97,302,44.01,0.03,0.023,true,,Wang_et_al_1996
25,13,8.98,302,43.99,0.03,0.003,true,,Wang_et_al_1996
