source_order,pressure_gpa,temperature_k,volume_a3,volume_sigma_a3,differential_stress_gpa,fit_included
1,10.07,306,43.83,0.02,-0.017,1
2,9.54,303,43.87,0.03,-0.004,1
3,9.63,304,43.93,0.03,-0.004,1
4,8.97,302,44.01,0.03,0.023,1
5,8.98,302,43.99,0.03,0.003,1
6,7.97,301,44.08,0.04,0.031,1
7,7.94,303,44.14,0.02,-0.001,1
8,6.54,303,44.38,0.04,-0.006,1
9,4.95,301,44.59,0.04,0.080,1
10,4.15,303,44.87,0.01,-0.001,1
11,4.12,303,44.87,0.01,-0.026,1
12,2.66,301,45.03,0.01,0.092,1
13,1.137,301,45.39,0.06,0.132,0
14,0.595,301,45.22,0.04,0.145,0
