point_id,direction,pressure_gpa,volume_a3_conventional_cell,pixel_x,pixel_y,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3,high_spin_fit_included,low_spin_fit_included,notes
hs_d01,decompression,28.363636,210.813953,93.5,289.5,0.25,0.25,1,0,separable larger-volume open-circle center
hs_d02,decompression,32.000000,207.093023,108.5,305.5,0.25,0.25,1,0,separable larger-volume open-circle center
hs_d03,decompression,36.484848,206.744186,127.0,307.0,0.25,0.25,1,0,separable larger-volume open-circle center
hs_d04,decompression,42.181818,201.976744,150.5,327.5,0.25,0.25,1,0,separable larger-volume open-circle center
hs_d05,decompression,43.515152,199.418605,156.0,338.5,0.25,0.25,1,0,separable larger-volume open-circle center
hs_d06,decompression,48.000000,198.255814,174.5,343.5,0.25,0.25,1,0,separable larger-volume open-circle center near transition
hs_d07,decompression,50.181818,197.558140,183.5,346.5,0.25,0.25,1,0,separable larger-volume open-circle center near transition
ls_c01,compression,46.181818,194.418605,167.0,360.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c02,compression,48.606061,193.255814,177.0,365.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c03,compression,51.757576,192.325581,190.0,369.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c04,compression,55.393939,190.930233,205.0,375.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c05,compression,59.757576,188.604651,223.0,385.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c06,compression,62.909091,187.441860,236.0,390.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c07,compression,66.060606,185.813953,249.0,397.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c08,compression,70.666667,183.488372,268.0,407.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c09,compression,74.060606,182.325581,282.0,412.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c10,compression,77.939394,181.162791,298.0,417.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c11,compression,81.090909,180.232558,311.0,421.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_c12,compression,84.242424,179.302326,324.0,425.0,0.25,0.25,0,1,separable filled-circle center on lower-volume branch
ls_d01,decompression,50.545455,192.325581,185.0,369.0,0.25,0.25,0,1,separable lower-volume open-circle center
ls_d02,decompression,57.818182,190.232558,215.0,378.0,0.25,0.25,0,1,separable lower-volume open-circle center
ls_d03,decompression,60.969697,187.906977,228.0,388.0,0.25,0.25,0,1,separable lower-volume open-circle center
ls_d04,decompression,74.303030,182.093023,283.0,413.0,0.25,0.25,0,1,separable lower-volume open-circle center
ls_d05,decompression,76.969697,181.395349,294.0,416.0,0.25,0.25,0,1,separable lower-volume open-circle center
ls_d06,decompression,83.515152,179.069767,321.0,426.0,0.25,0.25,0,1,separable lower-volume open-circle center
