pressure_gpa,pressure_uncertainty_gpa,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,pressure_medium
0.30,0.01,226.203,0.011,methanol_ethanol_4_1
1.40,0.01,224.95,0.01,methanol_ethanol_4_1
2.60,0.06,223.348,0.009,methanol_ethanol_4_1
3.60,0.08,222.209,0.009,methanol_ethanol_4_1
4.2,0.1,221.45,0.01,methanol_ethanol_4_1
4.9,0.1,220.76,0.01,methanol_ethanol_4_1
5.7,0.2,219.99,0.01,methanol_ethanol_4_1
6.30,0.05,219.335,0.011,methanol_ethanol_4_1
6.90,0.05,218.914,0.011,methanol_ethanol_4_1
7.6,0.1,218.340,0.017,methanol_ethanol_4_1
12.5,0.5,213.59,0.19,nacl_laser_annealed
7.2,0.5,218.680,0.065,nacl_laser_annealed
11.9,0.5,213.59,0.25,nacl_laser_annealed
20.4,0.8,205.09,0.11,nacl_laser_annealed
29,1,200.92,0.23,nacl_laser_annealed
