pressure_gpa,pressure_standard_deviation_gpa,a_angstrom,a_standard_deviation_angstrom,b_angstrom,b_standard_deviation_angstrom,c_angstrom,c_standard_deviation_angstrom,volume_a3,volume_standard_deviation_a3,loading_path,fit_included
0.00010,0.00001,5.34765,0.00010,5.59186,0.00009,7.6735,0.0002,229.463,0.008,1,1
1.56,0.05,5.32906,0.00013,5.58355,0.00012,7.6531,0.0003,227.718,0.012,1,1
2.06,0.05,5.32251,0.00009,5.58091,0.00012,7.64550,0.00012,227.105,0.010,1,1
3.05,0.05,5.31005,0.00011,5.57602,0.00011,7.6320,0.0003,225.976,0.010,1,1
4.00,0.05,5.29799,0.00011,5.57157,0.00011,7.6194,0.0003,224.911,0.011,1,1
4.74,0.05,5.28937,0.00011,5.56848,0.00010,7.6103,0.0002,224.152,0.010,1,1
5.63,0.05,5.27702,0.00009,5.56466,0.00010,7.5976,0.0002,223.100,0.009,1,1
6.69,0.05,5.26435,0.00010,5.56066,0.00012,7.5848,0.0003,222.032,0.011,1,1
7.44,0.05,5.25429,0.00011,5.55758,0.00012,7.5746,0.0003,221.188,0.010,1,1
7.79,0.05,5.24959,0.00008,5.55629,0.00009,7.5699,0.0002,220.801,0.008,1,1
5.26,0.05,5.2846,0.0008,5.5684,0.0009,7.607,0.002,223.86,0.08,2,0
