pressure_gpa,pressure_standard_deviation_gpa,a_angstrom,a_standard_deviation_angstrom,b_angstrom,b_standard_deviation_angstrom,c_angstrom,c_standard_deviation_angstrom,volume_a3,volume_standard_deviation_a3,loading_path,fit_included
0.00010,0.00001,3.14541,0.00012,9.8618,0.0003,7.29788,0.00011,226.376,0.012,1,1
1.56,0.05,3.13844,0.00010,9.8224,0.0003,7.28301,0.00009,224.513,0.010,1,1
2.06,0.05,3.13613,0.00009,9.8083,0.0002,7.27784,0.00008,223.868,0.010,1,1
3.05,0.05,3.13176,0.00010,9.7822,0.0003,7.26821,0.00009,222.665,0.010,1,1
4.00,0.05,3.12768,0.00012,9.7573,0.0004,7.25933,0.00011,221.539,0.012,1,1
4.74,0.05,3.12487,0.00017,9.7383,0.0005,7.25286,0.00017,220.711,0.017,1,1
5.63,0.05,3.12079,0.00009,9.7150,0.0002,7.24434,0.00008,219.638,0.009,1,1
6.69,0.05,3.11669,0.00009,9.6900,0.0002,7.23571,0.00008,218.524,0.008,1,1
7.44,0.05,3.1136,0.0008,9.6706,0.0002,7.22909,0.00007,217.670,0.007,1,1
7.79,0.05,3.1121,0.0002,9.6620,0.0006,7.2259,0.0002,217.28,0.02,1,1
5.26,0.05,3.12238,0.00008,9.7241,0.0002,7.24736,0.00007,220.047,0.008,2,0
