measurement_sequence,pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3
1,0.000,0.000,4.98914,0.00030,17.06107,0.00067,367.787,0.004
2,0.902,0.005,4.97759,0.00022,16.93936,0.00051,363.468,0.031
3,0.832,0.004,4.97846,0.00019,16.94497,0.00044,363.715,0.027
4,0.136,0.006,4.98768,0.00041,17.04437,0.00093,367.205,0.058
5,0.633,0.005,4.98134,0.00033,16.97161,0.00086,364.708,0.047
6,0.226,0.004,4.98621,0.00037,17.03038,0.00086,366.688,0.053
7,0.589,0.005,4.98164,0.00033,16.98032,0.00075,364.940,0.046
8,0.274,0.005,4.98555,0.00039,17.02863,0.00096,366.553,0.055
9,0.548,0.003,4.98189,0.00037,16.98481,0.00086,365.073,0.053
10,0.465,0.006,4.98288,0.00029,16.99760,0.00064,365.493,0.041
11,1.077,0.006,4.97532,0.00026,16.91495,0.00056,362.612,0.038
12,1.340,0.006,4.97146,0.00032,16.87915,0.00077,361.284,0.045
13,1.354,0.006,4.97148,0.00026,16.87817,0.00055,361.266,0.036
14,1.425,0.008,4.97062,0.00027,16.87164,0.00065,361.001,0.039
