temperature_k,temperature_uncertainty_k,pressure_gpa,pressure_uncertainty_gpa,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom
298,,49.9,0.1,77.55,0.07,4.182,0.005,4.600,0.006,4.031,0.004
298,,52.2,0.1,76.89,0.02,4.155,0.002,4.611,0.002,4.014,0.005
298,,55.4,0.1,76.23,0.06,4.132,0.004,4.594,0.005,4.016,0.009
298,,56.1,0.2,75.99,0.07,4.127,0.005,4.589,0.005,4.013,0.009
298,,56.8,0.2,75.77,0.09,4.121,0.007,4.589,0.007,4.008,0.009
298,,59.1,0.2,75.22,0.09,4.104,0.006,4.574,0.007,4.007,0.009
298,,60.6,0.2,74.95,0.07,4.102,0.005,4.576,0.006,3.994,0.009
298,,66.1,0.2,73.70,0.04,4.075,0.003,4.558,0.003,3.967,0.009
298,,67.5,0.3,73.36,0.03,4.066,0.002,4.548,0.002,3.968,0.006
1308,100,60.3,0.5,76.36,0.06,4.144,0.004,4.595,0.005,4.010,0.009
1317,100,60.1,0.5,76.35,0.04,4.145,0.003,4.597,0.003,4.007,0.009
1319,100,72.3,0.7,73.63,0.04,4.076,0.002,4.554,0.003,3.967,0.009
1320,100,61.6,0.5,76.17,0.05,4.135,0.004,4.592,0.004,4.012,0.009
1322,100,72.6,0.6,73.58,0.03,4.073,0.002,4.553,0.003,3.967,0.009
1326,100,60.8,0.5,76.30,0.07,4.143,0.005,4.597,0.006,4.007,0.009
1340,100,73.1,0.6,73.57,0.03,4.073,0.002,4.552,0.002,3.968,0.009
1348,100,64.0,0.6,75.62,0.08,4.117,0.005,4.578,0.006,4.013,0.009
1353,100,64.0,0.5,75.67,0.08,4.118,0.005,4.578,0.006,4.015,0.009
1354,100,63.8,0.5,75.72,0.09,4.119,0.006,4.578,0.007,4.015,0.009
1358,100,73.3,0.6,73.57,0.05,4.072,0.004,4.552,0.004,3.970,0.009
1360,100,57.8,0.5,77.04,0.05,4.155,0.003,4.606,0.004,4.025,0.009
1360,100,57.4,0.5,77.11,0.04,4.158,0.003,4.607,0.003,4.026,0.009
1360,100,61.3,0.5,76.22,0.04,4.140,0.003,4.594,0.003,4.007,0.009
1362,100,69.2,0.6,74.41,0.01,4.103,0.001,4.564,0.001,3.974,0.003
1366,100,69.4,0.6,74.28,0.02,4.102,0.001,4.565,0.002,3.967,0.004
1366,100,69.0,0.6,74.40,0.06,4.103,0.001,4.565,0.001,3.972,0.005
1368,100,72.6,0.7,73.60,0.02,4.075,0.002,4.554,0.002,3.966,0.009
1369,100,60.1,0.5,76.45,0.06,4.147,0.004,4.597,0.004,4.010,0.009
1369,100,64.1,0.6,75.61,0.08,4.117,0.005,4.577,0.006,4.013,0.009
1372,100,63.6,0.5,75.74,0.07,4.119,0.005,4.578,0.006,4.016,0.009
1374,100,58.2,0.5,76.96,0.05,4.155,0.003,4.605,0.004,4.022,0.009
1378,100,64.6,0.6,75.50,0.08,4.115,0.006,4.577,0.006,4.009,0.009
1381,100,64.5,0.6,75.60,0.08,4.115,0.005,4.576,0.006,4.015,0.009
1392,100,64.5,0.6,75.61,0.08,4.116,0.006,4.577,0.006,4.013,0.009
1393,100,69.7,0.6,74.22,0.04,4.100,0.003,4.565,0.003,3.965,0.008
1396,100,72.5,0.7,73.65,0.02,4.076,0.002,4.554,0.002,3.968,0.009
1402,100,69.0,0.6,74.49,0.03,4.104,0.001,4.565,0.002,3.976,0.006
1405,100,69.9,0.6,74.18,0.03,4.100,0.002,4.565,0.003,3.963,0.007
1414,100,64.9,0.6,75.51,0.08,4.113,0.006,4.576,0.006,4.012,0.009
1415,100,58.8,0.5,76.90,0.04,4.154,0.003,4.605,0.003,4.021,0.009
1422,100,65.1,0.6,75.51,0.09,4.113,0.006,4.575,0.007,4.013,0.009
1429,100,59.5,0.5,76.79,0.04,4.151,0.003,4.603,0.003,4.019,0.008
1430,100,65.8,0.6,75.40,0.09,4.109,0.007,4.574,0.007,4.011,0.009
1431,100,72.8,0.7,73.64,0.02,4.077,0.001,4.554,0.001,3.967,0.003
