source_row,pressure_gpa,pressure_sd_gpa,lattice_a_angstrom,lattice_a_sd_angstrom,lattice_b_angstrom,lattice_b_sd_angstrom,lattice_c_angstrom,lattice_c_sd_angstrom,unit_cell_volume_a3,unit_cell_volume_sd_a3
1,0.001,,5.38041,0.00019,5.4432,0.0002,7.6406,0.0004,223.769,0.017
2,1.157,0.005,5.36837,0.00018,5.4311,0.0002,7.6240,0.0004,222.285,0.016
3,1.960,0.005,5.36001,0.00016,5.4231,0.0002,7.6128,0.0004,221.289,0.016
4,2.913,0.005,5.35055,0.00022,5.4137,0.0003,7.6004,0.0006,220.156,0.021
5,4.232,0.006,5.33896,0.00016,5.4020,0.0002,7.5834,0.0003,218.714,0.014
6,5.303,0.008,5.32888,0.00016,5.3918,0.0002,7.5710,0.0002,217.532,0.015
7,5.782,0.009,5.32426,0.00023,5.3875,0.0003,7.5650,0.0006,216.997,0.020
8,6.940,0.008,5.31418,0.00024,5.3778,0.0002,7.5514,0.0007,215.807,0.022
9,7.685,0.009,5.30815,0.00025,5.3720,0.0003,7.5430,0.0006,215.104,0.022
10,8.848,0.009,5.29851,0.00018,5.3626,0.0002,7.5300,0.0005,213.954,0.016
11,9.700,0.009,5.29191,0.00022,5.3565,0.0003,7.5216,0.0006,213.207,0.020
