source_table,temperature_k,pressure_gpa,log10_fugacity
Table S4,1000.0,0.0,-21.6067683060155
Table S4,1000.0,1.0,-21.0601010033554
Table S4,1000.0,2.0,-20.5163186804466
Table S4,1000.0,3.0,-19.9754359781383
Table S4,1000.0,4.0,-19.4374533287336
Table S4,1000.0,5.0,-18.9023604150503
Table S4,1000.0,6.0,-18.3701387839311
Table S4,1000.0,7.0,-17.8407638385363
Table S4,1000.0,8.0,-17.3142063689821
Table S4,1000.0,9.0,-16.7904337362676
Table S4,1000.0,10.0,-16.2694107932753
Table S4,1000.0,11.0,-15.7511006046134
Table S4,1000.0,12.0,-15.235465011305
Table S4,1000.0,13.0,-14.7224650749323
Table S4,1000.0,14.0,-14.2120614275034
Table S4,1000.0,15.0,-13.7042145471452
Table S4,1000.0,16.0,-13.1889716813796
Table S4,1000.0,17.0,-12.6666010015758
Table S4,1000.0,18.0,-12.1472689321428
Table S4,1000.0,19.0,-11.6309074352679
Table S4,1000.0,20.0,-11.117451236149
Table S4,1000.0,21.0,-10.606837663132
Table S4,1000.0,22.0,-10.0990064995176
Table S4,1000.0,23.0,-9.59389984604933
Table S4,1000.0,24.0,-9.09146199318433
Table S4,1000.0,25.0,-8.59163930232951
Table S4,1000.0,26.0,-8.09438009529995
Table S4,1000.0,27.0,-7.59963455132572
Table S4,1000.0,28.0,-7.10735461099373
Table S4,1000.0,29.0,-6.61749388656755
Table S4,1000.0,30.0,-6.13000757817869
Table S4,1000.0,31.0,-5.64485239542812
Table S4,1000.0,32.0,-5.16198648397842
Table S4,1000.0,33.0,-4.68136935675382
Table S4,1000.0,34.0,-4.20296182939928
Table S4,1000.0,35.0,-3.72672595967994
Table S4,1000.0,36.0,-3.25262499052981
Table S4,1000.0,37.0,-2.78062329648346
Table S4,1000.0,38.0,-2.31068633324698
Table S4,1000.0,39.0,-1.84278059018457
Table S4,1000.0,40.0,-1.37687354551596
Table S4,1000.0,41.0,-0.912933624036522
Table S4,1000.0,42.0,-0.450930157186824
Table S4,1000.0,43.0,0.00916665468728439
Table S4,1000.0,44.0,0.467385778030728
Table S4,1000.0,45.0,0.923755379866577
Table S4,1000.0,46.0,1.37830285979927
Table S4,1000.0,47.0,1.83105488034897
Table S4,1000.0,48.0,2.28203739572336
Table S4,1000.0,49.0,2.73127567912539
Table S4,1000.0,50.0,3.1787943486883
Table S4,1000.0,51.0,3.62461739212216
Table S4,1000.0,52.0,4.06876819015066
Table S4,1000.0,53.0,4.51126953881071
Table S4,1000.0,54.0,4.95214367068262
Table S4,1000.0,55.0,5.39141227511369
Table S4,1000.0,56.0,5.82909651749393
Table S4,1000.0,57.0,6.2652170576382
Table S4,1000.0,58.0,6.69979406732587
Table S4,1000.0,59.0,7.13284724704527
Table S4,1000.0,60.0,7.56439584198729
Table S4,1000.0,61.0,7.99445865732947
Table S4,1000.0,62.0,8.42305407284929
Table S4,1000.0,63.0,8.8502000569029
Table S4,1000.0,64.0,9.27591417980302
Table S4,1000.0,65.0,9.70021362662802
Table S4,1000.0,66.0,10.1231152094916
Table S4,1000.0,67.0,10.5446353793016
Table S4,1000.0,68.0,10.9647902370331
Table S4,1000.0,69.0,11.3835955445418
Table S4,1000.0,70.0,11.8010667349397
Table S4,1000.0,71.0,12.2172189225555
Table S4,1000.0,72.0,12.6320669124996
Table S4,1000.0,73.0,13.0456252098541
Table S4,1000.0,74.0,13.4579080285046
Table S4,1000.0,75.0,13.8689292996321
Table S4,1000.0,76.0,14.2787026798801
Table S4,1000.0,77.0,14.6872415592132
Table S4,1000.0,78.0,15.0945590684814
