run,pressure_kbar,pressure_gradient_standard_deviation_kbar,phase,lattice_a_angstrom,normalized_volume,used_in_eos_fit
C1,80,10,B1,4.7076,0.937,yes
C2,219,14,B1,4.5908,0.869,yes
C4,420,19,B1,4.4432,0.788,yes
C5,543,36,B1,4.3835,0.757,yes
C6,600,12,B1,4.3581,0.744,yes
C7,658,18,B2,2.6335,0.656,yes
C8,711,25,B2,2.6153,0.643,yes
C9,749,21,B2,2.6081,0.637,yes
C10,840,29,B2,2.5882,0.623,yes
C11,902,40,B2,2.5764,0.614,yes
C12,591,24,B2,2.6473,0.667,yes
C13,566,23,B2,2.6572,0.674,yes
C14,527,16,B2,2.6608,0.677,no
C15,262,42,B1,4.5524,0.847,yes
D1,302,25,B1,4.5321,0.836,yes
D2,859,61,B2,2.5774,0.615,yes
D3,1114,107,B2,2.5232,0.577,yes
D4,1260,125,B2,2.5045,0.564,yes
D5,1349,85,B2,2.4886,0.554,yes
