pressure_gpa,volume_ratio,pressure_error_gpa,volume_ratio_error,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty
0.0000,1.000000,,,0.8,0.0035
1.8841,0.989922,,,0.8,0.0035
3.4783,0.982171,,,0.8,0.0035
6.2319,0.968217,,,0.8,0.0035
8.5507,0.956202,,,0.8,0.0035
11.5942,0.944961,,,0.8,0.0035
14.0580,0.935659,2.029,0.00969,0.8,0.0035
17.9710,0.919380,2.246,0.00620,0.8,0.0035
24.2029,0.903488,2.319,0.00814,0.8,0.0035
28.6957,0.893411,3.333,0.00853,0.8,0.0035
30.2899,0.874031,3.333,0.00581,0.8,0.0035
33.3333,0.863953,3.841,0.00620,0.8,0.0035
40.1449,0.855039,,,0.8,0.0035
42.3188,0.847674,4.275,0.00620,0.8,0.0035
45.2174,0.842248,4.348,0.00717,0.8,0.0035
47.2464,0.835271,,,0.8,0.0035
52.1739,0.832946,5.580,0.00853,0.8,0.0035
56.6667,0.824806,5.290,0.00814,0.8,0.0035
63.6232,0.812791,6.812,0.00698,0.8,0.0035
68.1159,0.805814,7.029,0.00698,0.8,0.0035
72.7536,0.794961,7.246,0.00717,0.8,0.0035
