pressure_gpa,lattice_parameter_angstrom,volume_angstrom3,pressure_digitization_uncertainty_gpa,lattice_parameter_digitization_uncertainty_angstrom
0.8481,5.403585,157.777816,0.20,0.0026
1.2278,5.401509,157.596082,0.20,0.0026
1.6709,5.396415,157.150601,0.20,0.0026
1.9873,5.394528,156.985821,0.20,0.0026
2.4304,5.392264,156.788237,0.20,0.0026
2.9114,5.386226,156.262158,0.20,0.0026
3.4051,5.383585,156.032368,0.20,0.0026
4.2152,5.378868,155.622591,0.20,0.0026
5.5190,5.370943,154.935781,0.20,0.0026
6.0253,5.365094,154.430148,0.20,0.0026
7.3924,5.357358,153.763100,0.20,0.0026
8.0633,5.351698,153.276234,0.20,0.0026
8.7722,5.344528,152.661014,0.20,0.0026
9.3797,5.340566,152.321732,0.20,0.0026
10.2025,5.333208,151.692970,0.20,0.0026
11.6456,5.327925,151.242620,0.20,0.0026
12.8608,5.318302,150.424632,0.20,0.0026
14.2025,5.309811,149.705332,0.20,0.0026
15.1392,5.300755,148.940609,0.20,0.0026
16.6835,5.291698,148.178495,0.20,0.0026
19.8101,5.274717,146.756548,0.20,0.0026
