American Mineralogist: May 2018 Deposit AM-18-56212,,,,,,,,,,,
CHIDESTER ET AL.: HIGH-PRESSURE PHASE BEHAVIOR OF THO2,,,,,,,,,,,
"Supplemental Table 1. Lattice parameters, pressures, temperatures, and volumes for the in situ XRD",,,,,,,,,,,
Sample,Pressure,err,a,err,V (A^3),err,V (cc/mole),err,T ThO2 (K),err T,Pressure standard
Ambient,0,0,5.5958,0.0005,175.22,0.05,26.379,0.007,300,2,-
B12_13,5.02,0.01,5.5533,0.0007,171.26,0.07,25.78,0.01,300,2,Ar
B12_14,5.65,0.01,5.5462,0.0007,170.6,0.06,25.68,0.01,300,2,Ar
B12_15,6.8,0.02,5.536,0.0007,169.66,0.06,25.543,0.009,300,2,Ar
B12_16,8.46,0.03,5.5224,0.0007,168.42,0.06,25.356,0.009,300,2,Ar
B12_27,10.68,0.02,5.5084,0.0006,167.14,0.06,25.163,0.008,300,2,Ar
B12_28,10.85,0.01,5.5088,0.0006,167.18,0.06,25.169,0.008,300,2,Ar
B12_29,12.98,0.02,5.4947,0.0008,165.89,0.08,24.98,0.01,300,2,Ar
B12_30,15.9,0.07,5.4823,0.0009,164.78,0.08,24.81,0.01,300,2,Ar
B12_31,17.63,0.08,5.479,0.001,164.5,0.1,24.77,0.02,300,2,Ar
B12_32,21.5,0.1,5.462,0.002,163,0.2,24.54,0.02,300,2,Ar
B12_33,30.16,0.06,5.415,0.003,158.8,0.2,23.9,0.03,300,2,Ar
B12_34,31.1,0.6,5.407,0.001,158.1,0.1,23.8,0.02,300,2,Ar
B12_35,32.31,0.09,5.399,0.002,157.4,0.2,23.7,0.02,300,2,Ar
B12_37,34,0.1,5.386,0.002,156.2,0.1,23.52,0.02,300,2,Ar
B12_38,35.89,0.09,5.376,0.001,155.4,0.1,23.4,0.02,300,2,Ar
B12_43,44,0.3,5.321,0.002,150.7,0.2,22.68,0.02,300,2,Ar
B12_60,48,1,5.303,0.004,149.1,0.3,22.45,0.05,300,2,Ar
B12_61,53.6,0.1,5.277,0.004,146.9,0.3,22.12,0.05,300,2,Ar
B12_62,54.6,0.3,5.27,0.003,146.4,0.2,22.04,0.04,300,2,Ar
B5_225,18,0.5,5.484,0.0005,164.92,0.05,24.83,0.007,1134,105,KBr
B5_223,18,0.5,5.4855,0.0006,165.06,0.05,24.85,0.008,1211,105,KBr
B5_221,18.2,0.6,5.487,0.0005,165.2,0.04,24.871,0.007,1300,107,KBr
B5_216,18.3,0.6,5.4898,0.0005,165.45,0.04,24.909,0.006,1409,107,KBr
B5_212,18.5,0.7,5.4924,0.0005,165.69,0.04,24.945,0.006,1596,110,KBr
B5_209,18.7,0.8,5.495,0.0004,165.92,0.04,24.98,0.006,1734,114,KBr
B5_273,26.1,0.5,5.4272,0.0005,159.86,0.04,24.067,0.006,1128,104,KBr
B5_269,26.5,0.6,5.4273,0.0006,159.87,0.05,24.068,0.008,1342,108,KBr
B5_266,26.6,0.7,5.4291,0.0004,160.02,0.03,24.092,0.005,1481,110,KBr
B5_263,26.8,0.7,5.4292,0.0001,160.032,0.005,24.093,0.001,1590,109,KBr
B5_259,26.9,0.8,5.4306,0.0003,160.15,0.03,24.112,0.004,1714,111,KBr
B5_253,28,1,5.431,0.001,160.2,0.1,24.11,0.02,1986,124,KBr
B25_410,24,1,5.446,0.002,161.5,0.2,24.32,0.02,2135,118,KBr
B25_412,23.5,0.8,5.446,0.003,161.5,0.3,24.31,0.04,1763,111,KBr
B25_416,22.9,0.7,5.442,0.002,161.2,0.2,24.27,0.03,1461,107,KBr
B25_418,22.7,0.6,5.437,0.003,160.7,0.3,24.19,0.04,1274,105,KBr
B25_422,22.5,0.4,5.431,0.003,160.2,0.3,24.12,0.04,1018,103,KBr
B25_446,17.4,0.9,5.497,0.001,166.1,0.1,25,0.02,1781,113,KBr
B25_449,17.2,0.7,5.493,0.001,165.7,0.09,24.95,0.01,1562,112,KBr
B25_453,16.7,0.6,5.4865,0.0006,165.15,0.05,24.864,0.008,1331,107,KBr
B25_456,16.6,0.5,5.4828,0.0008,164.82,0.07,24.81,0.01,1185,105,KBr
