American Mineralogist: May 2018 Deposit AM-18-56212																		
CHIDESTER ET AL.: HIGH-PRESSURE PHASE BEHAVIOR OF THO2																		
"Supplemental Table 2. Lattice parameters, pressures, temperatures, and volumes for the in situ XRD measurements of cotunnite-type ThO2"																		
Sample	P	P err	a	err	b	err	c	err	V (A^3)	err	V (cc/mole)	err	c/a	b/a	c/b	T ThO2 (K)	err T	Pressure Standard
B5_273	26.1	0.5	5.967	0.004	3.6246	0.0008	6.88	0.003	148.8	0.1	22.4	0.02	1.153	0.607	1.898	1128	104	KBr
B5_269	26.5	0.6	5.97	0.002	3.6242	0.0004	6.881	0.001	148.87	0.06	22.41	0.01	1.153	0.607	1.899	1342	108	KBr
B5_266	26.6	0.7	5.971	0.001	3.6248	0.0003	6.883	0.001	148.97	0.04	22.43	0.01	1.153	0.607	1.899	1481	110	KBr
B5_263	26.8	0.7	5.972	0.002	3.6266	0.0005	6.887	0.002	149.17	0.07	22.46	0.01	1.153	0.607	1.899	1590	109	KBr
B5_259	26.9	0.8	5.971	0.004	3.627	0.001	6.888	0.003	149.2	0.1	22.46	0.02	1.154	0.608	1.899	1714	111	KBr
B5_256	26.8	0.9	5.976	0.002	3.63	0.0004	6.882	0.001	149.3	0.06	22.48	0.01	1.152	0.607	1.896	1856	122	KBr
B5_253	28	1	5.971	0.002	3.63	0.001	6.893	0.003	149.4	0.1	22.5	0.02	1.154	0.608	1.899	1986	124	KBr
B5_297	38	1	5.915	0.002	3.5953	0.0006	6.832	0.001	145.29	0.06	21.87	0.01	1.155	0.608	1.9	2169	122	KBr
B5_301	37.5	0.9	5.912	0.004	3.592	0.0009	6.823	0.003	144.9	0.1	21.81	0.02	1.154	0.608	1.899	1823	120	KBr
B5_303	37.6	0.8	5.91	0.006	3.592	0.001	6.819	0.004	144.7	0.2	21.79	0.03	1.154	0.608	1.898	1725	113	KBr
B5_306	37.2	0.7	5.908	0.007	3.59	0.002	6.813	0.005	144.5	0.2	21.75	0.03	1.153	0.608	1.898	1491	109	KBr
B5_308	37	0.6	5.906	0.006	3.59	0.001	6.808	0.004	144.4	0.2	21.73	0.03	1.153	0.608	1.896	1392	107	KBr
B5_311	37	0.5	5.903	0.004	3.5861	0.0008	6.808	0.003	144.1	0.1	21.7	0.02	1.153	0.607	1.898	1181	105	KBr
B5_343	46	1	5.801	0.006	3.577	0.002	6.805	0.002	141.2	0.2	21.26	0.02	1.173	0.617	1.903	2430	127	KBr
B5_345	45	1	5.804	0.007	3.572	0.002	6.801	0.003	141	0.2	21.23	0.03	1.172	0.616	1.904	2218	120	KBr
B5_349	45.3	0.9	5.806	0.006	3.568	0.002	6.795	0.002	140.8	0.2	21.19	0.03	1.17	0.615	1.904	1942	114	KBr
B5_355	44.9	0.7	5.807	0.009	3.566	0.003	6.79	0.003	140.6	0.3	21.17	0.04	1.169	0.614	1.904	1566	111	KBr
B5_362	44.7	0.5	5.793	0.007	3.565	0.002	6.787	0.003	140.2	0.2	21.1	0.03	1.172	0.615	1.904	1201	104	KBr
B5_397	61	1	5.658	0.01	3.563	0.004	6.742	0.008	135.9	0.3	20.47	0.05	1.191	0.63	1.892	2553	122	KBr
B5_403	60	1	5.664	0.004	3.547	0.003	6.739	0.005	135.4	0.2	20.38	0.03	1.19	0.626	1.9	2188	117	KBr
B5_408	59.6	0.9	5.668	0.004	3.547	0.001	6.729	0.002	135.3	0.1	20.37	0.02	1.187	0.626	1.897	1908	112	KBr
B5_415	59.3	0.7	5.663	0.006	3.543	0.002	6.724	0.003	134.9	0.2	20.31	0.03	1.187	0.626	1.898	1462	106	KBr
B5_420	59	0.5	5.661	0.007	3.541	0.002	6.722	0.003	134.8	0.2	20.29	0.03	1.187	0.626	1.898	1176	104	KBr
B25_408	24	1	6.005	0.002	3.6545	0.0009	6.958	0.001	152.69	0.08	22.99	0.01	1.159	0.609	1.904	2135	118	KBr
B25_412	23.5	0.8	6.001	0.002	3.649	0.001	6.946	0.001	152.09	0.07	22.9	0.01	1.158	0.608	1.904	1763	111	KBr
B25_416	22.9	0.7	5.993	0.002	3.6448	0.0008	6.94	0.001	151.61	0.06	22.83	0.01	1.158	0.608	1.904	1461	107	KBr
B25_418	22.7	0.6	5.989	0.002	3.642	0.001	6.936	0.001	151.29	0.08	22.78	0.01	1.158	0.608	1.905	1274	105	KBr
B25_422	22.5	0.4	5.983	0.002	3.638	0.001	6.93	0.001	150.84	0.08	22.71	0.01	1.158	0.608	1.905	1018	103	KBr
B25_446	17.4	0.9	6.052	0.002	3.6746	0.0007	6.99	0.001	155.44	0.06	23.4	0.01	1.155	0.607	1.902	1781	113	KBr
B25_449	17.2	0.7	6.046	0.001	3.67	0.001	6.982	0.001	154.89	0.06	23.32	0.01	1.155	0.607	1.903	1562	112	KBr
B25_453	16.7	0.6	6.036	0.002	3.666	0.002	6.971	0.002	154.3	0.1	23.22	0.02	1.155	0.607	1.901	1331	107	KBr
B25_456	16.6	0.5	6.029	0.003	3.659	0.002	6.972	0.002	153.8	0.1	23.16	0.02	1.156	0.607	1.905	1185	105	KBr
B25_502	44	1	5.793	0.008	3.582	0.005	6.807	0.005	141.2	0.3	21.26	0.04	1.175	0.618	1.901	2212	190	KBr
B25_507	44.1	0.9	5.787	0.005	3.575	0.003	6.807	0.003	140.8	0.2	21.2	0.03	1.176	0.618	1.904	1919	156	KBr
B25_511	43.6	0.7	5.794	0.008	3.573	0.005	6.804	0.005	140.9	0.3	21.21	0.04	1.174	0.617	1.904	1568	129	KBr
B25_517	43.7	0.6	5.774	0.007	3.581	0.005	6.798	0.004	140.6	0.3	21.16	0.04	1.177	0.62	1.898	1328	113	KBr
B25_521	43.5	0.5	5.788	0.006	3.571	0.005	6.794	0.004	140.4	0.3	21.14	0.04	1.174	0.617	1.903	1186	108	KBr
