Sample/pattern number,T KCl (K),Terr,V (cc/mole),Verr,P (GPa),Perr
B1_578,1038,248,18.42327021,0.023074198,51.74821633,0.917421843
B1_580,1094,266,18.41770703,0.026094321,51.8959073,0.925812032
B1_582,1163,289,18.40890528,0.044072828,52.19499303,0.942998629
B1_584,1223,309,18.41366924,0.027256907,52.2854878,0.951502598
B1_586,1308,338,18.43121845,0.008563782,52.39721158,0.96972445
B1_587,1396,367,18.47868593,0.032384458,51.9579443,1.004026504
B1_588,1475,393,18.4429208,0.000524135,52.81326379,1.008799784
B1_589,1519,408,18.42848914,0.021610034,52.49169619,1.034729997
B1_590,1595,433,18.41946465,0.02131431,52.93452372,1.031939879
B1_591,1679,461,18.43221046,0.024997764,53.22292663,1.048531714
B1_592,1774,493,18.4496444,0.00984795,53.25233626,1.076570138
B2_858,1750,485,21.800743,0.01675731,28.7786395,1.077565256
B2_861,1662,456,21.76519439,0.025810626,29.10304845,1.046910785
B2_865,1506,404,21.7575834,0.036679106,28.37618287,1.022907393
B2_867,1383,363,21.72983092,0.063648194,28.13688577,1.011989775
B2_868,1283,329,21.72538765,0.062653101,27.73458986,0.986536175
B2_870,1179,295,21.75298906,0.027783773,27.51334931,0.962639971
B2_871,1095,267,21.73702964,0.027417336,26.65482418,0.936487697
B2_872,1028,244,21.71935618,0.028683385,26.53877239,0.931873216
B2_873,959,221,21.6910043,0.043079379,26.16466914,0.92590041
B2_891,1906,537,20.89869247,0.026091501,35.60710125,1.112946589
B2_895,1661,455,20.8744643,0.021363916,34.68509655,1.059379917
B2_897,1515,407,20.87906479,0.030088102,34.17880304,1.029369889
B2_899,1372,359,20.85720014,0.021031756,33.50388134,0.989305168
B2_902,1214,306,20.83600281,0.017095,32.97483075,0.961029916
B2_904,1081,262,20.82555133,0.017821016,32.18018348,0.928839058
B2_906,990,232,20.82252829,0.023599429,31.80649894,0.914424987
B2_927,2198,634,20.19889942,0.013338501,41.67868213,1.225656538
B2_929,1819,508,20.1722649,0.015462905,40.97885249,1.121211892
B2_931,1652,452,20.16385407,0.017139143,40.6699504,1.052167903
B2_932,1483,396,20.15038656,0.019829318,39.33653663,1.025281819
B2_934,1332,346,20.13626115,0.01222794,38.41019139,0.995152177
B2_936,1171,292,20.11721393,0.010006238,37.88910291,0.947014884
B2_938,1025,243,20.1260137,0.012080134,36.68870946,0.927700954
B2_954,1781,495,19.44645609,0.010120156,43.36761614,1.127441419
B2_956,1582,429,19.42046887,0.00878258,43.38011497,1.082423894
B2_959,1432,379,19.41759971,0.010808318,43.26573581,1.017921532
B2_962,1272,326,19.40699081,0.007920537,42.72640946,0.975258845
B2_964,1159,288,19.38682732,0.011451124,42.32553999,0.949851965
B2_966,1066,257,19.38757138,0.009008129,42.05557728,0.931422046
B2_968,994,233,19.37265906,0.014816096,41.77530217,0.919223134
B2_987,1707,471,18.71903939,0.023829374,47.36107637,1.105552958
B2_990,1575,427,18.70461797,0.019711984,46.31861082,1.045527574
B2_992,1418,374,18.69895642,0.018155031,46.60671759,1.102419212
B2_994,1302,336,18.69169479,0.01537413,46.21419944,1.057656141
B2_997,1159,288,18.66929467,0.015994858,46.66323764,1.014202932
B2_999,1056,254,18.65690055,0.012717457,47.00170784,0.949600701
B2_1002,968,224,18.64615983,0.009577622,47.07652496,0.950393405
B2b_41,1877,527,18.01722139,0.019190533,57.39141543,1.101067797
B2b_44,1665,457,17.9893578,0.0089807,57.0597859,1.045482932
B2b_47,1502,402,17.97161627,0.015592709,56.30617316,1.008505592
B2b_50,1372,359,17.96728787,0.016116022,56.21656125,0.983471197
B2b_53,1248,318,17.9402049,0.00200365,56.55244457,0.953006951
B2b_56,1123,276,17.93267569,0.007340737,55.64387447,0.928892185
B2b_80,1887,531,17.44516154,0.018188612,63.0888732,1.121181714
B2b_83,1754,486,17.4201126,0.010984582,63.22002362,1.097768513
B2b_88,1577,427,17.38080011,0.010691942,62.69711841,1.030505623
B2b_91,1428,378,17.36649364,0.01637994,62.05041415,1.032459415
B2b_96,1236,314,17.36888828,0.001543508,61.15025933,0.960767983
B2b_100,1141,282,17.36517926,0.00448197,61.32302436,0.931945166
B2b_103,1039,248,17.35217881,0.004099811,60.97952449,0.9318235
B55_370,1817,507,16.01079567,0.045002775,92.83477627,1.191524343
B55_373,1642,449,16.04409298,0.039460522,92.0590515,1.120896095
B55_378,1463,389,16.0618615,0.049282392,90.9931336,1.038893825
B55_380,1362,356,16.11660412,0.065587928,90.46667786,1.01271554
B55_384,1237,314,16.01158829,0.040509767,89.65983927,0.972414589
B55_386,1166,290,16.04363469,0.016989096,89.234023,0.949430075
B55_423,1911,539,15.36842191,0.011570317,107.9953431,1.14107437
B55_426,1773,493,15.38351034,0.024631561,107.3488405,1.107457722
B55_429,1623,443,15.37379705,0.018827439,106.4705711,1.063292975
B55_432,1502,402,15.37057567,0.02489224,105.6704123,1.038870444
B55_435,1332,346,15.35629212,0.021006426,104.7711959,0.996697221
B55_438,1235,313,15.34822511,0.018775945,104.4584528,0.977337466
B55_440,1142,282,15.3370597,0.014846965,104.1704962,0.957618526
B55_441,1102,269,15.32890545,0.011297286,103.8934209,0.961774064
B55_463,1762,489,15.00094209,0.001111961,113.4791595,1.091732378
B55_465,1624,443,15.01290718,0.025454384,113.0977843,1.057383492
B55_468,1476,394,14.99263392,0.011579478,112.5825525,1.022528269
B55_470,1390,365,14.98631203,0.019354434,112.567798,1.006927732
B55_471,1311,339,14.98680259,0.015019861,112.070753,0.98631786
B55_473,1258,321,14.97154417,0.004760338,111.9863434,0.976802157
B55_476,1123,276,14.95759459,0.001189615,110.8712005,0.939157021
B55_477,1051,252,14.96109329,0.007118392,110.3548892,0.924643574
B86_112,1236,314,14.92252453,0.020441216,113.9998821,1.161317148
B86_118,1420,375,14.88819604,0.05166149,114.1788485,1.148912563
