measurement_sequence,pressure_w_gpa,tungsten_lattice_a_angstrom,chromium_lattice_a_angstrom,chromium_unit_cell_volume_a3
1,0.0,3.167,2.886,24.03
2,0.4,3.165,2.884,24.0
3,0.32,3.165,2.884,23.99
4,0.38,3.165,2.884,23.99
5,0.38,3.165,2.884,23.98
6,0.47,3.165,2.884,23.98
7,0.51,3.165,2.884,23.98
8,0.65,3.164,2.884,23.98
9,0.66,3.164,2.884,23.98
10,0.94,3.163,2.883,23.96
11,1.38,3.161,2.88,23.89
12,5.18,3.149,2.862,23.44
13,12.71,3.125,2.832,22.72
14,15.34,3.117,2.822,22.48
15,18.86,3.107,2.809,22.16
16,19.49,3.106,2.806,22.1
17,20.32,3.103,2.803,22.03
18,22.63,3.097,2.797,21.88
19,23.8,3.094,2.794,21.81
20,24.87,3.091,2.791,21.75
21,25.51,3.09,2.789,21.7
22,25.62,3.089,2.787,21.66
23,25.82,3.089,2.786,21.62
24,26.57,3.087,2.785,21.59
25,26.6,3.087,2.783,21.56
26,27.15,3.085,2.782,21.54
27,27.1,3.085,2.781,21.51
28,27.68,3.084,2.78,21.49
29,28.24,3.083,2.779,21.46
30,28.48,3.082,2.777,21.42
31,28.46,3.082,2.777,21.42
32,29.03,3.081,2.775,21.36
33,30.64,3.077,2.772,21.3
34,30.54,3.077,2.771,21.29
35,30.48,3.077,2.771,21.28
36,30.69,3.077,2.771,21.27
37,31.22,3.075,2.77,21.26
38,31.15,3.075,2.77,21.25
39,31.43,3.075,2.769,21.24
40,31.68,3.074,2.769,21.22
41,31.54,3.074,2.768,21.21
42,31.4,3.075,2.768,21.2
43,32.17,3.073,2.767,21.17
44,32.74,3.072,2.765,21.14
45,33.48,3.07,2.763,21.09
46,34.46,3.068,2.76,21.02
47,35.95,3.064,2.755,20.91
48,37.59,3.06,2.751,20.83
49,40.06,3.055,2.745,20.69
50,42.0,3.05,2.74,20.57
51,44.4,3.045,2.734,20.45
52,45.97,3.042,2.73,20.34
53,47.09,3.039,2.726,20.27
54,48.86,3.036,2.723,20.18
55,50.5,3.032,2.719,20.1
56,52.65,3.028,2.714,19.99
57,54.44,3.024,2.711,19.92
58,56.35,3.021,2.707,19.85
59,57.48,3.019,2.704,19.77
60,59.77,3.014,2.7,19.68
61,61.66,3.011,2.697,19.62
62,62.95,3.008,2.695,19.57
63,63.55,3.007,2.693,19.54
64,65.6,3.003,2.688,19.41
65,66.34,3.002,2.686,19.37
66,67.19,3.0,2.684,19.34
67,69.94,2.995,2.68,19.26
68,70.08,2.995,2.679,19.23
69,70.61,2.994,2.678,19.2
70,72.92,2.99,2.675,19.14
71,74.05,2.988,2.673,19.09
72,75.29,2.986,2.671,19.05
73,76.12,2.985,2.669,19.02
74,77.09,2.983,2.668,18.98
75,78.74,2.98,2.665,18.94
76,79.4,2.979,2.664,18.91
77,85.41,2.969,2.654,18.7
78,85.67,2.969,2.654,18.69
79,85.7,2.969,2.654,18.69
80,85.92,2.969,2.653,18.68
81,86.09,2.968,2.653,18.68
82,86.4,2.968,2.653,18.67
83,87.07,2.967,2.651,18.64
84,88.41,2.965,2.649,18.59
85,90.68,2.961,2.647,18.54
86,91.68,2.96,2.645,18.51
87,93.6,2.957,2.643,18.45
88,96.04,2.953,2.64,18.4
89,97.09,2.951,2.638,18.36
90,98.36,2.949,2.636,18.31
91,99.39,2.948,2.634,18.27
92,100.6,2.946,2.632,18.23
93,102.37,2.944,2.629,18.18
94,103.79,2.942,2.627,18.14
95,104.66,2.94,2.626,18.11
96,105.22,2.94,2.625,18.09
97,107.49,2.936,2.622,18.03
98,108.64,2.935,2.62,17.99
99,110.45,2.932,2.617,17.92
100,111.5,2.931,2.616,17.91
101,112.58,2.929,2.615,17.88
102,113.87,2.927,2.613,17.84
103,114.75,2.926,2.612,17.82
104,116.00,2.925,2.610,17.78
105,116.89,2.923,2.609,17.75
106,118.11,2.922,2.608,17.73
107,119.22,2.920,2.606,17.70
108,119.73,2.920,2.605,17.68
109,120.94,2.918,2.603,17.64
110,121.94,2.917,2.602,17.62
111,123.36,2.915,2.601,17.59
112,124.25,2.914,2.600,17.57
113,125.21,2.912,2.598,17.53
114,126.29,2.911,2.597,17.51
115,127.49,2.909,2.595,17.48
116,128.17,2.909,2.594,17.46
117,129.07,2.907,2.593,17.43
118,130.34,2.906,2.592,17.41
119,131.39,2.905,2.590,17.38
