phase,formula_units_per_source_cell,pressure_gpa,pressure_sigma_gpa,volume_a3_source_cell,volume_sigma_a3_source_cell,volume_a3_z16_equivalent_cell,volume_sigma_a3_z16_equivalent_cell,volume_a3_per_formula_unit,volume_sigma_a3_per_formula_unit,sample_id
coesite-II,32,25.6,0.3,910.2,0.9,455.1,0.45,28.44,0.03,"DAC#3, c1"
coesite-II,32,25.7,0.3,900.9,0.8,450.45,0.40,28.15,0.03,"DAC#3, c1"
coesite-II,32,26.3,0.3,901.1,0.3,450.55,0.15,28.159,0.009,"DAC#3, c1"
coesite-II,32,30.1,0.4,881.7,0.6,440.85,0.30,27.55,0.02,"DAC#3, c2"
coesite-III,24,25.6,0.3,682.0,0.5,454.666666667,0.333333333,28.42,0.02,"DAC#3, c1"
coesite-III,24,25.6,0.3,679.8,0.3,453.2,0.20,28.32,0.01,"DAC#3, c1"
coesite-III,24,25.8,0.3,676.5,0.4,451.0,0.266666667,28.19,0.02,"DAC#3, c1"
coesite-III,24,25.7,0.3,679.7,0.3,453.133333333,0.20,28.32,0.01,"DAC#3, c1"
coesite-III,24,26.3,0.3,675.3,0.4,450.2,0.266666667,28.14,0.02,"DAC#3, c2"
coesite-III,24,27.9,0.5,666.2,0.6,444.133333333,0.40,27.76,0.03,"DAC#1, c1"
coesite-III,24,27.9,0.4,666.5,0.3,444.333333333,0.20,27.77,0.01,"DAC#2, c2"
coesite-III,24,30.3,0.4,658.5,0.4,439.0,0.266666667,27.44,0.02,"DAC#3, c1"
coesite-III,24,30.1,0.4,660.5,0.5,440.333333333,0.333333333,27.52,0.02,"DAC#3, c2"
coesite-III,24,35.9,0.7,627.6,0.7,418.4,0.466666667,26.15,0.03,"DAC#1, c1"
coesite-III,24,36.9,0.4,637.3,0.7,424.866666667,0.466666667,26.55,0.03,"DAC#3, c1"
