ruby_pressure_classical_gpa,ruby_pressure_revised_gpa,atomic_volume_a3,atomic_volume_uncertainty_a3
1.53,1.53,11.675,0.01
3.0,3.01,11.551,0.01
4.25,4.26,11.458,0.01
6.0,6.02,11.328,0.01
8.05,8.08,11.196,0.01
10.2,10.3,11.068,0.01
12.5,12.6,10.929,0.01
14.4,14.5,10.822,0.01
17.3,17.4,10.684,0.01
19.7,19.9,10.57,0.01
22.0,22.2,10.457,0.01
24.6,24.9,10.352,0.01
26.9,27.2,10.253,0.01
29.9,30.3,10.146,0.01
31.7,32.2,10.073,0.01
34.7,35.3,9.977,0.01
0.0,0.0,11.808,0.01
17.8,18.0,10.656,0.01
30.7,31.1,10.114,0.01
37.0,37.1,9.909,0.01
42.0,42.8,9.729,0.01
47.1,48.1,9.573,0.01
51.8,53.0,9.442,0.01
57.5,59.0,9.293,0.01
61.8,63.5,9.198,0.01
66.2,68.2,9.076,0.01
69.6,71.8,8.997,0.01
73.6,76.0,8.913,0.01
78.5,81.3,8.819,0.01
84.4,87.6,8.705,0.01
90.0,93.6,8.603,0.01
93.6,97.5,8.549,0.01
100.7,105.0,8.439,0.01
105.9,111.0,8.345,0.01
110.4,116.0,8.27,0.01
115.9,122.0,8.197,0.01
122.0,128.0,8.118,0.01
126.4,133.0,8.044,0.01
132.4,140.0,7.984,0.01
136.7,145.0,7.928,0.01
140.8,149.0,7.885,0.01
144.3,153.0,7.843,0.01
