pressure_gpa,temperature_k,lattice_a_angstrom,atomic_volume_a3
0.0,295,3.6152,5.907
1.5,295,3.6110,5.886
4.5,295,3.6029,5.846
7.4,295,3.5938,5.802
9.3,295,3.5880,5.774
11.1,295,3.5832,5.751
12.7,295,3.5792,5.732
13.0,295,3.5793,5.732
13.5,295,3.5771,5.721
15.4,295,3.5715,5.695
17.8,295,3.5658,5.667
19.9,295,3.5607,5.643
21.4,295,3.5578,5.629
22.3,295,3.5541,5.612
24.4,295,3.5494,5.590
25.0,295,3.5484,5.585
26.0,295,3.5461,5.574
28.6,295,3.5395,5.543
38.6,295,3.5164,5.435
42.7,295,3.5040,5.378
48.2,295,3.4930,5.327
51.9,295,3.4849,5.290
53.1,295,3.4823,5.278
57.8,295,3.4746,5.244
66.6,295,3.4565,5.162
77.3,295,3.4405,5.091
87.0,295,3.4249,5.022
95.7,295,3.4087,4.951
101.6,295,3.3989,4.908
109.8,295,3.3860,4.853
119.3,295,3.3722,4.793
119.7,295,3.3721,4.793
124.3,295,3.3634,4.756
133.3,295,3.3525,4.710
139.7,295,3.3437,4.673
147.7,295,3.3334,4.630
154.5,295,3.3246,4.593
162.5,295,3.3147,4.553
0.0,377,3.6158,5.909
0.0,479,3.6174,5.917
9.8,497,3.5879,5.773
21.6,499,3.5555,5.618
2.0,500,3.6110,5.886
25.1,500,3.5465,5.576
13.9,500,3.5760,5.716
46.5,501,3.4983,5.352
44.5,501,3.5024,5.370
0.0,573,3.6181,5.920
39.3,600,3.5145,5.426
47.9,600,3.4965,5.343
56.5,600,3.4791,5.264
66.3,600,3.4609,5.182
76.2,600,3.4458,5.114
84.2,600,3.4264,5.028
0.0,674,3.6201,5.930
8.2,748,3.5962,5.814
4.6,748,3.6069,5.866
18.9,749,3.5653,5.665
35.8,749,3.5243,5.472
42.1,750,3.5095,5.403
49.5,750,3.4938,5.331
14.7,750,3.5789,5.730
0.0,775,3.6216,5.938
0.0,873,3.6233,5.946
54.2,900,3.4841,5.287
0.0,948,3.6246,5.952
