code,element,material_identifier,source_v0_a3_atom,formula_units_per_cell,executable_v0_a3_cell,k0_gpa,k0_prime,source_structure_file,reference_doi
WIEN2k,Li,lithium_9r,20.2191,3,60.6573,13.839,3.34,CIFs.tar.gz/Li.cif,10.1126/science.aad3000
WIEN2k,Be,beryllium_hcp,7.9099,2,15.8198,122.903,3.04,CIFs.tar.gz/Be.cif,10.1126/science.aad3000
WIEN2k,Na,sodium_9r,37.4686,3,112.4058,7.472,3.77,CIFs.tar.gz/Na.cif,10.1126/science.aad3000
WIEN2k,Mg,magnesium_hcp,22.9355,2,45.871,35.933,4.07,CIFs.tar.gz/Mg.cif,10.1126/science.aad3000
WIEN2k,Al,aluminum,16.4796,4,65.9184,78.077,4.57,CIFs.tar.gz/Al.cif,10.1126/science.aad3000
WIEN2k,K,potassium_bcc,73.6793,2,147.3586,3.574,4.59,CIFs.tar.gz/K.cif,10.1126/science.aad3000
WIEN2k,Ca,calcium_fcc,42.1991,4,168.7964,17.114,3.31,CIFs.tar.gz/Ca.cif,10.1126/science.aad3000
WIEN2k,Sc,scandium_hcp,24.6196,2,49.2392,54.393,3.42,CIFs.tar.gz/Sc.cif,10.1126/science.aad3000
WIEN2k,Ti,titanium_alpha,17.39,2,34.78,112.213,3.58,CIFs.tar.gz/Ti.cif,10.1126/science.aad3000
WIEN2k,V,vanadium_bcc,13.452,2,26.904,181.674,3.75,CIFs.tar.gz/V.cif,10.1126/science.aad3000
WIEN2k,Cr,chromium,11.773,2,23.546,183.899,7.16,CIFs.tar.gz/Cr.cif,10.1126/science.aad3000
WIEN2k,Mn,manganese_fcc_afm,11.4473,4,45.7892,118.632,-0.21,CIFs.tar.gz/Mn.cif,10.1126/science.aad3000
WIEN2k,Fe,fe,11.3436,2,22.6872,197.652,5.8,CIFs.tar.gz/Fe.cif,10.1126/science.aad3000
WIEN2k,Co,cobalt_hcp,10.8635,2,21.727,216.39,4.36,CIFs.tar.gz/Co.cif,10.1126/science.aad3000
WIEN2k,Ni,nickel,10.891,4,43.564,199.876,5.0059,CIFs.tar.gz/Ni.cif,10.1126/science.aad3000
WIEN2k,Cu,copper,11.9571,4,47.8284,141.06,4.85,CIFs.tar.gz/Cu.cif,10.1126/science.aad3000
WIEN2k,Zn,zinc_hcp,15.1947,2,30.3894,74.54,5.27,CIFs.tar.gz/Zn.cif,10.1126/science.aad3000
