material_identifier,record_identifier,element,V0,K0,K0_prime
aluminum,aluminum_delta_archive_experimental_reference_bm3,Al,65.0744536416,77.1357712089,4.45
barium_bcc,barium_bcc_delta_archive_experimental_reference_bm3,Ba,124.574958542,10.5948206033,2.43
bismuth_a7,bismuth_a7_delta_archive_experimental_reference_bm3,Bi,210.7535057886,32.0779415682,2.4
cadmium_hcp,cadmium_hcp_delta_archive_experimental_reference_bm3,Cd,42.0145830514,50.6575327406,4.9
calcium_fcc,calcium_fcc_delta_archive_experimental_reference_bm3,Ca,171.7815733224,15.8522348531,3.1
cesium_bcc,cesium_bcc_delta_archive_experimental_reference_bm3,Cs,220.6481658286,2.3449684759,3.79
chromium,chromium_delta_archive_experimental_reference_bm3,Cr,23.643636398,204.5647000914,6.895
cobalt_hcp,cobalt_hcp_delta_archive_experimental_reference_bm3,Co,21.9126382622,198.3952571603,4.26
copper,copper_delta_archive_experimental_reference_bm3,Cu,46.587476506,144.2785999228,4.88
fe,fe_delta_archive_experimental_reference_bm3,Fe,23.2787428056,175.1086987963,4.6
gold,gold_delta_archive_experimental_reference_bm3,Au,67.2864398896,182.0053319987,6.4
hafnium_hcp,hafnium_hcp_delta_archive_experimental_reference_bm3,Hf,44.5950697706,110.6674189102,3.95
indium_bct,indium_bct_delta_archive_experimental_reference_bm3,In,51.4064043184,44.7057199504,5.35
iridium,iridium_delta_archive_experimental_reference_bm3,Ir,56.2563451932,362.2372836709,4.83
lead_fcc,lead_fcc_delta_archive_experimental_reference_bm3,Pb,119.4528799808,46.3406063802,5.335
lithium_9r,lithium_9r_delta_archive_experimental_reference_bm3,Li,61.2357920337,13.0656516899,3.51
magnesium_hcp,magnesium_hcp_delta_archive_experimental_reference_bm3,Mg,45.294359626,38.6053690056,4.8
manganese_alpha,manganese_alpha_delta_archive_experimental_reference_bm3,Mn,694.1446999324,174.7008209027,6.6
molybdenum,molybdenum_delta_archive_experimental_reference_bm3,Mo,31.016258389,276.211060431,3.98
nickel,nickel_delta_archive_experimental_reference_bm3,Ni,43.2308995432,192.4580551235,4.0
niobium,niobium_delta_archive_experimental_reference_bm3,Nb,35.9456148978,173.1796015761,4.015
osmium,osmium_delta_archive_experimental_reference_bm3,Os,27.6911255324,424.6083092316,4.5
palladium,palladium_delta_archive_experimental_reference_bm3,Pd,58.259672456,187.1936487566,5.0
platinum,platinum_delta_archive_experimental_reference_bm3,Pt,60.0886777052,285.5122223387,5.18
potassium_bcc,potassium_bcc_delta_archive_experimental_reference_bm3,K,144.398713828,3.7509702193,4.089
rhenium,rhenium_delta_archive_experimental_reference_bm3,Re,29.2387968532,380.7610091505,5.41
rhodium,rhodium_delta_archive_experimental_reference_bm3,Rh,54.2852259008,277.1283701334,4.5
rubidium_bcc,rubidium_bcc_delta_archive_experimental_reference_bm3,Rb,178.3113706998,3.5526213033,3.885
ruthenium,ruthenium_delta_archive_experimental_reference_bm3,Ru,26.898863862,335.5206725035,6.61
scandium_hcp,scandium_hcp_delta_archive_experimental_reference_bm3,Sc,49.5391223042,44.5429241793,2.8
silver,silver_delta_archive_experimental_reference_bm3,Ag,67.4010684896,105.7066536338,4.725
sodium_9r,sodium_9r_delta_archive_experimental_reference_bm3,Na,111.5255860674,7.9126957362,4.13
strontium_fcc,strontium_fcc_delta_archive_experimental_reference_bm3,Sr,222.4144497904,11.9842858226,2.485
tantalum,tantalum_delta_archive_experimental_reference_bm3,Ta,35.8666267132,202.6879051772,3.75
thallium_hcp,thallium_hcp_delta_archive_experimental_reference_bm3,Tl,55.9875601326,37.4420913632,3.0
tin_alpha,tin_alpha_delta_archive_experimental_reference_bm3,Sn,67.9347028844,42.8175727666,4.0
titanium_alpha,titanium_alpha_delta_archive_experimental_reference_bm3,Ti,34.9944982038,107.3532076344,3.4
tungsten,tungsten_delta_archive_experimental_reference_bm3,W,31.5919461674,327.4742143494,4.32
vanadium_bcc,vanadium_bcc_delta_archive_experimental_reference_bm3,V,27.6204743254,165.8391206631,4.135
yttrium_hcp,yttrium_hcp_delta_archive_experimental_reference_bm3,Y,65.9008712024,37.3135136902,2.2
zinc_hcp,zinc_hcp_delta_archive_experimental_reference_bm3,Zn,29.717816112,64.6681064605,4.4
zirconium_alpha,zirconium_alpha_delta_archive_experimental_reference_bm3,Zr,46.3551133244,84.2834017272,2.575
