element,delta_b0_prime,knittle_component_values,knittle_reference_numbers,reduction,status,notes
Li,3.51,3.51,11,direct,exact,"294 K piston-displacement fit; Anderson and Swenson (1985)"
Na,4.13,4.13,10,direct,exact,"room-temperature piston-displacement fit; Anderson and Swenson (1983)"
Mg,4.8,4.8,203,direct,exact,"room-temperature piston-displacement Murnaghan fit; Vaidya and Kennedy (1972)"
Al,4.45,"4.6;4.3","201;193",arithmetic_mean,exact,"two room-temperature compression studies"
K,4.089,"4.15;4.208;3.91","118;10;99",arithmetic_mean_rounded_3dp,exact,"three room-temperature compression studies"
Ca,3.1,"2.5;3.7","201;12",arithmetic_mean,exact,"two room-temperature piston-displacement studies"
Ti,3.4,3.4,203,direct,exact,"room-temperature piston-displacement Murnaghan fit"
V,4.135,"4.27;4.0","147;19",arithmetic_mean,exact,"two selected room-temperature X-ray fits; Knittle also lists a 18.2 piston-displacement value that was not used"
Cr,6.895,"8.9;4.89","19;147",arithmetic_mean,exact,"two room-temperature X-ray fits"
Mn,6.6,6.6,198,direct,exact,"alpha-Mn Birch-Murnaghan fit to 42 GPa; printed uncertainty is +/-7"
Fe,4.6,,"201;196;212;96;132",unresolved_editorial_selection,unresolved,"Knittle lists several ambient alpha-Fe and high-pressure epsilon-Fe values; no documented selection reproduces 4.6 exactly"
Ni,4.0,4.0,201,direct,exact,"room-temperature piston-displacement Murnaghan fit"
Cu,4.88,"4.24;5.52","201;124",arithmetic_mean,exact,"two room-temperature compression studies"
Zn,4.4,4.4,201,direct,exact,"room-temperature piston-displacement Murnaghan fit"
Rb,3.885,"4.15;3.62","10;197",arithmetic_mean,exact,"piston-displacement and X-ray compression studies"
Sr,2.485,"2.5;2.47","203;12",arithmetic_mean,exact_with_upstream_conflict,"Knittle prints 2.47 for ref. 12, while Anderson et al. (1990) Table I prints 2.41(5)"
Y,2.2,2.2,203,direct,exact,"room-temperature piston-displacement Murnaghan fit"
Zr,2.575,"2.05;3.1","217;203",arithmetic_mean,exact,"X-ray and piston-displacement compression studies"
Nb,4.015,"4.03;4.0","147;19",arithmetic_mean,exact,"two room-temperature X-ray fits"
Mo,3.98,"3.5;4.46","201;147",arithmetic_mean,exact,"piston-displacement and X-ray compression studies"
Pd,5.0,5.0,19,direct,exact,"room-temperature X-ray fit"
Ag,4.725,"5.6;3.4;5.2;4.7","60;124;201;193",arithmetic_mean,exact,"four room-temperature compression studies"
Cd,4.9,4.9,201,direct,exact,"room-temperature piston-displacement Murnaghan fit"
In,5.35,"5.2;5.5","201;185",arithmetic_mean,exact,"piston-displacement and X-ray compression studies"
Sn,4.0,"4.8;4.9;2.3","201;121;28",arithmetic_mean,exact_phase_mismatch,"all three rows are ambient beta-Sn/white-tin compression studies, while the Delta reference uses alpha-Sn/gray-tin V0 and B0"
Cs,3.79,3.79,11,direct,exact,"room-temperature piston-displacement fit; Anderson and Swenson (1985)"
Ba,2.43,"2.1;2.76","201;12",arithmetic_mean,exact,"two room-temperature piston-displacement studies"
Ta,3.75,"3.7;3.8","201;147",arithmetic_mean,exact,"piston-displacement and X-ray compression studies"
W,4.32,4.32,147,direct_selected,exact,"Knittle's X-ray row fixes B0-prime to an ultrasonic value; a 19.1 piston-displacement value was not used"
Au,6.4,,"124;148;81",unresolved_editorial_selection,unresolved,"Knittle lists 7.3, 4.42-5.16, and 5.5; no documented selection or simple mean reproduces 6.4"
Pb,5.335,"5.8;4.87","201;206",arithmetic_mean,exact,"two ambient fcc-Pb rows; high-pressure hcp/bcc rows were not used"
Bi,2.4,2.4,201,direct,exact,"room-temperature piston-displacement Murnaghan fit"
