series,source_order,volume_a3_per_atom,temperature_k,pressure_gpa,digitization_temperature_uncertainty_k,digitization_pressure_uncertainty_gpa,plot_x_pt,plot_y_pt
V3.21,1,3.21,498.722685,665.457193,75,7,349.178702,702.923957
V3.21,2,3.21,994.936353,669.575634,75,7,357.687156,703.696385
V3.21,3,3.21,1502.326540,673.913034,75,7,366.387250,704.509880
V3.21,4,3.21,1993.636276,677.103529,75,7,374.811617,705.108269
V3.21,5,3.21,2423.703313,680.544252,75,7,382.185870,705.753589
V3.21,6,3.21,2858.674338,683.859858,75,7,389.644211,706.375443
V3.21,7,3.21,3309.953961,686.820969,75,7,397.382192,706.930810
V3.21,8,3.21,3871.173754,691.283485,75,7,407.005290,707.767771
V3.21,9,3.21,4263.719722,693.452187,75,7,413.736178,708.174519
V3.21,10,3.21,4854.933618,698.018967,75,7,423.873578,709.031035
V3.21,11,3.21,5324.916782,701.459695,75,7,431.932263,709.676356
V3.21,12,3.21,5792.390899,706.255859,75,7,439.947926,710.575894
V3.21,13,3.21,6338.670692,709.342086,75,7,449.314852,711.154727
V3.21,14,3.21,6754.824190,711.281403,75,7,456.450533,711.518453
V3.21,15,3.21,7414.921796,719.049099,75,7,467.769064,712.975312
V3.21,16,3.21,7813.626248,720.644347,75,7,474.605551,713.274507
V3.21,17,3.21,8343.711547,726.483152,75,7,483.694793,714.369596
V3.21,18,3.21,8831.143698,733.792088,75,7,492.052672,715.740413
V3.21,19,3.21,9161.192472,735.846096,75,7,497.711937,716.125650
V3.21,20,3.21,9887.436710,740.079232,75,7,510.164668,716.919590
V4.00,1,4.00,488.002376,282.556562,75,7,348.994884,631.109557
V4.00,2,4.00,1003.033630,285.872168,75,7,357.825997,631.731411
V4.00,3,4.00,1505.519826,289.073085,75,7,366.442004,632.331754
V4.00,4,4.00,2020.551080,292.847456,75,7,375.273119,633.039651
V4.00,5,4.00,2420.510026,295.589613,75,7,382.131116,633.553953
V4.00,6,4.00,2833.128074,298.905220,75,7,389.206176,634.175807
V4.00,7,4.00,3425.596464,302.898550,75,7,399.365085,634.924771
V4.00,8,4.00,3809.360916,305.880508,75,7,405.945400,635.484047
V4.00,9,4.00,4388.029755,310.561982,75,7,415.867692,636.362075
V4.00,10,4.00,4863.030895,315.587526,75,7,424.012419,637.304634
V4.00,11,4.00,5531.796030,320.498381,75,7,435.479571,638.225682
V4.00,12,4.00,5751.790531,321.874670,75,7,439.251762,638.483811
V4.00,13,4.00,6294.306842,325.534351,75,7,448.554155,639.170197
V4.00,14,4.00,6784.247981,328.724841,75,7,456.955055,639.768585
V4.00,15,4.00,7311.824292,330.903970,75,7,466.001277,640.177289
V4.00,16,4.00,7328.589040,334.104887,75,7,466.288738,640.777632
V4.00,17,4.00,7882.395884,334.219577,75,7,475.784727,640.799143
V4.00,18,4.00,8061.219851,337.535186,75,7,478.850977,641.420997
V4.00,19,4.00,8506.797141,341.299131,75,7,486.491182,642.126939
V4.00,20,4.00,8915.537662,341.299131,75,7,493.499754,642.126939
V4.00,21,4.00,9166.780760,345.136063,75,7,497.807758,642.846569
V4.00,22,4.00,9603.120325,351.016573,75,7,505.289565,643.949480
V4.43,1,4.43,519.935214,169.148156,75,7,349.542428,609.839400
V4.43,2,4.43,969.960343,172.453342,75,7,357.258898,610.459300
V4.43,3,4.43,1493.659068,176.342403,75,7,366.238631,611.188707
V4.43,4,4.43,1989.986781,180.116774,75,7,374.749040,611.896604
V4.43,5,4.43,2513.685506,183.661766,75,7,383.728773,612.561480
V4.43,6,4.43,2916.267543,186.622876,75,7,390.631748,613.116847
V4.43,7,4.43,3464.942338,190.501511,75,7,400.039739,613.844299
V4.43,8,4.43,3787.464089,193.139399,75,7,405.569941,614.339044
V4.43,9,4.43,4301.240848,197.820874,75,7,414.379544,615.217072
V4.43,10,4.43,4908.649238,202.168700,75,7,424.794626,616.032522
V4.43,11,4.43,5511.267742,206.287141,75,7,435.127577,616.804951
V4.43,12,4.43,5777.450841,207.308934,75,7,439.691753,616.996592
V4.43,13,4.43,6368.664795,211.771450,75,7,449.829153,617.833553
V4.43,14,4.43,6826.216888,214.503180,75,7,457.674686,618.345899
V4.43,15,4.43,7334.861568,221.363779,75,7,466.396291,619.632629
