run,pressure_gauge,temperature_k,pressure_h05_gpa,lattice_a_angstrom
1,ruby,298,4.53,3.5534
1,ruby,298,7.55,3.5474
1,ruby,298,9.38,3.5426
1,ruby,298,11.2,3.5372
1,ruby,298,13.6,3.5324
1,ruby,298,15.5,3.5278
1,ruby,298,17.9,3.5221
1,ruby,298,19.8,3.5179
1,ruby,298,22.5,3.5115
1,ruby,298,24.5,3.5077
1,ruby,298,26,3.5044
1,ruby,298,28.6,3.4987
2,SrB4O7,298,57.6,3.4435
2,SrB4O7,298,53.1,3.4512
2,SrB4O7,298,48.4,3.4603
2,SrB4O7,298,43.6,3.4704
3,SrB4O7,298,13,3.5342
3,SrB4O7,298,21.5,3.5142
1,SrB4O7,298,0,3.5666
4,SrB4O7,298,1.3,3.5626
4,SrB4O7,298,2.92,3.5591
4,SrB4O7,298,3.94,3.5554
4,SrB4O7,298,17.9,3.5216
2,SrB4O7,500,2,3.5621
2,SrB4O7,500,9.76,3.543
2,SrB4O7,500,13.9,3.533
2,SrB4O7,500,21.6,3.5149
2,SrB4O7,500,25.1,3.5072
2,SrB4O7,501,44.5,3.4681
2,SrB4O7,501,46.5,3.4643
3,SrB4O7,600,39.3,3.4778
3,SrB4O7,600,47.9,3.462
3,SrB4O7,600,56.5,3.4458
3,SrB4O7,600,66.8,3.4297
3,SrB4O7,600,76.8,3.4126
2,SrB4O7,750,4.59,3.5584
2,SrB4O7,750,7.58,3.5507
2,SrB4O7,750,8.19,3.5494
2,SrB4O7,750,13.9,3.5347
2,SrB4O7,750,18.7,3.5239
2,SrB4O7,750,34.7,3.4893
2,SrB4O7,750,35.7,3.4876
2,SrB4O7,750,42,3.4745
2,SrB4O7,750,49.5,3.4605
2,SrB4O7,900,54.8,3.4515
4,SrB4O7,900,7.31,3.5547
4,SrB4O7,900,9.68,3.5482
4,SrB4O7,900,14.4,3.5365
4,SrB4O7,900,17.7,3.5267
4,SrB4O7,900,20.9,3.5203
4,SrB4O7,900,27.2,3.507
4,SrB4O7,900,32.2,3.4959
4,SrB4O7,900,35.7,3.4875
4,SrB4O7,900,38.7,3.4813
4,SrB4O7,900,42.5,3.4736
4,SrB4O7,500,4.59,3.5562
4,SrB4O7,750,5.64,3.556
