point_id,run,marker,pressure_mxb1986_figure_gpa,pressure_mxb1986_gpa,ruby_r1_ratio,pressure_h2005_gpa,molar_volume_cm3_mol,atomic_volume_a3,figure_x_pdf_pt,figure_y_pdf_pt,best_supported_table_ii_selection,notes
run3_00,3,filled,-0.089277102,0.000000000,1.000000000,0.000000000,3.415533443,5.671626717,343.195312,737.820312,false,"Figure marker is clipped by the vertical axis; Occelli explicitly identifies this as the unloaded zero-pressure point, so the source-scale value is set to 0 while the raw axis conversion is retained."
run3_01,3,filled,0.994115571,0.994115571,1.000521213,0.965072221,3.407394179,5.658111152,344.675781,735.707031,false,
run3_02,3,filled,1.765925891,1.765925891,1.000924628,1.716745268,3.401692180,5.648642760,345.730469,734.226562,false,
run3_03,3,filled,2.669229392,2.669229392,1.001395400,2.599127232,3.393688324,5.635352043,346.964844,732.148438,false,
run3_04,3,filled,3.595401336,3.595401336,1.001876564,3.506778366,3.388001368,5.625908632,348.230469,730.671875,false,
run3_05,3,filled,4.678794009,4.678794009,1.002437459,4.572223999,3.380674525,5.613742123,349.710938,728.769531,false,
run3_06,3,filled,5.916548307,5.916548307,1.003075721,5.794310652,3.370895375,5.597503461,351.402344,726.230469,false,
run3_07,3,filled,7.565934580,7.565934580,1.003922061,7.430695312,3.359777229,5.579041346,353.656250,723.343750,false,
run3_08,3,filled,8.880870056,8.880870056,1.004593396,8.741592440,3.351231754,5.564851251,355.453125,721.125000,false,
run3_09,3,filled,10.581710692,10.581710692,1.005457341,10.445360957,3.338202916,5.543216356,357.777344,717.742188,false,
run2_01,2,open,13.340216454,13.340216454,1.006848097,13.227651913,3.323684632,5.519108179,361.546875,713.972656,true,
run2_02,2,open,20.323667438,20.323667438,1.010312786,20.371098913,3.275526067,5.439139000,371.089844,701.468750,true,
run2_03,2,open,29.911261827,29.911261827,1.014944091,30.390391087,3.215301531,5.339133804,384.191406,685.832031,true,
run2_04,2,open,37.337789079,37.337789079,1.018437081,38.300166153,3.172980368,5.268857860,394.339844,674.843750,true,
run2_05,2,open,53.883107636,53.883107636,1.025943659,56.308835490,3.080996155,5.116114480,416.949219,650.960938,true,
run2_06,2,open,63.473561130,63.473561130,1.030132744,66.945274393,3.032160568,5.035021082,430.054688,638.281250,true,
run2_07,2,open,74.118820645,74.118820645,1.034653373,78.881559605,2.981023121,4.950105353,444.601562,625.003906,true,
run2_08,2,open,83.886504938,83.886504938,1.038688595,89.927026294,2.936926668,4.876881469,457.949219,613.554688,true,
run2_09,2,open,93.319737702,93.319737702,1.042488905,100.656605971,2.896230345,4.809303635,470.839844,602.988281,true,
run2_10,2,open,101.206492187,101.206492187,1.045596810,109.660246664,2.865298133,4.757939488,481.617188,594.957031,true,
run2_11,2,open,111.260031287,111.260031287,1.049471365,121.164247450,2.827866545,4.695782875,495.355469,585.238281,true,
run2_12,2,open,121.313570386,121.313570386,1.053252864,132.680592316,2.791232333,4.634950335,509.093750,575.726562,true,
run2_13,2,open,131.364251113,131.364251113,1.056944945,144.188863978,2.757862857,4.579539017,522.828125,567.062500,true,
run2_14,2,open,140.800342250,140.800342250,1.060334722,154.975338747,2.727743069,4.529523931,535.722656,559.242188,true,
