observation_index,source_table,source_pdf_page,run,row_in_run,material,volume_source_token,volume_a3_conventional_cell,volume_standard_error_a3,reported_pressure_source_token,reported_pressure_gpa,single_peak_mgo
1,S1,1,MMH6,1,Mo,26.35(2),26.35,0.02,61.9,61.9,0
1,S1,1,MMH6,1,MgO,59.32(20),59.32,0.2,60.4,60.4,0
2,S1,1,MMH6,2,Mo,25.85(3),25.85,0.03,71.6,71.6,0
2,S1,1,MMH6,2,MgO,57.90(28),57.9,0.28,70.1,70.1,0
3,S1,1,MMH6,3,Mo,25.50(6),25.5,0.06,79.0,79.0,0
3,S1,1,MMH6,3,MgO,56.68(25),56.68,0.25,79.4,79.4,0
4,S1,1,MMH6,4,Mo,25.26(9),25.26,0.09,84.3,84.3,0
4,S1,1,MMH6,4,MgO,56.14(22),56.14,0.22,83.8,83.8,0
5,S1,1,MMH6,5,Mo,25.04(7),25.04,0.07,89.3,89.3,0
5,S1,1,MMH6,5,MgO,55.61(20),55.61,0.2,88.2,88.2,0
6,S1,1,MMH6,6,Mo,24.75(5),24.75,0.05,96.3,96.3,0
6,S1,1,MMH6,6,MgO,54.82(26),54.82,0.26,95.2,95.2,0
7,S1,1,MMH6,7,Mo,24.43(4),24.43,0.04,104.4,104.4,0
7,S1,1,MMH6,7,MgO,53.98(23),53.98,0.23,103.1,103.1,0
8,S1,1,MMH6,8,Mo,24.24(5),24.24,0.05,109.4,109.4,0
8,S1,1,MMH6,8,MgO,53.56(24),53.56,0.24,107.3,107.3,0
9,S1,1,MMH6,9,Mo,24.05(5),24.05,0.05,114.6,114.6,0
9,S1,1,MMH6,9,MgO,52.95(19),52.95,0.19,113.6,113.6,0
10,S1,1,MMH6,10,Mo,23.84(5),23.84,0.05,120.5,120.5,0
10,S1,1,MMH6,10,MgO,52.45(18),52.45,0.18,119.0,119.0,0
11,S1,1,MMH6,11,Mo,23.54(4),23.54,0.04,129.3,129.3,0
11,S1,1,MMH6,11,MgO,51.69*,51.69,,127.5,127.5,1
12,S1,1,MMH6,12,Mo,23.18(3),23.18,0.03,140.6,140.6,0
12,S1,1,MMH6,12,MgO,50.76(16),50.76,0.16,138.7,138.7,0
13,S1,1,MMH6,13,Mo,22.20(0),22.2,0.0,175.2,175.2,0
13,S1,1,MMH6,13,MgO,48.10*,48.1,,175.8,175.8,1
14,S1,1,MMH6,14,Mo,22.25(5),22.25,0.05,173.3,173.3,0
14,S1,1,MMH6,14,MgO,48.17*,48.17,,174.7,174.7,1
15,S1,1,MMH6,15,Mo,21.26(14),21.26,0.14,214.6,214.6,0
15,S1,1,MMH6,15,MgO,45.91(3),45.91,0.03,212.8,212.8,0
16,S1,1,MMH12,1,Mo,27.45(5),27.45,0.05,43.1,43.1,0
16,S1,1,MMH12,1,MgO,62.26(13),62.26,0.13,43.2,43.2,0
17,S1,1,MMH12,2,Mo,24.91(5),24.91,0.05,92.4,92.4,0
17,S1,1,MMH12,2,MgO,55.16(28),55.16,0.28,92.2,92.2,0
18,S2,2,ANN11,1,Au,59.10(18),59.1,0.18,34.4,34.4,0
18,S2,2,ANN11,1,NaCl B2,26.85(21),26.85,0.21,33.8,33.8,0
18,S2,2,ANN11,1,Ne,34.18(37),34.18,0.37,34.5,34.5,0
19,S2,2,ANN11,2,Au,55.19(16),55.19,0.16,62.3,62.3,0
19,S2,2,ANN11,2,Ne,29.41(30),29.41,0.3,64.2,64.2,0
20,S2,2,ANN11,3,Au,54.09(15),54.09,0.15,72.2,72.2,0
