phase,source,source_doi,source_order,temperature_k,volume_a3,volume_uncertainty_a3,pressure_gpa,pressure_uncertainty_gpa,pressure_coordinate,selection_note
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,13,306.0,151.96044341964503,0.016238559886690002,19.29078097037817,0.1,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,14,300.0,152.39888453658565,0.016238559886690002,18.953355640520773,0.1,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,34,300.0,149.94686199369548,0.016238559886690002,24.10207589711949,0.1,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,35,300.0,149.86566919426204,0.016238559886690002,23.988327948501563,0.1,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,36,300.0,150.96989126655694,0.016238559886690002,21.545194167567505,0.1,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,62,304.0,150.8886984671235,0.048715679660069997,21.535957688478362,0.2,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,78,304.0,140.59345149896203,0.048715679660069997,48.32459368770077,0.3,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,87,308.0,143.2403367604925,0.032477119773380005,40.31349829160512,0.3,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Katsura et al. (2009), corrected Table 1",10.1029/2009GL039318,89,305.0,147.83584920842577,0.032477119773380005,28.93739917600094,0.2,Sokolova-2013 MgO from rounded source V/V0,298 K slice diagnostic; exact 2015 recalculation cannot be recovered because absolute MgO volumes are not printed
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,M1,300.0,148.26,0.06,27.56970150325334,0.008,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,M2,300.0,144.14,0.08,38.34880528035956,0.13,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,M3,300.0,140.82,0.05,47.77535869583245,0.15,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,M4,300.0,137.38,0.16,59.29784355619261,0.4,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,D1,300.0,139.41,0.03,52.71392380695814,0.2,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,D1,300.0,140.11,0.04,50.68947152559613,0.3,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,D2,300.0,137.32,0.04,59.354933551531026,0.08,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,D3,300.0,133.28,0.03,74.3764042598752,0.14,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,D4,300.0,128.1,0.05,95.41648812348971,0.13,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
bridgmanite,"Tange et al. (2012), Table 1",10.1029/2011JB008988,D4,300.0,130.14,0.03,86.75800012554915,0.14,Sokolova-2013 MgO from measured cell volume,Source explicitly selected by Dorogokupets et al.
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,1,298.0,262.17,0.49,0.0,,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,1,298.0,262.17,0.49,0.0,,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,2,298.0,260.49,0.89,0.95,0.05,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,3,298.0,259.32,0.26,2.4,0.05,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,3,298.0,259.32,0.26,2.35,0.03,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,4,298.0,257.67,0.42,4.25,0.1,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,5,298.0,255.83,0.38,6.1,0.1,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,5,298.0,255.83,0.38,5.8,0.1,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,6,298.0,253.01,0.46,9.1,0.1,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,6,298.0,253.01,0.46,8.6,0.2,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,7,298.0,251.2,0.75,10.9,0.1,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,7,298.0,251.2,0.75,10.3,0.2,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,8,298.0,249.21,1.14,13.0,0.2,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,8,298.0,249.21,1.14,12.4,0.4,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,9,298.0,247.81,0.97,15.5,0.2,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,9,298.0,247.81,0.97,15.0,0.6,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,10,298.0,246.12,0.48,17.8,0.2,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,10,298.0,246.12,0.48,16.3,0.5,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,11,298.0,243.49,0.73,20.7,0.4,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,11,298.0,243.49,0.73,19.0,0.7,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,12,298.0,240.66,0.51,24.5,0.5,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,12,298.0,240.66,0.51,22.2,1.1,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,13,298.0,239.13,0.67,27.8,0.5,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,13,298.0,239.13,0.67,25.2,1.4,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,14,298.0,242.3,0.53,20.4,0.5,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,14,298.0,242.3,0.53,21.4,1.3,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,15,298.0,251.76,1.08,10.1,0.3,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,15,298.0,251.76,1.08,12.1,0.8,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_ruby,"Reynard et al. (1996), Table 1",10.2138/am-1996-1-206,16,298.0,262.45,0.33,0.0,,published ruby pressure,Alternative assignment of the same experiment; exact ruby calibration is not stated
akimotoite_ice_vii,"Reynard et al. (1996), Table 1/Figure 3f",10.2138/am-1996-1-206,16,298.0,262.45,0.33,0.0,,published ice-VII pressure,"Preferred Reynard scale; bracketed values are maximum gradients, not stated one-sigma errors"
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-1,298.0,263.59,0.45,0.16055010173729736,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-8,298.0,247.21,1.05,16.715387305588717,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-15,298.0,247.41,0.57,16.426243756473546,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-22,298.0,248.13,0.66,15.858516611642887,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-29,298.0,248.89,0.05,15.322046884146086,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-36,298.0,249.64,0.44,13.971855067428754,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-43,298.0,250.88,0.53,12.685325814571977,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-50,298.0,252.24,0.1,11.020817692858017,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-57,298.0,254.11,0.34,9.431458734963691,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
